chromosome,start,end,T_pooled_myr,genes,genes_renamed,descriptions,gene_biotypes,SRA_overlap_percent,tr_overlap_percent
chr9_hap1_hsa11,5500000,5501000,8.228559941,MUC5B,MUC5B,mucin 5B%2C oligomeric mucus/gel-forming,protein_coding,0,3.3
chr10_hap1_hsa12,136657000,136658000,8.217939473,TMEM132D,TMEM132D,transmembrane protein 132D,protein_coding,48.5,1.2
chr22_hap1_hsa21,43367000,43368000,8.217576897,PDE9A,PDE9A,phosphodiesterase 9A,protein_coding,0,100
chr5_hap1_hsa6,6272000,6273000,8.198610117,DUSP22,DUSP22,dual specificity phosphatase 22,protein_coding,0,76.5
chr7_hap1_hsa8,155190000,155191000,8.192090524,ZNF517,ZNF517,zinc finger protein 517,protein_coding,7.5,67.4
chr20_hap1_hsa19,57903000,57904000,8.158154065,PPP1R12C,PPP1R12C,protein phosphatase 1 regulatory subunit 12C,protein_coding,0,100
chr4_hap1_hsa5,1940000,1941000,8.125958989,TERT,TERT,telomerase reverse transcriptase,protein_coding,0,100
chr6_hap1_hsa7,7048000,7049000,8.122659922,C6H7orf50,C6H7orf50,chromosome 6 C7orf50 homolog,protein_coding,0,0
chr8_hap1_hsa10,144353000,144354000,8.097158479,JAKMIP3,JAKMIP3,Janus kinase and microtubule interacting protein 3,protein_coding,0,0
chr14_hap1_hsa13,119330000,119331000,8.093408046,GRK1,GRK1,G protein-coupled receptor kinase 1,protein_coding,7.7,77.4
chr14_hap1_hsa13,83338000,83339000,8.084873623,LOC100611617,UPF0607 ,putative UPF0607 protein ENSP00000383144,protein_coding,49.4,48.1
chr14_hap1_hsa13,118694000,118695000,8.071387201,MCF2L,MCF2L,MCF.2 cell line derived transforming sequence like,protein_coding,20.7,35.4
chr20_hap1_hsa19,2883000,2884000,8.064550315,HCN2,HCN2,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,protein_coding,21.1,68.2
chr9_hap1_hsa11,135722000,135723000,8.028907328,SPATA19,SPATA19,spermatogenesis associated 19,protein_coding,4.9,1.6
chr18_hap1_hsa16,87555000,87556000,8.01234431,ANKRD11,ANKRD11,ankyrin repeat domain containing 11,protein_coding,14.5,80.6
chr23_hap1_hsa22,48857000,48858000,8.008346616,TBC1D22A,TBC1D22A,TBC1 domain family member 22A,protein_coding,33.3,1.2
chr8_hap1_hsa10,144573000,144574000,7.997888634,LRRC27,LRRC27,leucine rich repeat containing 27,protein_coding,0,0
chr10_hap1_hsa12,137947000,137948000,7.991287417,ADGRD1,ADGRD1,adhesion G protein-coupled receptor D1,protein_coding,0,2.4
chr19_hap1_hsa17,96110000,96111000,7.961074915,FN3K,FN3K,fructosamine 3 kinase,protein_coding,67.8,0
chr13_hap1_hsa2b,143052000,143053000,7.958887212,KIF1A,KIF1A,kinesin family member 1A,protein_coding,12,0
chr5_hap1_hsa6,37245000,37246000,7.9494157,PATR-B,HLA-B,major histocompatibility complex%2C class I%2C B,protein_coding,49.3,1.5
chr20_hap1_hsa19,55716000,55717000,7.947144399,ZNF468,ZNF468,zinc finger protein 468,protein_coding,4.6,0
chr2_hap1_hsa3,198791000,198792000,7.928004188,LOC750356,MUC20,mucin-20,protein_coding,2.5,11.6
chr5_hap1_hsa6,180390000,180391000,7.924867196,DACT2,DACT2,dishevelled binding antagonist of beta catenin 2,protein_coding,57.1,5.5
chr3_hap1_hsa4,7572000,7573000,7.921553521,SORCS2,SORCS2,sortilin related VPS10 domain containing receptor 2,protein_coding,4.2,100
chr9_hap1_hsa11,4392000,4393000,7.91973031,BET1L,BET1L,Bet1 golgi vesicular membrane trafficking protein like,protein_coding,10.3,40.9
chr20_hap1_hsa19,11205000,11206000,7.916689263,LOC134809069,PRR23D1,proline-rich protein 23D1-like,protein_coding,0,1.2
chr12_hap1_hsa2a,9812000,9813000,7.908042228,LOC104004422,JMJD7,bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7,protein_coding,0,0
chr2_hap1_hsa3,199661000,199662000,7.899774361,SMCO1,SMCO1,single-pass membrane protein with coiled-coil domains 1,protein_coding,0,100
chr4_hap1_hsa5,178394000,178395000,7.879254753,BTNL8,BTNL8,butyrophilin like 8,protein_coding,25.3,3
chr6_hap1_hsa7,5846000,5847000,7.849764198,LOC129135556,SPTBN5,spectrin beta chain%2C non-erythrocytic 5-like,protein_coding,0,0
chr8_hap1_hsa10,139431000,139432000,7.848339183,DOCK1,DOCK1,dedicator of cytokinesis 1,protein_coding,75.6,2.5
chr17_hap1_hsa18,89572000,89573000,7.844150283,NFATC1,NFATC1,nuclear factor of activated T cells 1,protein_coding,0,1.2
chr19_hap1_hsa17,13933000,13934000,7.835239635,SPATA22,SPATA22,spermatogenesis associated 22,protein_coding,15.3,0
chr9_hap1_hsa11,135019000,135020000,7.832912327,OPCML,OPCML,opioid binding protein/cell adhesion molecule like,protein_coding,0,0
chr20_hap1_hsa19,55623000,55624000,7.82793288,LOC104001134,ZNF83,zinc finger protein 83,protein_coding,50.3,7.5
chr6_hap1_hsa7,74910000,74911000,7.817939298,LOC744965,TYW1,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1,protein_coding,0,2.4
chr3_hap1_hsa4,188192000,188193000,7.794540009,MTNR1A,MTNR1A,melatonin receptor 1A,protein_coding,0,0
chr3_hap1_hsa4,143537000,143538000,7.77814526,INPP4B,INPP4B,inositol polyphosphate-4-phosphatase type II B,protein_coding,0,0
chr22_hap1_hsa21,44499000,44500000,7.759081825,AGPAT3,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3,protein_coding,0,0
chr6_hap1_hsa7,169578000,169579000,7.749613302,DPP6,DPP6,dipeptidyl peptidase like 6,protein_coding,79.8,8.3
chr1_hap1_hsa1,2510000,2511000,7.744536019,CNST,CNST,consortin%2C connexin sorting protein,protein_coding,0,99.6
chr17_hap1_hsa18,82797000,82798000,7.742102028,NETO1,NETO1,neuropilin and tolloid like 1,protein_coding,0,100
chr13_hap1_hsa2b,69106000,69107000,7.74062409,XIRP2,XIRP2,xin actin binding repeat containing 2,protein_coding,0.1,1.1
chr2_hap1_hsa3,199460000,199461000,7.71917093,DYNLT2B,DYNLT2B,dynein light chain Tctex-type 2B,protein_coding,0,0
chr20_hap1_hsa19,57455000,57456000,7.712549844,LILRB1,LILRB1,leukocyte immunoglobulin like receptor B1,protein_coding,5.6,0
chr20_hap1_hsa19,5109000,5110000,7.710041982,SGTA,SGTA,small glutamine rich tetratricopeptide repeat co-chaperone alpha,protein_coding,49.4,57.2
chr8_hap1_hsa10,145610000,145611000,7.691980189,PRAP1,PRAP1,proline rich acidic protein 1,protein_coding,0,0
chr1_hap1_hsa1,2331000,2332000,7.67971087,LOC101059730, KIF28P,kinesin-like protein KIF28P,protein_coding,0,100
chr10_hap1_hsa12,138674000,138675000,7.657211472,MMP17,MMP17,matrix metallopeptidase 17,protein_coding,0,0
chr19_hap1_hsa17,96090000,96091000,7.656877347,FN3KRP,FN3KRP,fructosamine 3 kinase related protein,protein_coding,0.2,6.3
chr2_hap1_hsa3,201350000,201351000,7.627274203,LOC107974580,TRIM52,E3 ubiquitin-protein ligase TRIM52,protein_coding,0,65.7
chr15_hap1_hsa14,103703000,103704000,7.611634161,LOC107972995,IGHG1,immunoglobulin heavy constant gamma 1-like,C_region,68.6,6.8
chr2_hap1_hsa3,8197000,8198000,7.604932446,SUMF1,SUMF1,sulfatase modifying factor 1,protein_coding,0,0
chr7_hap1_hsa8,59050000,59051000,7.603424164,SNTG1,SNTG1,syntrophin gamma 1,protein_coding,0,0
chr12_hap1_hsa2a,15155000,15156000,7.566061954,LOC129135413,RANBP2,RANBP2-like and GRIP domain-containing protein 5/6,protein_coding,5.7,1.6
chr9_hap1_hsa11,4220000,4221000,7.561123499,LOC129136305,MALRD1,MAM and LDL-receptor class A domain-containing protein 1-like,protein_coding,0,0
chr18_hap1_hsa16,2512000,2513000,7.555015304,LOC129137268,HBA3-like,hemoglobin subunit alpha-3-like,protein_coding,1.1,3
chr5_hap1_hsa6,169118000,169119000,7.550281409,ARID1B,ARID1B,AT-rich interaction domain 1B,protein_coding,0,1.1
chr6_hap1_hsa7,54671000,54672000,7.529908195,LOC743528,CDC14C,dual specificity protein phosphatase CDC14C-like,protein_coding,12.4,0
chr4_hap1_hsa5,18229000,18230000,7.528862872,LOC134810146,TAF13,TATA-box-binding protein-associated factor 11-like protein 13,protein_coding,0,0
chr19_hap1_hsa17,11778000,11779000,7.528006177,TRARG1,TRARG1,trafficking regulator of GLUT4 (SLC2A4) 1,protein_coding,37.6,13
chr23_hap1_hsa22,46065000,46066000,7.497441231,PARVB,PARVB,parvin beta,protein_coding,28.3,63.9
chr12_hap1_hsa2a,91928000,91929000,7.491220023,GALNT14,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,protein_coding,92.9,1.6
chr20_hap1_hsa19,12788000,12789000,7.485670157,LOC468717,C3P1,putative protein C3P1,protein_coding,50.6,1.4
chr8_hap1_hsa10,20588000,20589000,7.462190164,ITIH2,ITIH2,inter-alpha-trypsin inhibitor heavy chain 2,protein_coding,0,0
chr16_hap1_hsa15,92412000,92413000,7.461925634,CERS3,CERS3,ceramide synthase 3,protein_coding,38,42.1
chr2_hap1_hsa3,11385000,11386000,7.454753965,GRM7,GRM7,glutamate metabotropic receptor 7,protein_coding,99.9,1.5
chr23_hap1_hsa22,52507000,52508000,7.453220686,PPP6R2,PPP6R2,protein phosphatase 6 regulatory subunit 2,protein_coding,59.3,26.1
chr18_hap1_hsa16,2661000,2662000,7.452090821,AXIN1,AXIN1,axin 1,protein_coding,0,99.2
chr1_hap1_hsa1,229463000,229464000,7.437417893,PANK4,PANK4,pantothenate kinase 4 (inactive),protein_coding,35.7,32
chr9_hap1_hsa11,8726000,8727000,7.430900907,C11H11orf40,C11H11orf40,chromosome 11 C11orf40 homolog,lncRNA,90.5,1.1
chr7_hap1_hsa8,16490000,16491000,7.426059752,MSRA,MSRA,methionine sulfoxide reductase A;serine protease 51,protein_coding,21.2,0
chr7_hap1_hsa8,16490000,16491000,7.426059752,PRSS51,PRSS51,methionine sulfoxide reductase A;serine protease 51,protein_coding,21.2,0
chr7_hap1_hsa8,152833000,152834000,7.419730341,ADGRB1,ADGRB1,adhesion G protein-coupled receptor B1,protein_coding,18.7,3.7
chr7_hap1_hsa8,11528000,11529000,7.418891323,CSMD1,CSMD1,CUB and Sushi multiple domains 1,protein_coding,78.5,32.6
chr1_hap1_hsa1,217999000,218000000,7.394810479,LOC129143370,PRAMEF2,PRAME family member 2,protein_coding,0,0
chr19_hap1_hsa17,96399000,96400000,7.389996167,B3GNTL1,B3GNTL1,UDP-GlcNAc:betaGal beta-1%2C3-N-acetylglucosaminyltransferase like 1,protein_coding,0,88.2
chr4_hap1_hsa5,31842000,31843000,7.38616979,EDIL3,EDIL3,EGF like repeats and discoidin domains 3,protein_coding,0.9,0
chr21_hap1_hsa20,52918000,52919000,7.37531545,SLC13A3,SLC13A3,solute carrier family 13 member 3,protein_coding,0,0
chr1_hap1_hsa1,228446000,228447000,7.373065914,WRAP73,WRAP73,WD repeat containing%2C antisense to TP73,protein_coding,31,0
chr8_hap1_hsa10,32366000,32367000,7.362557389,MALRD1,MALRD1,MAM and LDL receptor class A domain containing 1,protein_coding,0,0
chr2_hap1_hsa3,4357000,4358000,7.350516693,CHL1,CHL1,cell adhesion molecule L1 like,protein_coding,62.4,6.6
chr15_hap1_hsa14,104238000,104239000,7.31590951,LOC467592,IGHV4-3-74,immunoglobulin heavy variable 3-74-like,V_segment,11.1,0
chr4_hap1_hsa5,177806000,177807000,7.309815317,GFPT2,GFPT2,glutamine-fructose-6-phosphate transaminase 2,protein_coding,43.2,11.7
chr1_hap1_hsa1,230028000,230029000,7.3067232,CFAP74,CFAP74,cilia and flagella associated protein 74,protein_coding,0.1,100
chr11_hap1_hsa9,109134000,109135000,7.304569632,KDM4C,KDM4C,lysine demethylase 4C,protein_coding,1.4,10.5
chr1_hap1_hsa1,218728000,218729000,7.296990023,LOC129143170,PRAMEF15,PRAME family member 15,protein_coding,0,0
chr13_hap1_hsa2b,121232000,121233000,7.293317316,CDK5R2,CDK5R2,cyclin dependent kinase 5 regulatory subunit 2,protein_coding,0,0
chr5_hap1_hsa6,35680000,35681000,7.286210592,LOC134810183,MICB,MHC class I polypeptide-related sequence B-like,protein_coding,65.2,2.2
chr10_hap1_hsa12,7703000,7704000,7.284783504,NINJ2,NINJ2,ninjurin 2,protein_coding,19.3,5.3
chr20_hap1_hsa19,55138000,55139000,7.279804147,ZNF766,ZNF766,zinc finger protein 766,protein_coding,60.3,4.1
chr8_hap1_hsa10,62383000,62384000,7.269055226,LOC107966570,WASHC2A,WASH complex subunit 2A-like,protein_coding,0,2.9
chr8_hap1_hsa10,27469000,27470000,7.266321463,FAM107B,FAM107B,family with sequence similarity 107 member B,protein_coding,90.6,3.5
chr6_hap1_hsa7,5867000,5868000,7.255577648,LOC107972857,JMJD7,bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7,protein_coding,0,65.8
chr15_hap1_hsa14,103781000,103782000,7.237391687,LOC134808389,IGHG1,immunoglobulin gamma-1 heavy chain-like,C_region,2.2,0
chr20_hap1_hsa19,5145000,5146000,7.234179203,THOP1,THOP1,thimet oligopeptidase 1,protein_coding,0,100
chr20_hap1_hsa19,56277000,56278000,7.229704188,ZNF761,ZNF761,zinc finger protein 761,protein_coding,52.9,3.2
chr11_hap1_hsa9,207000,208000,7.22843479,LOC112207536,BCORL1,BCL-6 corepressor-like protein 1,protein_coding,0,43.1
chr9_hap1_hsa11,9621000,9622000,7.227692485,HBE1,HBE1,hemoglobin subunit epsilon 1,protein_coding,0,1.9
chr6_hap1_hsa7,166015000,166016000,7.226924744,NOS3,NOS3,nitric oxide synthase 3,protein_coding,0,0
chr22_hap1_hsa21,44177000,44178000,7.226856119,HSF2BP,HSF2BP,heat shock transcription factor 2 binding protein,protein_coding,59.6,40.4
chr2_hap1_hsa3,197633000,197634000,7.214875606,ATP13A3,ATP13A3,ATPase 13A3,protein_coding,52.2,2.8
chr5_hap1_hsa6,36034000,36035000,7.214840143,TRIM31,TRIM31,tripartite motif containing 31,protein_coding,100,0
chr20_hap1_hsa19,57405000,57406000,7.201247211,LILRA2,LILRA2,leukocyte immunoglobulin-like receptor%2C subfamily A (with TM domain)%2C member 2,protein_coding,86.5,4.8
chr22_hap1_hsa21,44634000,44635000,7.198651766,TRAPPC10,TRAPPC10,trafficking protein particle complex subunit 10,protein_coding,35.4,37.5
chr2_hap1_hsa3,200791000,200792000,7.198064776,LOC107970891,SDHA,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial,protein_coding,3.7,0
chr9_hap1_hsa11,4619000,4620000,7.196391025,ANO9,ANO9,anoctamin 9,protein_coding,13.2,68.3
chr20_hap1_hsa19,56050000,56051000,7.194044846,LOC100610781,ZNF665,zinc finger protein 665-like,protein_coding,0,100
chr20_hap1_hsa19,56050000,56051000,7.194044846,ZNF677,ZNF677,zinc finger protein 677,protein_coding,0,100
chr19_hap1_hsa17,93526000,93527000,7.183447404,LOC129137559,EIF4A-III-like,eukaryotic initiation factor 4A-III-like,protein_coding,0,1.8
chr9_hap1_hsa11,9137000,9138000,7.177050156,MMP26,MMP26,matrix metallopeptidase 26,protein_coding,100,2.3
chr18_hap1_hsa16,87859000,87860000,7.158161699,CHMP1A,CHMP1A,charged multivesicular body protein 1A,protein_coding,12.9,51.1
chr4_hap1_hsa5,17166000,17167000,7.131845306,RETREG1,RETREG1,reticulophagy regulator 1,protein_coding,0,100
chr4_hap1_hsa5,2243000,2244000,7.130171639,LOC750856,SDHA ,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial,protein_coding,24.2,100
chr7_hap1_hsa8,27539000,27540000,7.122524003,PSD3,PSD3,pleckstrin and Sec7 domain containing 3,protein_coding,94.3,3.3
chr9_hap1_hsa11,5543000,5544000,7.121350574,TOLLIP,TOLLIP,toll interacting protein,protein_coding,22.1,74.2
chr1_hap1_hsa1,215548000,215549000,7.112248667,DDI2,DDI2,DNA damage inducible 1 homolog 2,protein_coding,98.6,1.9
chr9_hap1_hsa11,82149000,82150000,7.105305812,TENM4,TENM4,teneurin transmembrane protein 4,protein_coding,99.9,1.2
chr6_hap1_hsa7,11879000,11880000,7.105018584,LOC738574,RSPH10B,radial spoke head 10 homolog B,protein_coding,12.6,2.7
chr9_hap1_hsa11,4410000,4411000,7.083100723,SIRT3,SIRT3,sirtuin 3,protein_coding,23.6,1.1
chr5_hap1_hsa6,9044000,9045000,7.071370954,RIPK1,RIPK1,receptor interacting serine/threonine kinase 1,protein_coding,0,100
chr19_hap1_hsa17,96048000,96049000,7.054794546,RAB40B,RAB40B,RAB40B%2C member RAS oncogene family,protein_coding,39.6,60.5
chr17_hap1_hsa18,67846000,67847000,7.0399605,ATP8B1,ATP8B1,ATPase phospholipid transporting 8B1,protein_coding,0,100
chr10_hap1_hsa12,10413000,10414000,6.988898354,TSPAN9,TSPAN9,tetraspanin 9,protein_coding,0,1.1
chr1_hap1_hsa1,217694000,217695000,6.982036245,LRRC38,LRRC38,leucine rich repeat containing 38,protein_coding,11.6,1.3
chr6_hap1_hsa7,6593000,6594000,6.979962826,PRKAR1B,PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta,protein_coding,63.9,28.6
chr3_hap1_hsa4,1217000,1218000,6.978954585,GAK,GAK,cyclin G associated kinase,protein_coding,16.7,55.6
chr10_hap1_hsa12,74440000,74441000,6.974305586,LOC134807488,SLCO1B7,putative solute carrier organic anion transporter family member 1B7,protein_coding,1.5,1.9
chr1_hap1_hsa1,206668000,206669000,6.967101349,GRHL3,GRHL3,grainyhead like transcription factor 3,protein_coding,0,0
chr6_hap1_hsa7,172006000,172007000,6.95770758,NOM1,NOM1,nucleolar protein with MIF4G domain 1,protein_coding,31.6,1.3
chr8_hap1_hsa10,138553000,138554000,6.956224886,C10H10orf90,C10H10orf90,chromosome 10 C10orf90 homolog,protein_coding,0,10.4
chr7_hap1_hsa8,151028000,151029000,6.939996445,PTK2,PTK2,protein tyrosine kinase 2,protein_coding,0,0
chr21_hap1_hsa20,70221000,70222000,6.936016018,TPD52L2,TPD52L2,TPD52 like 2,protein_coding,0,85.2
chr19_hap1_hsa17,93295000,93296000,6.926077787,LOC129135262,EIF4A-III-like,eukaryotic initiation factor 4A-III-like,protein_coding,0,15.9
chr6_hap1_hsa7,110575000,110576000,6.91696763,LOC107972039,MUC17,mucin-17,protein_coding,0,0
chr23_hap1_hsa22,28103000,28104000,6.916448032,MYO18B,MYO18B,myosin XVIIIB,protein_coding,34.5,54.2
chr23_hap1_hsa22,52837000,52838000,6.896661259,SHANK3,SHANK3,SH3 and multiple ankyrin repeat domains 3,protein_coding,0,0
chr5_hap1_hsa6,35660000,35661000,6.885998427,PATR-F,HLA-F,major histocompatibility complex%2C class I%2C F,protein_coding,84.4,11
chr20_hap1_hsa19,55368000,55369000,6.884042657,ZNF578,ZNF578,zinc finger protein 578,protein_coding,33.2,3.2
chr11_hap1_hsa9,106274000,106275000,6.883484389,PTPRD,PTPRD,protein tyrosine phosphatase receptor type D,protein_coding,44.9,1.4
chr11_hap1_hsa9,104189000,104190000,6.87679696,TYRP1,TYRP1,tyrosinase related protein 1,protein_coding,41.3,1.7
chr6_hap1_hsa7,85506000,85507000,6.873536431,TMEM120A,TMEM120A,transmembrane protein 120A,protein_coding,0,3
chr5_hap1_hsa6,180022000,180023000,6.860585045,LOC104007081,SIMC1,SUMO-interacting motif-containing protein 1,protein_coding,27.4,1.3
chr6_hap1_hsa7,13550000,13551000,6.836246863,UMAD1,UMAD1,UBAP1-MVB12-associated (UMA) domain containing 1,protein_coding,6.7,0
chr5_hap1_hsa6,36994000,36995000,6.83180219,C6H6orf15,C6H6orf15,chromosome 6 C6orf15 homolog,protein_coding,88.2,18.4
chr5_hap1_hsa6,11102000,11103000,6.822887718,LYRM4,LYRM4,LYR motif containing 4,protein_coding,0,100
chr1_hap1_hsa1,215894000,215895000,6.817303518,FHAD1,FHAD1,forkhead associated phosphopeptide binding domain 1,protein_coding,46.4,0
chr6_hap1_hsa7,5707000,5708000,6.817198488,LOC134810508,MALRD1,MAM and LDL-receptor class A domain-containing protein 1-like,protein_coding,0,3.8
chr1_hap1_hsa1,177897000,177898000,6.814602756,SLC1A7,SLC1A7,solute carrier family 1 member 7,protein_coding,0.4,0
chr10_hap1_hsa12,139904000,139905000,6.81047125,ZNF26,ZNF26,zinc finger protein 26,protein_coding,83.4,4.1
chr10_hap1_hsa12,8052000,8053000,6.795026548,RAD52,RAD52,RAD52 homolog%2C DNA repair protein,protein_coding,36.1,71.6
chr3_hap1_hsa4,812000,813000,6.793410632,LOC461041,PDE6B,rod cGMP-specific 3'%2C5'-cyclic phosphodiesterase subunit beta,protein_coding,0,0
chr15_hap1_hsa14,104032000,104033000,6.782952965,LOC749440,IGHV4-30-4,immunoglobulin heavy variable 4-30-4-like,V_segment,15.2,0
chr16_hap1_hsa15,7109000,7110000,6.770222478,LOC100613625,GOLGA8G,putative golgin subfamily A member 8G,protein_coding,59.4,2.9
chr9_hap1_hsa11,7788000,7789000,6.768953328,ART1,ART1,ADP-ribosyltransferase 1,protein_coding,34.6,5.8
chr1_hap1_hsa1,219111000,219112000,6.759386905,LOC749132,PRAMEF1,PRAME family member 1,protein_coding,0,1.3
chr18_hap1_hsa16,4112000,4113000,6.758755805,MAPK8IP3,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3,protein_coding,55.8,3.9
chr15_hap1_hsa14,103359000,103360000,6.751881377,PACS2,PACS2,phosphofurin acidic cluster sorting protein 2,protein_coding,0.3,38.7
chr7_hap1_hsa8,154164000,154165000,6.744175343,SCRIB,SCRIB,scribble planar cell polarity protein,protein_coding,13.4,73.3
chr4_hap1_hsa5,1394000,1395000,6.736949512,LOC107974590,RPL8,large ribosomal subunit protein uL2,protein_coding,1.6,61.3
chr4_hap1_hsa5,1394000,1395000,6.736949512,TPPP,TPPP,tubulin polymerization promoting protein;,protein_coding,1.6,61.3
chr1_hap1_hsa1,230889000,230890000,6.719566121,C1H1orf159,C1H1orf159,chromosome 1 C1orf159 homolog,protein_coding,3,77.9
chr7_hap1_hsa8,63967000,63968000,6.718447276,XKR4,XKR4,XK related 4,protein_coding,100,13.7
chr18_hap1_hsa16,81663000,81664000,6.717671339,CDH13,CDH13,cadherin 13,protein_coding,26.1,0
chr1_hap1_hsa1,209583000,209584000,6.715153051,NBPF3,NBPF3,NBPF member 3,protein_coding,63.2,1.9
chr11_hap1_hsa9,4505000,4506000,6.715115464,VAV2,VAV2,vav guanine nucleotide exchange factor 2,protein_coding,82.4,2.2
chr13_hap1_hsa2b,142949000,142950000,6.713187283,AQP12B,AQP12B,aquaporin 12B,protein_coding,6.8,0
chr9_hap1_hsa11,133604000,133605000,6.707178539,NTM,NTM,neurotrimin,protein_coding,38.9,0
chr6_hap1_hsa7,156170000,156171000,6.704705697,BRAF,BRAF,B-Raf proto-oncogene%2C serine/threonine kinase,protein_coding,47.4,5.2
chr5_hap1_hsa6,174427000,174428000,6.698200298,PRKN,PRKN,parkin RBR E3 ubiquitin protein ligase,protein_coding,1.5,98.5
chr3_hap1_hsa4,142378000,142379000,6.695522009,RNF150,RNF150,ring finger protein 150,protein_coding,0,1.3
chr20_hap1_hsa19,61195000,61196000,6.686488632,ZNF544,ZNF544,zinc finger protein 544,protein_coding,0,100
chr20_hap1_hsa19,4266000,4267000,6.680080726,CSNK1G2,CSNK1G2,casein kinase 1 gamma 2,protein_coding,9.8,0
chr20_hap1_hsa19,9074000,9075000,6.678919891,C3,C3,complement C3,protein_coding,31.7,52.6
chr1_hap1_hsa1,878000,879000,6.672171704,OR2M4,OR2M4,olfactory receptor family 2 subfamily M member 4,protein_coding,100,1.8
chr18_hap1_hsa16,88334000,88335000,6.667036927,LOC112205857,JMJD7,bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7-like,protein_coding,0,1.7
chr10_hap1_hsa12,135735000,135736000,6.657356369,GLT1D1,GLT1D1,glycosyltransferase 1 domain containing 1,protein_coding,58.1,2.2
chr8_hap1_hsa10,130305000,130306000,6.656577119,LOC743191,CASC2,protein CASC2%2C isoforms 1/2,protein_coding,0,0
chr6_hap1_hsa7,9596000,9597000,6.645756687,SDK1,SDK1,sidekick cell adhesion molecule 1,protein_coding,10.1,100
chr21_hap1_hsa20,8510000,8511000,6.64565933,SIRPG,SIRPG,signal regulatory protein gamma,protein_coding,0,5.4
chr8_hap1_hsa10,145547000,145548000,6.645287213,TUBGCP2,TUBGCP2,tubulin gamma complex component 2,protein_coding,20.6,71.9
chr11_hap1_hsa9,2162000,2163000,6.642656728,CCDC187,CCDC187,coiled-coil domain containing 187,protein_coding,86.3,0
chr6_hap1_hsa7,157391000,157392000,6.642189529,MGAM,MGAM,maltase-glucoamylase,protein_coding,0,0
chr1_hap1_hsa1,231164000,231165000,6.632143184,LOC100608468,TUBB-like,tubulin beta chain-like,protein_coding,0,2.8
chr6_hap1_hsa7,75026000,75027000,6.626958399,LOC742265,SPDYE1,speedy protein E1,protein_coding,0,5
chr1_hap1_hsa1,214448000,214449000,6.61168602,TRNAE-UUC,TRNAE-UUC,transfer RNA glutamic acid (anticodon UUC),tRNA,0,0
chr1_hap1_hsa1,219059000,219060000,6.610365044,HNRNPCL1,HNRNPCL1,heterogeneous nuclear ribonucleoprotein C like 1,protein_coding,0,1.3
chr15_hap1_hsa14,102116000,102117000,6.60427298,ASPG,ASPG,asparaginase,protein_coding,4.2,84
chr1_hap1_hsa1,8979000,8980000,6.598715947,FMN2,FMN2,formin 2,protein_coding,12.3,70.7
chr6_hap1_hsa7,75907000,75908000,6.591904575,LOC107966502,CASP,protein CASP,protein_coding,0,3
chr6_hap1_hsa7,75907000,75908000,6.591904575,LOC750803,SPDYE18,speedy protein E18,protein_coding,0,3
chr8_hap1_hsa10,145654000,145655000,6.586109846,PAOX,PAOX,polyamine oxidase,protein_coding,42.5,0
chr17_hap1_hsa18,84556000,84557000,6.585291244,CNDP2,CNDP2,carnosine dipeptidase 2,protein_coding,8.9,69.8
chr13_hap1_hsa2b,16043000,16044000,6.581648214,DPP10,DPP10,dipeptidyl peptidase like 10,protein_coding,86.5,2.5
chr5_hap1_hsa6,178727000,178728000,6.579670928,RPS6KA2,RPS6KA2,ribosomal protein S6 kinase A2,protein_coding,9.1,100
chr16_hap1_hsa15,92718000,92719000,6.571768557,GCAWKR,GCAWKR,gastric cancer associated WDR5 and KAT2A binding lncRNA,lncRNA,74.3,2.9
chr11_hap1_hsa9,110198000,110199000,6.563113464,RIC1,RIC1,RIC1 homolog%2C RAB6A GEF complex partner 1,protein_coding,4.4,0
chr13_hap1_hsa2b,140332000,140333000,6.556450844,ERFE,ERFE,erythroferrone,protein_coding,9.8,75.5
chr13_hap1_hsa2b,134623000,134624000,6.555778715,ALPG,ALPG,alkaline phosphatase%2C germ cell,protein_coding,0,0
chr9_hap1_hsa11,9518000,9519000,6.549431129,OR51M1,OR51M1,olfactory receptor family 51 subfamily M member 1,protein_coding,99.4,2.6
chr18_hap1_hsa16,25467000,25468000,6.545895533,HS3ST2,HS3ST2,heparan sulfate-glucosamine 3-sulfotransferase 2,protein_coding,83.4,0
chr13_hap1_hsa2b,28223000,28224000,6.545261068,MYO7B,MYO7B,myosin VIIB,protein_coding,16.5,23.3
chr1_hap1_hsa1,218074000,218075000,6.535985631,LOC129143355,PRAMEF8,PRAME family member 8-like,protein_coding,5.7,0
chr8_hap1_hsa10,140177000,140178000,6.53195631,PTPRE,PTPRE,protein tyrosine phosphatase receptor type E,protein_coding,51.4,8.8
