chromosome,start,end,population,avg_tmrca_myr,genes,gene_biotypes,descriptions,feature_annotation
chr5_pat_hsa6,186664000,186665000,Bonobo,9.617334073709005,RPS6KA2,protein_coding,ribosomal protein S6 kinase A2,.
chr5_pat_hsa6,82527000,82528000,Bonobo,9.617296966448366,LOC117978267,protein_coding,protein eyes shut homolog,"SEDEF_SD,TR"
chr2_mat_hsa3,96187000,96188000,Bonobo,9.616799083570655,.,,,.
chr3_pat_hsa4,141910000,141911000,Bonobo,9.61677634117284,.,,,SEDEF_SD
chr18_pat_hsa16,13121000,13122000,Bonobo,9.616269478178603,.,,,"L1MB3#LINE/L1,L1PA15#LINE/L1,L2b#LINE/L2,MLT1D#LTR/ERVL-MaLR"
chr19_pat_hsa17,96338000,96339000,Bonobo,9.616092730003942,.,,,"AluSp#SINE/Alu,AluY#SINE/Alu,L1MB5#LINE/L1,LTR39-int#LTR/ERV1,LTR7B#LTR/ERV1,MER49#LTR/ERV1,MER4D#LTR/ERV1,SEDEF_SD,TR"
chr3_pat_hsa4,30519000,30520000,Bonobo,9.61577039244373,.,,,.
chr18_pat_hsa16,100396000,100397000,Bonobo,9.615701863514895,LOC134729333,lncRNA,uncharacterized LOC134729333,"AluJb#SINE/Alu,L1MA7#LINE/L1,SEDEF_SD,TR"
chr17_mat_hsa18,84620000,84621000,Bonobo,9.615511481167378,.,,,"L1MA3#LINE/L1,L1MB5#LINE/L1,L1PA16#LINE/L1,TR"
chr5_pat_hsa6,20545000,20546000,Bonobo,9.615032067621673,.,,,.
chr21_mat_hsa20,1008000,1009000,Bonobo,9.614990258046317,.,,,"SEDEF_SD,TR"
chr4_mat_hsa5,16919000,16920000,Bonobo,9.614984058373537,MYO10,protein_coding,myosin X,TR
chr21_mat_hsa20,61578000,61579000,Bonobo,9.614459530668132,.,,,TR
chr17_mat_hsa18,95397000,95398000,Bonobo,9.614334220473934,.,,,L1MD2#LINE/L1
chr18_pat_hsa16,100414000,100415000,Bonobo,9.614034434422912,.,,,"AluJb#SINE/Alu,L1M#LINE/L1,L1M3#LINE/L1,L2a#LINE/L2,L2c#LINE/L2,MIR#SINE/MIR,SEDEF_SD"
chr19_pat_hsa17,96434000,96435000,Bonobo,9.613997393595094,LOC134729470,lncRNA,uncharacterized LOC134729470,"AluSq2#SINE/Alu,L1MB7#LINE/L1,MIRb#SINE/MIR,SEDEF_SD,TR"
chr7_pat_hsa8,66566000,66567000,Bonobo,9.613728664325274,.,,,.
chr4_mat_hsa5,247000,248000,Bonobo,9.613447157470631,LOC134730407,protein_coding,uncharacterized LOC134730407,"SEDEF_SD,TR"
chr6_mat_hsa7,13468000,13469000,Bonobo,9.613216640404792,NXPH1,protein_coding,neurexophilin 1,TR
chr5_pat_hsa6,72623000,72624000,Bonobo,9.613204635094828,.,,,"SEDEF_SD,TR"
chr18_pat_hsa16,32590000,32591000,Bonobo,9.612950951360553,.,,,"L1MA1#LINE/L1,SEDEF_SD"
chr7_pat_hsa8,75544000,75545000,Bonobo,9.611472514885499,.,,,TR
chr18_pat_hsa16,100048000,100049000,Bonobo,9.611066466937354,.,,,"AluSz#SINE/Alu,L1M4#LINE/L1,L2a#LINE/L2,SEDEF_SD,TR"
chr4_mat_hsa5,175414000,175415000,Bonobo,9.610975192979861,.,,,.
chr15_mat_hsa14,107236000,107237000,Bonobo,9.610754949365285,.,,,"L1M4b#LINE/L1,L1MD#LINE/L1,L1MD3#LINE/L1,L1MEf#LINE/L1,L1PB4#LINE/L1"
chr19_pat_hsa17,87378000,87379000,Bonobo,9.610735648435043,.,,,AluSx#SINE/Alu
chr18_pat_hsa16,99672000,99673000,Bonobo,9.610729516979385,SPIRE2,protein_coding,spire type actin nucleation factor 2,"AluSq2#SINE/Alu,AluSx#SINE/Alu,AluSx1#SINE/Alu,L1MCa#LINE/L1,TR"
chr5_pat_hsa6,84665000,84666000,Bonobo,9.610562917186371,.,,,SEDEF_SD
chr5_pat_hsa6,84878000,84879000,Bonobo,9.610487006513916,LOC117978173,protein_coding,protein eyes shut homolog,SEDEF_SD
chr15_mat_hsa14,106800000,106801000,Bonobo,9.610252938148623,LOC100971589,C_region,immunoglobulin epsilon heavy chain-like,"L3b#LINE/CR1,MER67B#LTR/ERV1,MLT1B#LTR/ERVL-MaLR,SEDEF_SD,TR"
chr18_pat_hsa16,31292000,31293000,Bonobo,9.610023996254498,LOC117976346,protein_coding,uncharacterized LOC117976346,"L1MB2#LINE/L1,SEDEF_SD"
chr20_pat_hsa19,60945000,60946000,Bonobo,9.609786074258968,.,,,"SEDEF_SD,TR"
chr1_pat_hsa1,214062000,214063000,Bonobo,9.60920918988372,.,,,"SEDEF_SD,TR"
chr1_pat_hsa1,214591000,214592000,Bonobo,9.607873877174585,.,,,"SEDEF_SD,TR"
chr7_pat_hsa8,17056000,17057000,Bonobo,9.607818224595535,LOC134730949,lncRNA,uncharacterized LOC134730949,"SEDEF_SD,TR"
chr6_mat_hsa7,89557000,89558000,Bonobo,9.607564967313722,LOC129398260,protein_coding,speedy protein E12-like,SEDEF_SD
chr6_mat_hsa7,89558000,89559000,Bonobo,9.607514319643926,LOC129398260,protein_coding,speedy protein E12-like,"SEDEF_SD,TR"
chr22_pat_hsa21,35961000,35962000,Bonobo,9.607316085365154,.,,,.
chr6_mat_hsa7,179073000,179074000,Bonobo,9.606541913111851,.,,,TR
chr13_mat_hsa2b,139062000,139063000,Bonobo,9.60610629316036,IQCA1,protein_coding,IQ motif containing with AAA domain 1,"L1M5#LINE/L1,L1MB8#LINE/L1,L1ME4b#LINE/L1,L1P1#LINE/L1,L1PA3#LINE/L1,L1PREC2#LINE/L1,L2d2#LINE/L2,MIR#SINE/MIR,TR"
chr7_pat_hsa8,19769000,19770000,Bonobo,9.605905531876523,CSMD1,protein_coding,CUB and Sushi multiple domains 1,TR
chr18_pat_hsa16,87776000,87777000,Bonobo,9.605392342314104,.,,,"AluY#SINE/Alu,L1MC4#LINE/L1,MLT1C2#LTR/ERVL-MaLR,TR"
chr15_mat_hsa14,25369000,25370000,Bonobo,9.605220469800788,.,,,"L1P2#LINE/L1,TR"
chr5_pat_hsa6,182051000,182052000,Bonobo,9.60470244150779,PRKN,protein_coding,parkin RBR E3 ubiquitin protein ligase,TR
chr20_pat_hsa19,14614000,14615000,Bonobo,9.60463138660825,LOC100971412,protein_coding,putative zinc finger protein 812,.
chr5_pat_hsa6,84758000,84759000,Bonobo,9.60412775776681,LOC117978173,protein_coding,protein eyes shut homolog,SEDEF_SD
chr4_mat_hsa5,16921000,16922000,Bonobo,9.603746205194263,MYO10,protein_coding,myosin X,TR
chr8_mat_hsa10,121001000,121002000,Bonobo,9.60368702447916,.,,,.
chr12_mat_hsa2a,14101000,14102000,Bonobo,9.60251101824901,LOC129396518,protein_coding,phosphoglucomutase-like protein 5,"L1M3#LINE/L1,L1ME4b#LINE/L1,L1P4#LINE/L1,L1PA17#LINE/L1,MamSINE1#SINE/tRNA-RTE,MamTip2#DNA/hAT-Tip100,SEDEF_SD,TR"
chr10_mat_hsa12,135477000,135478000,Bonobo,9.60249323352409,.,,,"L1M4#LINE/L1,L1MB5#LINE/L1,MER50-int#LTR/ERV1,MIRc#SINE/MIR,MLT1H#LTR/ERVL-MaLR"
chr9_pat_hsa11,24913000,24914000,Bonobo,9.60228944114894,FANCF,protein_coding,FA complementation group F,TR
chr8_mat_hsa10,15748000,15749000,Bonobo,9.601885112673653,LOC117974479,protein_coding,uncharacterized LOC117974479,.
chr11_mat_hsa9,3018000,3019000,Bonobo,9.601475173972984,CARD9,protein_coding,caspase recruitment domain family member 9,TR
chr6_mat_hsa7,11745000,11746000,Bonobo,9.601473720178754,LOC117980870,protein_coding,vacuolar fusion protein CCZ1 homolog B,"SEDEF_SD,TR"
chr15_mat_hsa14,108338000,108339000,Bonobo,9.600984095341643,.,,,"L1M3#LINE/L1,L1ME4b#LINE/L1,L1PA17#LINE/L1,MER47A#DNA/TcMar-Tigger,MER94#DNA/hAT-Blackjack,MIR#SINE/MIR,MIRb#SINE/MIR,SEDEF_SD"
chr21_mat_hsa20,38809000,38810000,Bonobo,9.599143631756188,.,,,.
chr10_mat_hsa12,5255000,5256000,Bonobo,9.598673643846718,.,,,"(T)n#Simple_repeat,AluJb#SINE/Alu,L1MA7#LINE/L1,L2d2#LINE/L2,SEDEF_SD,TR"
chr11_mat_hsa9,36237000,36238000,Bonobo,9.59859398486837,.,,,"L1MA4#LINE/L1,L1MCb#LINE/L1,L1ME1#LINE/L1"
chr4_mat_hsa5,109777000,109778000,Bonobo,9.597322706561625,.,,,TR
chr5_pat_hsa6,45808000,45809000,Bonobo,9.597228513734102,.,,,.
chr7_pat_hsa8,19706000,19707000,Bonobo,9.597178319353858,CSMD1,protein_coding,CUB and Sushi multiple domains 1,.
chr12_mat_hsa2a,91574000,91575000,Bonobo,9.59676984875123,.,,,"L1M5#LINE/L1,L1MB8#LINE/L1,L1PA17#LINE/L1,L1PA5#LINE/L1,L2d2#LINE/L2,MER67D#LTR/ERV1"
chr3_pat_hsa4,13284000,13285000,Bonobo,9.596685159637104,.,,,TR
chr12_mat_hsa2a,48612000,48613000,Bonobo,9.596527245701758,.,,,"Charlie7#DNA/hAT-Charlie,MIR#SINE/MIR,TR"
chr5_pat_hsa6,85845000,85846000,Bonobo,9.595782205955615,.,,,"SEDEF_SD,TR"
chr1_pat_hsa1,4890000,4891000,Bonobo,9.59526488561161,.,,,"L1ME3G#LINE/L1,L1PA4#LINE/L1,L2b#LINE/L2,TR"
chr7_pat_hsa8,29156000,29157000,Bonobo,9.595204072926533,.,,,SEDEF_SD
chr5_pat_hsa6,184899000,184900000,Bonobo,9.593637962881491,.,,,TR
chr8_mat_hsa10,68500000,68501000,Bonobo,9.59361262931509,.,,,TR
chr16_pat_hsa15,10847000,10848000,Bonobo,9.593235969914062,LOC117975972,lncRNA,uncharacterized LOC117975972,"L1MC3#LINE/L1,L1MD3#LINE/L1,L1PB3#LINE/L1,L1PBa#LINE/L1,SEDEF_SD"
chr6_mat_hsa7,190369000,190370000,Bonobo,9.59315053431587,DPP6,protein_coding,dipeptidyl peptidase like 6,TR
chr22_pat_hsa21,42104000,42105000,Bonobo,9.592768305225725,.,,,TR
chr4_mat_hsa5,4498000,4499000,Bonobo,9.592731543527302,.,,,TR
chr19_pat_hsa17,69640000,69641000,Bonobo,9.592614021161461,.,,,"L1MA2#LINE/L1,L1ME3F#LINE/L1,LTR7#LTR/ERV1"
chr7_pat_hsa8,18808000,18809000,Bonobo,9.592495079907753,CSMD1,protein_coding,CUB and Sushi multiple domains 1,.
chr6_mat_hsa7,99000,100000,Bonobo,9.59228385094911,LOC129398388,protein_coding,phosphoglucomutase-like protein 5,"SEDEF_SD,TR"
chr8_mat_hsa10,8523000,8524000,Bonobo,9.591563129227438,.,,,TR
chr7_pat_hsa8,28703000,28704000,Bonobo,9.59083674376744,LOC129398572,protein_coding,uncharacterized LOC129398572,SEDEF_SD
chr7_pat_hsa8,29857000,29858000,Bonobo,9.590480737037574,.,,,"SEDEF_SD,TR"
chr10_mat_hsa12,141056000,141057000,Bonobo,9.588546809827886,ZNF605,protein_coding,zinc finger protein 605,"L1PA16#LINE/L1,L4_A_Mam#LINE/RTE-X,MER68-int#LTR/ERVL,MER76#LTR/ERVL"
chr11_mat_hsa9,2019000,2020000,Bonobo,9.588013518475883,EXD3,protein_coding,exonuclease 3'-5' domain containing 3,"L1MB5#LINE/L1,TR"
chr20_pat_hsa19,13456000,13457000,Bonobo,9.587624144707187,.,,,"SEDEF_SD,TR"
chr5_pat_hsa6,79597000,79598000,Bonobo,9.587541255689882,LOC100974207,protein_coding,eyes shut homolog,SEDEF_SD
chr8_mat_hsa10,68486000,68487000,Bonobo,9.587079144840471,.,,,.
chr23_pat_hsa22,58632000,58633000,Bonobo,9.586970685331956,.,,,.
chr3_pat_hsa4,49214000,49215000,Bonobo,9.586681965778903,FGF5,protein_coding,fibroblast growth factor 5,TR
chr7_pat_hsa8,29163000,29164000,Bonobo,9.586470740578733,.,,,SEDEF_SD
chr14_pat_hsa13,113402000,113403000,Bonobo,9.586048846969977,SOX1,protein_coding,SRY-box transcription factor 1,"L1PA5#LINE/L1,MIR3#SINE/MIR"
chr7_pat_hsa8,102762000,102763000,Bonobo,9.585943210936891,.,,,SEDEF_SD
chr16_pat_hsa15,37000,38000,Bonobo,9.58557949462124,.,,,"L1M5#LINE/L1,L1MB2#LINE/L1,L1MC1#LINE/L1,MLT1A#LTR/ERVL-MaLR,SEDEF_SD,TR"
chr18_pat_hsa16,3081000,3082000,Bonobo,9.585374676875206,PDPK1,protein_coding,3-phosphoinositide dependent protein kinase 1,"Charlie4#DNA/hAT-Charlie,Charlie4a#DNA/hAT-Charlie,L1M4#LINE/L1,L1MC5#LINE/L1,L1ME3G#LINE/L1,L1ME4b#LINE/L1,L1PA17#LINE/L1,SEDEF_SD,TR"
chr22_pat_hsa21,13380000,13381000,Bonobo,9.585190414387789,.,,,TR
chr21_mat_hsa20,6150000,6151000,Bonobo,9.58405427887635,.,,,TR
chr6_mat_hsa7,87543000,87544000,Bonobo,9.583928697766979,.,,,TR
chr21_mat_hsa20,1004000,1005000,Bonobo,9.583452839129121,.,,,"SEDEF_SD,TR"
chr11_mat_hsa9,36064000,36065000,Bonobo,9.581962003835867,LOC129398747,lncRNA,uncharacterized LOC129398747,"(TTG)n#Simple_repeat,(TTGTTA)n#Simple_repeat,L1MC1#LINE/L1,L1MC5a#LINE/L1,L1ME1#LINE/L1,L1ME3F#LINE/L1,L1PA4#LINE/L1,MIRb#SINE/MIR,TR"
chr7_pat_hsa8,17057000,17058000,Bonobo,9.581653568329111,LOC134730949,lncRNA,uncharacterized LOC134730949,"SEDEF_SD,TR"
chr12_mat_hsa2a,14072000,14073000,Bonobo,9.581598318008488,LOC129396518,protein_coding,phosphoglucomutase-like protein 5,"ERVL-B4-int#LTR/ERVL,L2#LINE/L2,L2a#LINE/L2,MLT1F#LTR/ERVL-MaLR,SEDEF_SD,TR"
chr3_pat_hsa4,9042000,9043000,Bonobo,9.581496997868165,.,,,TR
chr10_mat_hsa12,139638000,139639000,Bonobo,9.58096940432632,.,,,"AluJb#SINE/Alu,L1M4#LINE/L1,L1MD2#LINE/L1,TR"
chr5_pat_hsa6,44543000,44544000,Bonobo,9.580907861668175,LOC103783493,protein_coding,protein shisa-5,.
chr7_pat_hsa8,29194000,29195000,Bonobo,9.580743369748568,.,,,SEDEF_SD
chr5_pat_hsa6,44336000,44337000,Bonobo,9.580556997478139,.,,,TR
chr3_pat_hsa4,65625000,65626000,Bonobo,9.580055907745681,.,,,TR
chr16_pat_hsa15,26732000,26733000,Bonobo,9.579371679716113,.,,,"L1P4#LINE/L1,L1PA8#LINE/L1"
chr5_pat_hsa6,46956000,46957000,Bonobo,9.579282158162929,.,,,"SEDEF_SD,TR"
chr4_mat_hsa5,18688000,18689000,Bonobo,9.579158831451624,LOC134730421,lncRNA,uncharacterized LOC134730421,.
chr10_mat_hsa12,136089000,136090000,Bonobo,9.579096845633893,.,,,"AluSx#SINE/Alu,L1M5#LINE/L1,L1MA9#LINE/L1,L1ME2#LINE/L1,L1MEc#LINE/L1,TR"
chr8_mat_hsa10,67375000,67376000,Bonobo,9.57897050842924,PCDH15,protein_coding,protocadherin related 15,TR
chr10_mat_hsa12,136308000,136309000,Bonobo,9.578713217692984,.,,,(CACT)n#Simple_repeat
chr16_pat_hsa15,77028000,77029000,Bonobo,9.578583989223704,.,,,"(AC)n#Simple_repeat,(AT)n#Simple_repeat,AluJb#SINE/Alu,L1MC5#LINE/L1,L1PA3#LINE/L1,L1PB4#LINE/L1,L2c#LINE/L2,TR"
chr5_pat_hsa6,186607000,186608000,Bonobo,9.578283121909168,.,,,TR
chr8_mat_hsa10,138814000,138815000,Bonobo,9.57821482481923,DOCK1,protein_coding,dedicator of cytokinesis 1,TR
chr18_pat_hsa16,12020000,12021000,Bonobo,9.577997495064896,LOC117976364,protein_coding,uncharacterized LOC117976364,"(AAAT)n#Simple_repeat,AluSx#SINE/Alu,L1PA8#LINE/L1,L2a#LINE/L2,L2c#LINE/L2,MIR#SINE/MIR,TR"
chr23_pat_hsa22,35786000,35787000,Bonobo,9.577658750645494,MYO18B,protein_coding,myosin XVIIIB,.
chr11_mat_hsa9,123655000,123656000,Bonobo,9.577343828210594,DMRT1,protein_coding,doublesex and mab-3 related transcription factor 1,TR
chr15_mat_hsa14,105703000,105704000,Bonobo,9.577116430200302,.,,,"AluJb#SINE/Alu,AluSq2#SINE/Alu,ERVL-E-int#LTR/ERVL,L1MC4#LINE/L1,L1ME1#LINE/L1,L1ME4b#LINE/L1,MSTB#LTR/ERVL-MaLR,TR"
chr8_mat_hsa10,122622000,122623000,Bonobo,9.57689883889476,RBM20,protein_coding,RNA binding motif protein 20,.
chr20_pat_hsa19,70683000,70684000,Bonobo,9.576884419133119,.,,,"SEDEF_SD,TR"
chr12_mat_hsa2a,14867000,14868000,Bonobo,9.576819454487742,LOC129396706,protein_coding,uncharacterized LOC129396706,"L2b#LINE/L2,L2c#LINE/L2,L2d2#LINE/L2,MIRc#SINE/MIR,SEDEF_SD"
chr6_mat_hsa7,89609000,89610000,Bonobo,9.57564209093691,LOC129398261,protein_coding,speedy protein E12-like,"SEDEF_SD,TR"
chr5_pat_hsa6,84243000,84244000,Bonobo,9.574823056189844,LOC117978454,protein_coding,protein eyes shut homolog,SEDEF_SD
chr19_pat_hsa17,14692000,14693000,Bonobo,9.574411570017865,.,,,"AluSx#SINE/Alu,Charlie16#DNA/hAT-Charlie,L1MC4a#LINE/L1,LTR12E#LTR/ERV1"
chr5_pat_hsa6,173425000,173426000,Bonobo,9.574045924834927,.,,,TR
chr17_mat_hsa18,95306000,95307000,Bonobo,9.573639986549184,.,,,"L2b#LINE/L2,MamRTE1#LINE/RTE-BovB,MER4B-int#LTR/ERV1"
chr5_pat_hsa6,81456000,81457000,Bonobo,9.573469878181642,LOC117980609,protein_coding,protein eyes shut homolog,SEDEF_SD
chr7_pat_hsa8,28759000,28760000,Bonobo,9.572880760968257,LOC129398572,protein_coding,uncharacterized LOC129398572,"SEDEF_SD,TR"
chr16_pat_hsa15,76222000,76223000,Bonobo,9.572542235473632,AGBL1,protein_coding,AGBL carboxypeptidase 1,"FRAM#SINE/Alu,L1ME4c#LINE/L1,L1MEd#LINE/L1,MIRc#SINE/MIR,TR"
chr6_mat_hsa7,81002000,81003000,Bonobo,9.572407253501815,LOC100982215,protein_coding,integrator complex subunit 4-like protein 2,SEDEF_SD
chr5_pat_hsa6,186808000,186809000,Bonobo,9.572268821362856,RPS6KA2,protein_coding,ribosomal protein S6 kinase A2,TR
chr19_pat_hsa17,69415000,69416000,Bonobo,9.571965757742257,.,,,"(TA)n#Simple_repeat,L1M2#LINE/L1,L1M3#LINE/L1,L1MA4A#LINE/L1,L1MA8#LINE/L1,L1MC3#LINE/L1,L1ME5#LINE/L1,L1PA8#LINE/L1,TR"
chr11_mat_hsa9,116392000,116393000,Bonobo,9.570934582270473,.,,,"L1ME4b#LINE/L1,L1PA7#LINE/L1,TR"
chr7_pat_hsa8,161393000,161394000,Bonobo,9.570870601549196,.,,,TR
chr10_mat_hsa12,9493000,9494000,Bonobo,9.570775832543978,.,,,"AluY#SINE/Alu,L1MC4#LINE/L1"
chr7_pat_hsa8,19708000,19709000,Bonobo,9.570736182113901,CSMD1,protein_coding,CUB and Sushi multiple domains 1,TR
chr23_pat_hsa22,43549000,43550000,Bonobo,9.569991300790132,LARGE1,protein_coding,LARGE xylosyl- and glucuronyltransferase 1,.
chr3_pat_hsa4,49212000,49213000,Bonobo,9.56933969872453,FGF5,protein_coding,fibroblast growth factor 5,TR
chr6_mat_hsa7,54260000,54261000,Bonobo,9.569260223406603,.,,,.
chr18_pat_hsa16,9098000,9099000,Bonobo,9.569061981147435,.,,,"(TTG)n#Simple_repeat,AluSq2#SINE/Alu,L1MB4#LINE/L1,L4_A_Mam#LINE/RTE-X,MER20#DNA/hAT-Charlie,TR"
chr1_pat_hsa1,214739000,214740000,Bonobo,9.56896751952218,.,,,"SEDEF_SD,TR"
chr12_mat_hsa2a,47657000,47658000,Bonobo,9.568286768797075,.,,,"(AT)n#Simple_repeat,L1ME4a#LINE/L1,L1PA3#LINE/L1,LSU-rRNA_Hsa#rRNA,TR"
chr1_pat_hsa1,102971000,102972000,Bonobo,9.567905706460003,.,,,"L1MB5#LINE/L1,L1MC4#LINE/L1,L1P2#LINE/L1,L1PA4#LINE/L1,SEDEF_SD,TR"
chr11_mat_hsa9,120312000,120313000,Bonobo,9.567767032705612,GLIS3,protein_coding,GLIS family zinc finger 3,"L1M5#LINE/L1,L1MA7#LINE/L1,L1MA9#LINE/L1,L1MC1#LINE/L1,L1MD3#LINE/L1,L1PA7#LINE/L1,L2c#LINE/L2"
chr7_pat_hsa8,30461000,30462000,Bonobo,9.567463891107975,.,,,SEDEF_SD
chr7_pat_hsa8,29364000,29365000,Bonobo,9.567202066047953,"LOC134731047,LOC134731048",lncRNA;lncRNA,uncharacterized LOC134731047;uncharacterized LOC134731048,SEDEF_SD
chr7_pat_hsa8,66134000,66135000,Bonobo,9.567076641743585,SNTG1,protein_coding,syntrophin gamma 1,TR
chr10_mat_hsa12,33078000,33079000,Bonobo,9.56699454259704,.,,,"L1PA10#LINE/L1,TR"
chr7_pat_hsa8,29320000,29321000,Bonobo,9.565573863204962,.,,,"SEDEF_SD,TR"
chr5_pat_hsa6,45478000,45479000,Bonobo,9.565377046710516,VARS2,protein_coding,valyl-tRNA synthetase 2%2C mitochondrial,.
chr12_mat_hsa2a,125840000,125841000,Bonobo,9.56534711601218,LOC134728629,protein_coding,LWamide neuropeptides-like,"L1M5#LINE/L1,L1MA7#LINE/L1,L1MB3#LINE/L1,L1MC5#LINE/L1,L1MD#LINE/L1,MLT1D#LTR/ERVL-MaLR"
chr2_mat_hsa3,195524000,195525000,Bonobo,9.565191254304592,LOC100975254,protein_coding,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial-like,SEDEF_SD
chr19_pat_hsa17,96372000,96373000,Bonobo,9.56464141755157,.,,,"(A)n#Simple_repeat,AluSq2#SINE/Alu,L1MB7#LINE/L1,SEDEF_SD,TR"
chr6_mat_hsa7,99016000,99017000,Bonobo,9.564392056450915,.,,,TR
chr18_pat_hsa16,239000,240000,Bonobo,9.564161406021443,.,,,"SEDEF_SD,TR"
chr4_mat_hsa5,38655000,38656000,Bonobo,9.563797407346973,IQGAP2,protein_coding,IQ motif containing GTPase activating protein 2,TR
chr17_mat_hsa18,95151000,95152000,Bonobo,9.563377225980615,.,,,"L1MA10#LINE/L1,L2#LINE/L2,MER52C#LTR/ERV1,TR"
chr3_pat_hsa4,161361000,161362000,Bonobo,9.563310163793044,MARCHF1,protein_coding,membrane associated ring-CH-type finger 1,TR
chr20_pat_hsa19,58833000,58834000,Bonobo,9.563237206887408,ZNF600,protein_coding,zinc finger protein 600,TR
chr16_pat_hsa15,80000,81000,Bonobo,9.563007483173863,.,,,"(TATA)n#Simple_repeat,AluJb#SINE/Alu,L1M5#LINE/L1,L1MC5a#LINE/L1,SEDEF_SD,TR"
chr20_pat_hsa19,13586000,13587000,Bonobo,9.562432475849084,.,,,"SEDEF_SD,TR"
chr15_mat_hsa14,105733000,105734000,Bonobo,9.562411038952291,.,,,"ERVL-E-int#LTR/ERVL,L1MC5#LINE/L1,TR"
chr21_mat_hsa20,38833000,38834000,Bonobo,9.562106868226927,.,,,TR
chr11_mat_hsa9,124273000,124274000,Bonobo,9.561534747390393,DOCK8,protein_coding,dedicator of cytokinesis 8,"AluJb#SINE/Alu,AluSq#SINE/Alu,AluSq2#SINE/Alu,L1MA7#LINE/L1,L1MC5#LINE/L1,L1ME4b#LINE/L1,L4_A_Mam#LINE/RTE-X,MLT1F2#LTR/ERVL-MaLR,TR"
chr1_pat_hsa1,105855000,105856000,Bonobo,9.561229890241194,.,,,"AluSx#SINE/Alu,L1MA4A#LINE/L1,L1ME2z#LINE/L1,MIRb#SINE/MIR,SEDEF_SD,TR"
chr6_mat_hsa7,4960000,4961000,Bonobo,9.560907100821076,LOC129398391,protein_coding,putative protein FAM157A,"SEDEF_SD,TR"
chr19_pat_hsa17,96672000,96673000,Bonobo,9.56075021467475,LOC129394408,protein_coding,eukaryotic initiation factor 4A-III-like,"AluSx#SINE/Alu,L2a#LINE/L2,L2d#LINE/L2,SEDEF_SD,TR"
chr5_pat_hsa6,189887000,189888000,Bonobo,9.560682178655947,WDR27,protein_coding,WD repeat domain 27,.
chr3_pat_hsa4,182135000,182136000,Bonobo,9.56016911345396,IRF2,protein_coding,interferon regulatory factor 2,TR
chr6_mat_hsa7,6230000,6231000,Bonobo,9.560125907199781,.,,,.
chr3_pat_hsa4,140502000,140503000,Bonobo,9.560026655817724,INPP4B,protein_coding,inositol polyphosphate-4-phosphatase type II B,.
chr1_pat_hsa1,18125000,18126000,Bonobo,9.55987371576422,.,,,"L1P2#LINE/L1,L2#LINE/L2"
chr10_mat_hsa12,6131000,6132000,Bonobo,9.559826554232576,NINJ2,protein_coding,ninjurin 2,"AluSx#SINE/Alu,L1MB4#LINE/L1,L1ME3G#LINE/L1,L2d#LINE/L2,TR"
chr1_pat_hsa1,214775000,214776000,Bonobo,9.559651471876538,.,,,"SEDEF_SD,TR"
chr10_mat_hsa12,9492000,9493000,Bonobo,9.559091578402759,.,,,"AluJb#SINE/Alu,AluSq2#SINE/Alu,AluY#SINE/Alu,AluYc#SINE/Alu,L1MC4#LINE/L1,TR"
chr11_mat_hsa9,123159000,123160000,Bonobo,9.5585920336522,.,,,"Kanga1a#DNA/TcMar-Tc2,TR"
chr14_pat_hsa13,90919000,90920000,Bonobo,9.558082245809265,.,,,"(AT)n#Simple_repeat,L1ME1#LINE/L1,MSTA#LTR/ERVL-MaLR,TR"
chr18_pat_hsa16,32366000,32367000,Bonobo,9.558014179266912,LOC129394207,protein_coding,nuclear pore complex-interacting protein family member B15-like,"AluSc8#SINE/Alu,L1MB2#LINE/L1,SEDEF_SD,TR"
chr9_pat_hsa11,88474000,88475000,Bonobo,9.557610790083858,.,,,TR
chr5_pat_hsa6,185050000,185051000,Bonobo,9.557487685948624,.,,,TR
chr6_mat_hsa7,13354000,13355000,Bonobo,9.557408309144808,NXPH1,protein_coding,neurexophilin 1,TR
chr2_mat_hsa3,4712000,4713000,Bonobo,9.55716803497173,ITPR1,protein_coding,inositol 1%2C4%2C5-trisphosphate receptor type 1,TR
chr20_pat_hsa19,11500000,11501000,Bonobo,9.557162281449335,.,,,"SEDEF_SD,TR"
chr10_mat_hsa12,33968000,33969000,Bonobo,9.5570567943733309,.,,,"L1M5#LINE/L1,L1MA9#LINE/L1,L1MC#LINE/L1,L1MC1#LINE/L1,L1MEc#LINE/L1,L2c#LINE/L2"
chr1_pat_hsa1,2002000,2003000,Bonobo,9.556849093651055,"ZNF670,LOC103785522",protein_coding;protein_coding,zinc finger protein 670;zinc finger protein 695,"(TTTGTTT)n#Simple_repeat,AluY#SINE/Alu,L1MA3#LINE/L1,L1MCa#LINE/L1,L1PBa#LINE/L1,TR"
chr18_pat_hsa16,3490000,3491000,Bonobo,9.55624780144174,FLYWCH1,protein_coding,FLYWCH-type zinc finger 1,"AluJb#SINE/Alu,AluSx#SINE/Alu,AluSx1#SINE/Alu,L1M4#LINE/L1,MER68#LTR/ERVL,TR"
chr18_pat_hsa16,100045000,100046000,Bonobo,9.556120325028255,.,,,"AluJo#SINE/Alu,AluSx#SINE/Alu,L1M2#LINE/L1,L1M4#LINE/L1,L2a#LINE/L2,SEDEF_SD,TR"
