genes,genes_renamed,descriptions,num_populations,is_shared,Central,Eastern,Western
HBD,HBD,hemoglobin subunit delta,2,Yes,NA,7.295688457,6.229129749
RECQL,RECQL,RecQ like helicase,2,Yes,NA,7.292167254,6.119949499
PDIA2,PDIA2,protein disulfide isomerase family A member 2,2,Yes,NA,7.260434824,6.038635568
COL23A1,COL23A1,collagen type XXIII alpha 1 chain,2,Yes,NA,7.233708314,6.073052296
C4H4orf19,C4H4orf19,chromosome 4 C4orf19 homolog,2,Yes,NA,7.211360091,6.233925289
PWP2,PWP2,PWP2 small subunit processome component,2,Yes,NA,7.16048651,6.103425366
SKI,SKI,SKI proto-oncogene,2,Yes,NA,7.153165678,6.031326087
ZNF16,ZNF16,zinc finger protein 16,2,Yes,NA,7.148382214,6.780114691
PAOX,PAOX,polyamine oxidase,2,Yes,NA,7.128947727,6.63347993
LOC112208690,MYLK2,myosin light chain kinase 2%2C skeletal/cardiac muscle-like,2,Yes,NA,7.122787397,7.860533796
ZBTB46,ZBTB46,zinc finger and BTB domain containing 46,2,Yes,NA,7.08210341,7.108724967
CENPQ,CENPQ,centromere protein Q,2,Yes,NA,7.079948725,7.179342061
RBM20,RBM20,RNA binding motif protein 20,2,Yes,NA,7.07967729,6.300004707
CLBA1,CLBA1,clathrin binding box of aftiphilin containing 1,2,Yes,NA,7.050626168,6.602188421
COL5A1,COL5A1,collagen type V alpha 1 chain,2,Yes,NA,6.916338509,6.762227313
ZNF761,ZNF761,zinc finger protein 761,2,Yes,NA,6.827937915,7.45718267
SMCO4,SMCO4,single-pass membrane protein with coiled-coil domains 4,2,Yes,NA,6.746323643,6.324096739
LOC129137268,HBA3-like,hemoglobin subunit alpha-3-like,2,Yes,NA,6.720137535,9.002494182
LYAR,LYAR,Ly1 antibody reactive,2,Yes,NA,6.692861985,6.043990642
HTRA3,HTRA3,HtrA serine peptidase 3,2,Yes,NA,6.652947458,6.008772842
LOC107970891,SDHA,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial,2,Yes,NA,6.622683865,7.621584691
TUBGCP2,TUBGCP2,tubulin gamma complex component 2,2,Yes,NA,6.599392216,6.807810912
CRYL1,CRYL1,crystallin lambda 1,2,Yes,NA,6.579638958,6.137917124
MTA1,MTA1,metastasis associated 1,2,Yes,NA,6.571756397,7.71934698
KLRC4,KLRC4,killer cell lectin like receptor C4,2,Yes,NA,6.54125425,6.192607255
MTERF4,MTERF4,sushi%2C nidogen and EGF like domains 1;mitochondrial transcription termination factor 4,2,Yes,NA,6.48727015,6.015072981
SNED1,SNED1,sushi%2C nidogen and EGF like domains 1;mitochondrial transcription termination factor 4,2,Yes,NA,6.48727015,6.015072981
GLOD4,GLOD4,glyoxalase domain containing 4,2,Yes,NA,6.454607473,6.168141097
C3H4orf50,C3H4orf50,chromosome 3 C4orf50 homolog,2,Yes,NA,6.431575413,7.049992493
XIRP2,XIRP2,xin actin binding repeat containing 2,2,Yes,NA,6.425241173,6.720650235
RPTOR,RPTOR,regulatory associated protein of MTOR complex 1,2,Yes,NA,6.40902471,6.171775696
ACTG1,ACTG1,actin gamma 1,2,Yes,NA,6.342811832,6.036922824
FN3KRP,FN3KRP,fructosamine 3 kinase related protein,2,Yes,NA,6.26808848,6.487919106
MYO10,MYO10,myosin X,2,Yes,NA,6.259652965,6.76323286
TGM6,TGM6,transglutaminase 6,2,Yes,NA,6.240190222,6.119723763
PRSS55,PRSS55,serine protease 51;serine protease 55,2,Yes,NA,6.236955866,6.130060113
FAM110A,FAM110A,family with sequence similarity 110 member A,2,Yes,NA,6.234968649,6.183981858
INSR,INSR,insulin receptor,2,Yes,NA,6.138015513,6.289329703
PLD5,PLD5,phospholipase D family member 5,2,Yes,NA,6.126388408,6.127806501
GPR132,GPR132,G protein-coupled receptor 132,2,Yes,NA,6.082672056,6.423240005
IGSF21,IGSF21,immunoglobin superfamily member 21,2,Yes,NA,6.081490149,6.605882813
ZSCAN5C,ZSCAN5C,zinc finger and SCAN domain containing 5C,2,Yes,15.1135137,13.21705038,NA
LOC457604,CFHR4,complement factor H-related protein 4,2,Yes,14.3003813,10.65518891,NA
LOC100611617,UPF0607,putative UPF0607 protein ENSP00000383144,2,Yes,13.44786477,9.255919578,NA
TRAPPC9,TRAPPC9,trafficking protein particle complex subunit 9,2,Yes,11.82820224,6.495008441,NA
CRACD,CRACD,capping protein inhibiting regulator of actin dynamics,2,Yes,11.68297919,8.92803473,NA
CFHR4,CFHR4,complement factor H related 4,2,Yes,11.61758219,7.978498807,NA
INPP4B,INPP4B,inositol polyphosphate-4-phosphatase type II B,2,Yes,11.54133197,8.52142669,NA
PATR-DPB1,HLA-DPB1,major histocompatibility complex%2C class II%2C DP beta 1,2,Yes,11.49076509,NA,7.121780992
DPEP1,DPEP1,dipeptidase 1,2,Yes,11.41339876,NA,7.403037572
NLRP9,NLRP9,NLR family pyrin domain containing 9,2,Yes,11.3174818,9.010786785,NA
CHSY1,CHSY1,chondroitin sulfate synthase 1,2,Yes,11.27993763,8.173854238,NA
MYO3B,MYO3B,myosin IIIB,2,Yes,11.13464585,7.18674299,NA
PIK3C2G,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,2,Yes,11.1303535,8.689739061,NA
NEDD4L,NEDD4L,NEDD4 like E3 ubiquitin protein ligase,2,Yes,11.11764169,8.327513697,NA
PRKN,PRKN,parkin RBR E3 ubiquitin protein ligase,2,Yes,11.0742214,8.536085752,NA
PDYN,PDYN,prodynorphin,2,Yes,10.95859873,7.698701308,NA
TMC7,TMC7,transmembrane channel like 7,2,Yes,10.90453724,8.166466565,NA
LOC134806951,TAFA1,TAFA chemokine like family member 1,2,Yes,10.64890225,NA,6.087457501
SVOPL,SVOPL,SVOP like,2,Yes,10.58926609,7.670439568,NA
NETO1,NETO1,neuropilin and tolloid like 1,2,Yes,10.54723042,7.239016938,NA
FARP2,FARP2,FERM%2C ARH/RhoGEF and pleckstrin domain protein 2,2,Yes,10.54456372,NA,6.536897678
SYNE1,SYNE1,spectrin repeat containing nuclear envelope protein 1,2,Yes,10.41882038,7.791082896,NA
CCDC102B,CCDC102B,coiled-coil domain containing 102B,2,Yes,10.40285376,7.265153599,NA
LOC134807488,SLCO1B7,putative solute carrier organic anion transporter family member 1B7,2,Yes,10.38094649,7.40238574,NA
TMEM51,TMEM51,transmembrane protein 51,2,Yes,10.3737855,8.684394803,NA
SDK2,SDK2,sidekick cell adhesion molecule 2,2,Yes,10.32284769,6.530845853,NA
BACH1,BACH1,BTB domain and CNC homolog 1,2,Yes,10.30536083,7.887797634,NA
EVC2,EVC2,EvC ciliary complex subunit 2;uncharacterized LOC134809856,2,Yes,10.30123047,7.950343823,NA
ABHD2,ABHD2,abhydrolase domain containing 2%2C acylglycerol lipase,2,Yes,10.26364494,7.466333679,NA
PSMB8,PSMB8,proteasome 20S subunit beta 8;uncharacterized LOC101058445,2,Yes,10.20405707,6.935676231,NA
TRIM16,TRIM16,tripartite motif containing 16,2,Yes,10.18250476,6.863292498,NA
MUC16,MUC16,mucin 16%2C cell surface associated,2,Yes,10.11510738,8.140362419,NA
HS3ST2,HS3ST2,heparan sulfate-glucosamine 3-sulfotransferase 2,2,Yes,10.09864526,NA,7.028244184
TMEM132C,TMEM132C,transmembrane protein 132C,2,Yes,10.09012083,8.139291282,NA
LOC134807808,BCAS1,breast carcinoma-amplified sequence 4-like,2,Yes,10.08548127,NA,6.16804258
PLB1,PLB1,phospholipase B1,2,Yes,10.07524877,7.347857162,NA
CCHCR1,CCHCR1,coiled-coil alpha-helical rod protein 1,2,Yes,10.072895,7.083532654,NA
IQGAP2,IQGAP2,IQ motif containing GTPase activating protein 2,2,Yes,10.03655417,NA,6.053154036
MSRA,MSRA,methionine sulfoxide reductase A;serine protease 51,2,Yes,10.03516896,NA,8.066107271
PRSS51,PRSS51,methionine sulfoxide reductase A;serine protease 51,2,Yes,10.03516896,NA,8.066107271
CTNNA3,CTNNA3,catenin alpha 3,2,Yes,9.996717994,7.07928676,NA
PATJ,PATJ,PATJ crumbs cell polarity complex component,2,Yes,9.98614589,6.879317428,NA
PRR5L,PRR5L,proline rich 5 like,2,Yes,9.860562149,7.834515519,NA
MYOCD,MYOCD,myocardin,2,Yes,9.846405927,6.920871001,NA
WDR19,WDR19,WD repeat domain 19,2,Yes,9.799238627,7.50838679,NA
RALYL,RALYL,RALY RNA binding protein like,2,Yes,9.778662644,6.267310674,NA
IGSF5,IGSF5,immunoglobulin superfamily member 5,2,Yes,9.774158542,6.416353406,NA
KCNG4,KCNG4,potassium voltage-gated channel modifier subfamily G member 4,2,Yes,9.770370348,6.488871146,NA
ADAM18,ADAM18,ADAM metallopeptidase domain 18,2,Yes,9.719067637,7.733685811,NA
ABCA13,ABCA13,ATP binding cassette subfamily A member 13,2,Yes,9.699449337,7.642147581,NA
NINJ2,NINJ2,ninjurin 2,2,Yes,9.685426718,7.2298407,NA
SORCS1,SORCS1,sortilin related VPS10 domain containing receptor 1,2,Yes,9.638523245,7.02115751,NA
NPAS2,NPAS2,neuronal PAS domain protein 2,2,Yes,9.584486569,6.460840035,NA
SV2B,SV2B,synaptic vesicle glycoprotein 2B,2,Yes,9.546914858,6.874246059,NA
SLC37A3,SLC37A3,solute carrier family 37 member 3,2,Yes,9.540190111,6.366766721,NA
PDILT,PDILT,protein disulfide isomerase like%2C testis expressed,2,Yes,9.508779108,6.950817733,NA
PRKAG2,PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2,2,Yes,9.499928611,6.557922735,NA
NALF1,NALF1,NALCN channel auxiliary factor 1,2,Yes,9.494683596,7.006413783,NA
PLD3,PLD3,phospholipase D family member 3,2,Yes,9.483384399,6.773676308,NA
GPR45,GPR45,G protein-coupled receptor 45,2,Yes,9.470175293,6.669312825,NA
CNTNAP5,CNTNAP5,contactin associated protein family member 5,2,Yes,9.459470741,8.807856947,NA
DNER,DNER,delta/notch like EGF repeat containing,2,Yes,9.441408224,6.726699639,NA
RAI14,RAI14,retinoic acid induced 14,2,Yes,9.416044947,6.643397401,NA
GRIK1,GRIK1,BTB domain and CNC homolog 1;glutamate ionotropic receptor kainate type subunit 1,2,Yes,9.381458358,6.873800695,NA
FHIT,FHIT,fragile histidine triad diadenosine triphosphatase,2,Yes,9.352290568,6.59646822,NA
LILRA5,LILRA5,leukocyte immunoglobulin like receptor A5,2,Yes,9.299416584,6.836257645,NA
RYR2,RYR2,ryanodine receptor 2,2,Yes,9.290203556,8.486880636,NA
WDR59,WDR59,WD repeat domain 59,2,Yes,9.271565456,6.633610013,NA
LOC129136901,PARP4,protein mono-ADP-ribosyltransferase PARP4-like,2,Yes,9.238068153,7.316493062,NA
EEPD1,EEPD1,endonuclease/exonuclease/phosphatase family domain containing 1,2,Yes,9.227227414,7.278853611,NA
LOC129144122,LOC129144122,collagen type XXIII alpha 1 chain;uncharacterized LOC129144122,2,Yes,9.20586565,6.237280597,NA
SLC35F3,SLC35F3,solute carrier family 35 member F3,2,Yes,9.203280026,6.778855789,NA
FGF12,FGF12,fibroblast growth factor 12,2,Yes,9.198989916,6.506480746,NA
WDR72,WDR72,WD repeat domain 72,2,Yes,9.155183198,6.678234247,NA
PTPRR,PTPRR,protein tyrosine phosphatase receptor type R,2,Yes,9.147787238,7.940905056,NA
HSD17B2,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2,2,Yes,9.147074393,NA,6.070036677
CNGB1,CNGB1,cyclic nucleotide gated channel subunit beta 1,2,Yes,9.142538738,6.323794753,NA
TENM3,TENM3,teneurin transmembrane protein 3,2,Yes,9.141955996,7.050154094,NA
CBLN2,CBLN2,cerebellin 2 precursor,2,Yes,9.129515193,6.884242616,NA
COL19A1,COL19A1,collagen type XIX alpha 1 chain,2,Yes,9.120342422,6.654011431,NA
NAT1,NAT1,N-acetyltransferase 1,2,Yes,9.11985662,6.931846068,NA
TRPC4,TRPC4,transient receptor potential cation channel subfamily C member 4,2,Yes,9.104852817,6.496368082,NA
LOC107966728,RSU1,ras suppressor protein 1-like;ankyrin repeat domain-containing protein 30B-like,2,Yes,9.103509956,6.224701749,NA
LOC450427,LOC450427,ras suppressor protein 1-like;ankyrin repeat domain-containing protein 30B-like,2,Yes,9.103509956,6.224701749,NA
DOK5,DOK5,docking protein 5,2,Yes,9.098101424,6.734465897,NA
GMDS,GMDS,GDP-mannose 4%2C6-dehydratase,2,Yes,9.090021586,7.662370547,NA
CTNNA2,CTNNA2,catenin alpha 2,2,Yes,9.083705563,7.793050421,NA
EXOC2,EXOC2,exocyst complex component 2;cbp/p300-interacting transactivator 4-like,2,Yes,9.083258479,6.494856396,NA
LOC134810254,LOC134810254,exocyst complex component 2;cbp/p300-interacting transactivator 4-like,2,Yes,9.083258479,6.494856396,NA
VLDLR,VLDLR,very low density lipoprotein receptor,2,Yes,9.080929109,6.646492717,NA
TMEM131L,TMEM131L,transmembrane 131 like,2,Yes,9.075171775,6.345765915,NA
USP13,USP13,ubiquitin specific peptidase 13,2,Yes,9.05989425,6.456009778,NA
ZFR2,ZFR2,zinc finger RNA binding protein 2,2,Yes,9.052087875,NA,6.058194484
LRRC4C,LRRC4C,leucine rich repeat containing 4C,2,Yes,9.044314433,6.929584027,NA
AGPAT4,AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4,2,Yes,9.031225457,7.088861532,NA
MRS2,MRS2,magnesium transporter MRS2,2,Yes,9.028714414,6.204056122,NA
PLCB1,PLCB1,phospholipase C beta 1,2,Yes,9.015176348,7.375073293,NA
GALNT17,GALNT17,polypeptide N-acetylgalactosaminyltransferase 17,2,Yes,8.986056114,6.330994115,NA
NALCN,NALCN,sodium leak channel%2C non-selective,2,Yes,8.982237629,6.293503657,NA
C8B,C8B,complement C8 beta chain,2,Yes,8.964032636,6.077341326,NA
LOC461139,GBA3,cytosolic beta-glucosidase,2,Yes,8.947515648,8.59653058,NA
COL14A1,COL14A1,collagen type XIV alpha 1 chain,2,Yes,8.929482412,6.296827691,NA
NRROS,NRROS,negative regulator of reactive oxygen species,2,Yes,8.927908399,7.19519903,NA
GSDMC,GSDMC,gasdermin C,2,Yes,8.924420062,6.26839971,NA
PPDPFL,PPDPFL,pancreatic progenitor cell differentiation and proliferation factor like,2,Yes,8.923483666,6.430769429,NA
CDON,CDON,cell adhesion associated%2C oncogene regulated,2,Yes,8.889690668,6.29770434,NA
ATP13A2,ATP13A2,ATPase cation transporting 13A2,2,Yes,8.888059402,7.197746057,NA
ASTN2,ASTN2,astrotactin 2,2,Yes,8.883428293,6.583384294,NA
CHN2,CHN2,chimerin 2,2,Yes,8.870690075,6.623625936,NA
RSPO4,RSPO4,R-spondin 4,2,Yes,8.857470198,6.549500865,NA
LEPR,LEPR,leptin receptor,2,Yes,8.85497233,6.509952705,NA
STK32B,STK32B,serine/threonine kinase 32B,2,Yes,8.847170959,6.41074667,NA
SCN9A,SCN9A,sodium voltage-gated channel alpha subunit 9,2,Yes,8.825889294,6.38358696,NA
SGMS1,SGMS1,sphingomyelin synthase 1,2,Yes,8.817484952,6.702992627,NA
KIRREL3,KIRREL3,kirre like nephrin family adhesion molecule 3,2,Yes,8.810117047,6.35483169,NA
ZFAT,ZFAT,zinc finger and AT-hook domain containing,2,Yes,8.799430047,6.558093674,NA
SLC39A11,SLC39A11,solute carrier family 39 member 11,2,Yes,8.782762535,6.794104583,NA
ERBB4,ERBB4,erb-b2 receptor tyrosine kinase 4,2,Yes,8.774330553,6.457662183,NA
GPR158,GPR158,G protein-coupled receptor 158,2,Yes,8.767138138,6.415572966,NA
LAMP3,LAMP3,lysosomal associated membrane protein 3,2,Yes,8.757516137,7.915265257,NA
NWD2,NWD2,NACHT and WD repeat domain containing 2,2,Yes,8.746351114,6.6689308,NA
NAALADL2,NAALADL2,N-acetylated alpha-linked acidic dipeptidase like 2,2,Yes,8.739831861,6.729416477,NA
PRUNE2,PRUNE2,prune homolog 2 with BCH domain,2,Yes,8.739723074,6.3939141,NA
DNAH5,DNAH5,dynein axonemal heavy chain 5,2,Yes,8.700288238,7.639049329,NA
NCAM2,NCAM2,neural cell adhesion molecule 2,2,Yes,8.680375945,6.471447851,NA
ACP3,ACP3,acid phosphatase 3,2,Yes,8.671740861,6.884198722,NA
ROBO2,ROBO2,roundabout guidance receptor 2,2,Yes,8.661100444,6.20144878,NA
SBNO2,SBNO2,strawberry notch homolog 2,2,Yes,8.633873525,7.42880379,NA
TACC2,TACC2,transforming acidic coiled-coil containing protein 2,2,Yes,8.631515305,6.587330797,NA
ZNF536,ZNF536,zinc finger protein 536,2,Yes,8.619208147,6.234360317,NA
CPHL1,CPHL1,ceruloplasmin and hephaestin like 1,2,Yes,8.567691303,6.726090281,NA
AFF3,AFF3,ALF transcription elongation factor 3,2,Yes,8.561224929,7.389220547,NA
HSD17B11,HSD17B11,hydroxysteroid 17-beta dehydrogenase 11,2,Yes,8.547740789,6.480451338,NA
COL28A1,COL28A1,collagen type XXVIII alpha 1 chain,2,Yes,8.537213938,6.544572133,NA
EDNRA,EDNRA,endothelin receptor type A;uncharacterized LOC107974436,2,Yes,8.525572416,6.069209222,NA
THSD7A,THSD7A,thrombospondin type 1 domain containing 7A,2,Yes,8.504662902,6.485716937,NA
ATP10A,ATP10A,ATPase phospholipid transporting 10A (putative),2,Yes,8.499775689,6.786395335,NA
PTPRT,PTPRT,protein tyrosine phosphatase receptor type T,2,Yes,8.475193965,6.495490347,NA
BOC,BOC,BOC cell adhesion associated%2C oncogene regulated,2,Yes,8.466028695,7.177210906,NA
FSTL5,FSTL5,follistatin like 5,2,Yes,8.460319421,7.517748485,NA
KIAA1217,KIAA1217,KIAA1217,2,Yes,8.456501219,6.624091457,NA
PPM1H,PPM1H,protein phosphatase%2C Mg2+/Mn2+ dependent 1H,2,Yes,8.419893414,6.737461002,NA
GRIK2,GRIK2,glutamate ionotropic receptor kainate type subunit 2,2,Yes,8.414110817,6.84709288,NA
PDE9A,PDE9A,phosphodiesterase 9A,2,Yes,8.346404791,6.319568229,NA
DUSP22,DUSP22,dual specificity phosphatase 22,2,Yes,8.341069982,6.127322451,NA
MAGI2,MAGI2,membrane associated guanylate kinase%2C WW and PDZ domain containing 2,2,Yes,8.33539907,6.614172547,NA
SLC7A2,SLC7A2,solute carrier family 7 member 2,2,Yes,8.322529741,6.348377483,NA
MYO16,MYO16,myosin XVI,2,Yes,8.317945278,6.003486064,NA
ZNF230,ZNF230,zinc finger protein 230,2,Yes,8.317518748,6.26947753,NA
PDZRN3,PDZRN3,PDZ domain containing ring finger 3,2,Yes,8.269275239,6.025687918,NA
FTO,FTO,FTO alpha-ketoglutarate dependent dioxygenase,2,Yes,8.25602598,6.952254256,NA
MYZAP,MYZAP,myocardial zonula adherens protein,2,Yes,8.253775968,7.173406779,NA
SLCO3A1,SLCO3A1,solute carrier organic anion transporter family member 3A1,2,Yes,8.246741764,6.760373923,NA
MGAT4A,MGAT4A,alpha-1%2C3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A,2,Yes,8.24599955,6.766716387,NA
ENTREP2,ENTREP2,endosomal transmembrane epsin interactor 2,2,Yes,8.221810778,7.295450857,NA
ANXA10,ANXA10,annexin A10,2,Yes,8.218408409,6.151751712,NA
SPON1,SPON1,spondin 1,2,Yes,8.206307303,7.246039846,NA
WWOX,WWOX,WW domain containing oxidoreductase,2,Yes,8.165852795,8.044334968,NA
PDE10A,PDE10A,phosphodiesterase 10A,2,Yes,8.160311395,6.39661309,NA
NXPE1,NXPE1,neurexophilin and PC-esterase domain family member 1,2,Yes,8.159042014,6.288130505,NA
ADGRE1,ADGRE1,adhesion G protein-coupled receptor E1,2,Yes,8.158402447,6.935254582,NA
SPATA17,SPATA17,spermatogenesis associated 17,2,Yes,8.153761384,7.358599455,NA
AGAP1,AGAP1,ArfGAP with GTPase domain%2C ankyrin repeat and PH domain 1,2,Yes,8.153602069,8.434189816,NA
DOCK4,DOCK4,dedicator of cytokinesis 4,2,Yes,8.152605428,6.249858046,NA
TENM2,TENM2,teneurin transmembrane protein 2,2,Yes,8.138605909,7.001759576,NA
UBAC1,UBAC1,UBA domain containing 1,2,Yes,8.136086773,6.008349192,NA
ACTR3C,ACTR3C,actin related protein 3C,2,Yes,8.132262455,6.223917259,NA
CCDC154,CCDC154,coiled-coil domain containing 154,2,Yes,8.114321897,6.352046213,NA
RCN1,RCN1,reticulocalbin 1,2,Yes,8.093451337,6.081740727,NA
LOC744128,LOC744128,tumor necrosis factor receptor superfamily member 10D,2,Yes,8.073806819,6.090944256,NA
GNG4,GNG4,G protein subunit gamma 4,2,Yes,8.070912598,6.063300035,NA
IQCA1,IQCA1,IQ motif containing with AAA domain 1;uncharacterized LOC104005427,2,Yes,8.05873086,7.008983869,NA
MYO5B,MYO5B,myosin VB,2,Yes,8.034912377,6.028889506,NA
ADAM22,ADAM22,ADAM metallopeptidase domain 22,2,Yes,8.02182519,6.167996628,NA
NRXN3,NRXN3,neurexin 3,2,Yes,8.016764019,NA,6.400834996
SCPEP1,SCPEP1,serine carboxypeptidase 1,2,Yes,7.990349688,6.103679759,NA
NID1,NID1,nidogen 1,2,Yes,7.985954933,6.138765753,NA
LMF1,LMF1,lipase maturation factor 1,2,Yes,7.983712859,6.853169363,NA
MALRD1,MALRD1,MAM and LDL receptor class A domain containing 1,2,Yes,7.958047425,6.414251646,NA
FAT3,FAT3,FAT atypical cadherin 3,2,Yes,7.944561014,6.450649016,NA
ASIC2,ASIC2,acid sensing ion channel subunit 2,2,Yes,7.94061783,6.929951158,NA
ZMAT4,ZMAT4,zinc finger matrin-type 4,2,Yes,7.934506656,6.759353608,NA
RP1,RP1,RP1 axonemal microtubule associated,2,Yes,7.874909835,6.481915844,NA
ANXA4,ANXA4,annexin A4,2,Yes,7.85776747,7.208287071,NA
PTDSS2,PTDSS2,phosphatidylserine synthase 2,2,Yes,7.818496537,7.270856132,NA
SOX5,SOX5,SRY-box transcription factor 5,2,Yes,7.797451767,6.055545362,NA
GPATCH2,GPATCH2,G-patch domain containing 2,2,Yes,7.796929643,6.145317406,NA
CAMTA1,CAMTA1,calmodulin binding transcription activator 1,2,Yes,7.774745185,6.599203121,NA
KCNK13,KCNK13,potassium two pore domain channel subfamily K member 13,2,Yes,7.771280424,6.058964355,NA
TRIM34,TRIM34,tripartite motif containing 34,2,Yes,7.766225986,6.040018231,NA
LSAMP,LSAMP,limbic system associated membrane protein,2,Yes,7.753093104,6.383793963,NA
MDGA2,MDGA2,MAM domain containing glycosylphosphatidylinositol anchor 2,2,Yes,7.748776207,6.456780256,NA
DNAAF1,DNAAF1,dynein axonemal assembly factor 1,2,Yes,7.728123238,6.098583895,NA
SLC24A3,SLC24A3,solute carrier family 24 member 3,2,Yes,7.721634095,6.027669654,NA
ROBO1,ROBO1,roundabout guidance receptor 1,2,Yes,7.714318187,6.878968913,NA
CHST11,CHST11,carbohydrate sulfotransferase 11,2,Yes,7.710772246,7.447056625,NA
ZNF354A,ZNF354A,zinc finger protein 354A,2,Yes,7.707747339,6.441587427,NA
STAM,STAM,signal transducing adaptor molecule,2,Yes,7.704572008,7.117589382,NA
ZC3HAV1,ZC3HAV1,zinc finger CCCH-type containing%2C antiviral 1,2,Yes,7.7000952,6.038262191,NA
PACRG,PACRG,parkin coregulated,2,Yes,7.693244101,7.380452836,NA
ZNF804A,ZNF804A,zinc finger protein 804A,2,Yes,7.6871738,6.167728958,NA
COLEC10,COLEC10,collectin subfamily member 10,2,Yes,7.653411599,6.110606808,NA
ST3GAL1,ST3GAL1,ST3 beta-galactoside alpha-2%2C3-sialyltransferase 1,2,Yes,7.636869945,6.795740175,NA
ZNF444,ZNF444,zinc finger protein 444,2,Yes,7.627811499,6.004602507,NA
BNC2,BNC2,basonuclin zinc finger protein 2,2,Yes,7.616356801,7.780281108,NA
LRRK2,LRRK2,leucine rich repeat kinase 2,2,Yes,7.614152656,6.018230978,NA
DLC1,DLC1,DLC1 Rho GTPase activating protein,2,Yes,7.596541893,7.32482184,NA
MICAL2,MICAL2,microtubule associated monooxygenase%2C calponin and LIM domain containing 2,2,Yes,7.586978047,7.127363553,NA
MYLK4,MYLK4,myosin light chain kinase family member 4,2,Yes,7.583760646,6.664075407,NA
CAP2,CAP2,cyclase associated actin cytoskeleton regulatory protein 2,2,Yes,7.579427978,6.234297765,NA
AKAP6,AKAP6,A-kinase anchoring protein 6,2,Yes,7.570558312,7.423283374,NA
LOC743528,CDC14C,dual specificity protein phosphatase CDC14C-like,2,Yes,7.568102355,NA,6.672609693
ADGRB3,ADGRB3,adhesion G protein-coupled receptor B3,2,Yes,7.562349636,7.21096154,NA
LCP1,LCP1,lymphocyte cytosolic protein 1,2,Yes,7.559719701,6.752014907,NA
MTUS2,MTUS2,microtubule associated scaffold protein 2,2,Yes,7.548390588,6.671618099,NA
CACNB2,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,2,Yes,7.532602384,7.078312913,NA
TBCD,TBCD,tubulin folding cofactor D,2,Yes,7.479513204,8.042170136,NA
DPYD,DPYD,dihydropyrimidine dehydrogenase,2,Yes,7.464360249,6.195208894,NA
TMEM114,TMEM114,transmembrane protein 114,2,Yes,7.461145038,6.267351431,NA
TMC5,TMC5,transmembrane channel like 5,2,Yes,7.429060287,7.714183433,NA
ALK,ALK,ALK receptor tyrosine kinase,2,Yes,7.421310216,6.704120659,NA
LRP1B,LRP1B,LDL receptor related protein 1B,2,Yes,7.408439505,7.618954415,NA
CEP112,CEP112,centrosomal protein 112,2,Yes,7.403390115,6.005835843,NA
GLT1D1,GLT1D1,glycosyltransferase 1 domain containing 1,2,Yes,7.402358997,9.25851591,NA
DCLRE1C,DCLRE1C,DNA cross-link repair 1C,2,Yes,7.401264577,6.696452336,NA
PRPF18,PRPF18,pre-mRNA processing factor 18,2,Yes,7.4005278,6.358364275,NA
LOC736064,LOC736064,lysozyme-like protein 1,2,Yes,7.39008476,6.078694823,NA
NLRP2,NLRP2,NLR family pyrin domain containing 2,2,Yes,7.353246138,6.505757664,NA
GLIS3,GLIS3,GLIS family zinc finger 3,2,Yes,7.352050526,7.057794624,NA
NLGN1,NLGN1,neuroligin 1,2,Yes,7.331323686,7.2351286,NA
C8H8orf89,C8H8orf89,chromosome 8 C8orf89 homolog,2,Yes,7.323383039,6.621132659,NA
SLC9A9,SLC9A9,solute carrier family 9 member A9,2,Yes,7.31596435,6.536499966,NA
COL24A1,COL24A1,collagen type XXIV alpha 1 chain,2,Yes,7.310206251,7.356948177,NA
CFAP46,CFAP46,cilia and flagella associated protein 46,2,Yes,7.295787598,7.849165499,NA
CD96,CD96,CD96 molecule,2,Yes,7.284143663,6.782255665,NA
EPSTI1,EPSTI1,epithelial stromal interaction 1,2,Yes,7.279367339,7.040833969,NA
MOV10L1,MOV10L1,Mov10 like RNA helicase 1,2,Yes,7.267988747,7.035763834,NA
LINGO3,LINGO3,leucine rich repeat and Ig domain containing 3,2,Yes,7.243450336,6.106049451,NA
TNK2,TNK2,tyrosine kinase non receptor 2,2,Yes,7.228521949,6.618614759,NA
LOC100614054,LOC100614054,tryptase delta,2,Yes,7.213718235,7.597763256,NA
MEOX2,MEOX2,mesenchyme homeobox 2,2,Yes,7.207596812,6.077990394,NA
C10H10orf90,C10H10orf90,chromosome 10 C10orf90 homolog,2,Yes,7.154804067,6.03085044,NA
LOC129135326,LOC129135326,mesothelin-like protein,2,Yes,7.133504769,6.544756706,NA
SYNPR,SYNPR,synaptoporin;uncharacterized LOC112208636,2,Yes,7.119587226,6.025092266,NA
DLGAP1,DLGAP1,DLG associated protein 1,2,Yes,7.117974064,8.690510774,NA
EYA2,EYA2,EYA transcriptional coactivator and phosphatase 2,2,Yes,7.099155579,6.551572953,NA
