chromosome,start,end,population,avg_tmrca_myr,genes,genes_renamed,gene_biotypes,descriptions
chr11_hap1_hsa9,106123000,106124000,Eastern,10.84077512,PTPRD,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D
chr20_hap1_hsa19,55369000,55370000,Eastern,10.83942425,ZNF578,ZNF578,protein_coding,zinc finger protein 578
chr20_hap1_hsa19,55369000,55370000,Western,10.83942425,ZNF578,ZNF578,protein_coding,zinc finger protein 578
chr1_hap1_hsa1,219881000,219882000,Eastern,10.839135,TNFRSF8,TNFRSF8,protein_coding,TNF receptor superfamily member 8
chr18_hap1_hsa16,81015000,81016000,Central,10.83822371,CDH13,CDH13,protein_coding,cadherin 13
chr18_hap1_hsa16,81015000,81016000,Eastern,10.83822371,CDH13,CDH13,protein_coding,cadherin 13
chr22_hap1_hsa21,46617000,46618000,Eastern,10.83553189,PCBP3,PCBP3,protein_coding,poly(rC) binding protein 3
chr8_hap1_hsa10,94871000,94872000,Eastern,10.83397692,NRG3,NRG3,protein_coding,neuregulin 3
chr3_hap1_hsa4,7831000,7832000,Eastern,10.83337983,SORCS2,SORCS2,protein_coding,sortilin related VPS10 domain containing receptor 2
chr3_hap1_hsa4,7831000,7832000,Western,10.83337983,SORCS2,SORCS2,protein_coding,sortilin related VPS10 domain containing receptor 2
chr18_hap1_hsa16,23062000,23063000,Eastern,10.83190473,ACSM5,ACSM5,protein_coding,acyl-CoA synthetase medium chain family member 5
chr18_hap1_hsa16,23062000,23063000,Western,10.83190473,ACSM5,ACSM5,protein_coding,acyl-CoA synthetase medium chain family member 5
chr10_hap1_hsa12,54395000,54396000,Central,10.82988221,PDZRN4,PDZRN4,protein_coding,PDZ domain containing ring finger 4
chr10_hap1_hsa12,54395000,54396000,Eastern,10.82988221,PDZRN4,PDZRN4,protein_coding,PDZ domain containing ring finger 4
chr10_hap1_hsa12,54395000,54396000,Western,10.82988221,PDZRN4,PDZRN4,protein_coding,PDZ domain containing ring finger 4
chr8_hap1_hsa10,66581000,66582000,Eastern,10.8278152,PCDH15,PCDH15,protein_coding,protocadherin related 15
chr2_hap1_hsa3,11218000,11219000,Eastern,10.82602562,GRM7,GRM7,protein_coding,glutamate metabotropic receptor 7
chr9_hap1_hsa11,82242000,82243000,Eastern,10.82477354,TENM4,TENM4,protein_coding,teneurin transmembrane protein 4
chr9_hap1_hsa11,82242000,82243000,Western,10.82477354,TENM4,TENM4,protein_coding,teneurin transmembrane protein 4
chr5_hap1_hsa6,36035000,36036000,Central,10.82360679,TRIM31,TRIM31,protein_coding,tripartite motif containing 31
chr12_hap1_hsa2a,121746000,121747000,Eastern,10.82198663,SNTG2,SNTG2,protein_coding,syntrophin gamma 2
chr7_hap1_hsa8,10712000,10713000,Western,10.82179071,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr16_hap1_hsa15,78144000,78145000,Eastern,10.81953654,AGBL1,AGBL1,protein_coding,AGBL carboxypeptidase 1
chr16_hap1_hsa15,78144000,78145000,Western,10.81953654,AGBL1,AGBL1,protein_coding,AGBL carboxypeptidase 1
chr9_hap1_hsa11,9601000,9602000,Eastern,10.8190654,HBE1,HBE1,protein_coding,hemoglobin subunit epsilon 1
chr11_hap1_hsa9,3677000,3678000,Eastern,10.81649509,COL5A1,COL5A1,protein_coding,collagen type V alpha 1 chain
chr11_hap1_hsa9,3677000,3678000,Western,10.81649509,COL5A1,COL5A1,protein_coding,collagen type V alpha 1 chain
chr19_hap1_hsa17,14304000,14305000,Eastern,10.81482177,ITGAE,ITGAE,protein_coding,integrin subunit alpha E
chr7_hap1_hsa8,59046000,59047000,Eastern,10.81029876,SNTG1,SNTG1,protein_coding,syntrophin gamma 1
chr7_hap1_hsa8,59046000,59047000,Western,10.81029876,SNTG1,SNTG1,protein_coding,syntrophin gamma 1
chr9_hap1_hsa11,136324000,136325000,Eastern,10.80841148,GLB1L2,GLB1L2,protein_coding,galactosidase beta 1 like 2
chr9_hap1_hsa11,136324000,136325000,Eastern,10.80841148,B3GAT1,B3GAT1,protein_coding,beta-1%2C3-glucuronyltransferase 1
chr7_hap1_hsa8,16494000,16495000,Eastern,10.80692695,PRSS51,PRSS51,protein_coding,serine protease 51
chr7_hap1_hsa8,16494000,16495000,Western,10.80692695,PRSS51,PRSS51,protein_coding,serine protease 51
chr8_hap1_hsa10,25845000,25846000,Eastern,10.80515165,CCDC3,CCDC3,protein_coding,coiled-coil domain containing 3
chr6_hap1_hsa7,162122000,162123000,Eastern,10.79965658,CNTNAP2,CNTNAP2,protein_coding,contactin associated protein 2
chr13_hap1_hsa2b,143790000,143791000,Central,10.79728581,FARP2,FARP2,protein_coding,FERM%2C ARH/RhoGEF and pleckstrin domain protein 2
chr13_hap1_hsa2b,143790000,143791000,Western,10.79728581,FARP2,FARP2,protein_coding,FERM%2C ARH/RhoGEF and pleckstrin domain protein 2
chr3_hap1_hsa4,60406000,60407000,Eastern,10.79667043,SULT1B1,SULT1B1,protein_coding,sulfotransferase family 1B member 1
chr7_hap1_hsa8,11132000,11133000,Western,10.79467979,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr5_hap1_hsa6,174384000,174385000,Eastern,10.7941479,PRKN,PRKN,protein_coding,parkin RBR E3 ubiquitin protein ligase
chr18_hap1_hsa16,80861000,80862000,Eastern,10.79362952,CDH13,CDH13,protein_coding,cadherin 13
chr13_hap1_hsa2b,143636000,143637000,Eastern,10.79310774,SEPTIN2,SEPTIN2,protein_coding,septin 2
chr5_hap1_hsa6,129303000,129304000,Eastern,10.79222881,ROS1,ROS1,protein_coding,ROS proto-oncogene 1%2C receptor tyrosine kinase
chr5_hap1_hsa6,129303000,129304000,Western,10.79222881,ROS1,ROS1,protein_coding,ROS proto-oncogene 1%2C receptor tyrosine kinase
chr8_hap1_hsa10,66964000,66965000,Western,10.78816377,PCDH15,PCDH15,protein_coding,protocadherin related 15
chr5_hap1_hsa6,19200000,19201000,Eastern,10.78735405,PHACTR1,PHACTR1,protein_coding,phosphatase and actin regulator 1
chr23_hap1_hsa22,49126000,49127000,Eastern,10.78659457,TBC1D22A,TBC1D22A,protein_coding,TBC1 domain family member 22A
chr23_hap1_hsa22,49126000,49127000,Western,10.78659457,TBC1D22A,TBC1D22A,protein_coding,TBC1 domain family member 22A
chr6_hap1_hsa7,168099000,168100000,Eastern,10.7845946,ACTR3B,ACTR3B,protein_coding,actin related protein 3B
chr12_hap1_hsa2a,121717000,121718000,Eastern,10.77953118,SNTG2,SNTG2,protein_coding,syntrophin gamma 2
chr10_hap1_hsa12,84445000,84446000,Central,10.77921072,NAV3,NAV3,protein_coding,neuron navigator 3
chr10_hap1_hsa12,84445000,84446000,Eastern,10.77921072,NAV3,NAV3,protein_coding,neuron navigator 3
chr10_hap1_hsa12,84445000,84446000,Western,10.77921072,NAV3,NAV3,protein_coding,neuron navigator 3
chr8_hap1_hsa10,14141000,14142000,Western,10.77786344,ADARB2,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive)
chr8_hap1_hsa10,13134000,13135000,Central,10.77723578,DIP2C,DIP2C,protein_coding,disco interacting protein 2 homolog C
chr8_hap1_hsa10,13134000,13135000,Western,10.77723578,DIP2C,DIP2C,protein_coding,disco interacting protein 2 homolog C
chr10_hap1_hsa12,74043000,74044000,Eastern,10.77625941,RECQL,RECQL,protein_coding,RecQ like helicase
chr10_hap1_hsa12,74043000,74044000,Western,10.77625941,RECQL,RECQL,protein_coding,RecQ like helicase
chr6_hap1_hsa7,6610000,6611000,Eastern,10.77498016,PRKAR1B,PRKAR1B,protein_coding,protein kinase cAMP-dependent type I regulatory subunit beta
chr9_hap1_hsa11,28701000,28702000,Western,10.77432319,LUZP2,LUZP2,protein_coding,leucine zipper protein 2
chr10_hap1_hsa12,9186000,9187000,Eastern,10.77142468,CACNA1C,CACNA1C,protein_coding,calcium voltage-gated channel subunit alpha1 C
chr10_hap1_hsa12,9186000,9187000,Western,10.77142468,CACNA1C,CACNA1C,protein_coding,calcium voltage-gated channel subunit alpha1 C
chr15_hap1_hsa14,74319000,74320000,Eastern,10.77053381,ESRRB,ESRRB,protein_coding,estrogen related receptor beta
chr2_hap1_hsa3,34772000,34773000,Eastern,10.76849887,GADL1,GADL1,protein_coding,glutamate decarboxylase like 1
chr2_hap1_hsa3,34772000,34773000,Western,10.76849887,GADL1,GADL1,protein_coding,glutamate decarboxylase like 1
chr16_hap1_hsa15,9706000,9707000,Eastern,10.76843194,ATP10A,ATP10A,protein_coding,ATPase phospholipid transporting 10A (putative)
chr8_hap1_hsa10,14554000,14555000,Eastern,10.76834848,ADARB2,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive)
chr8_hap1_hsa10,145004000,145005000,Western,10.76752895,INPP5A,INPP5A,protein_coding,inositol polyphosphate-5-phosphatase A
chr2_hap1_hsa3,89308000,89309000,Eastern,10.76741246,CADM2,CADM2,protein_coding,cell adhesion molecule 2
chr8_hap1_hsa10,14354000,14355000,Eastern,10.76617623,ADARB2,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive)
chr13_hap1_hsa2b,143356000,143357000,Eastern,10.76603223,SNED1,SNED1,protein_coding,sushi%2C nidogen and EGF like domains 1
chr13_hap1_hsa2b,143356000,143357000,Eastern,10.76603223,MTERF4,MTERF4,protein_coding,mitochondrial transcription termination factor 4
chr13_hap1_hsa2b,143356000,143357000,Western,10.76603223,SNED1,SNED1,protein_coding,sushi%2C nidogen and EGF like domains 1
chr13_hap1_hsa2b,143356000,143357000,Western,10.76603223,MTERF4,MTERF4,protein_coding,mitochondrial transcription termination factor 4
chr9_hap1_hsa11,135274000,135275000,Eastern,10.76538775,OPCML,OPCML,protein_coding,opioid binding protein/cell adhesion molecule like
chr9_hap1_hsa11,135274000,135275000,Western,10.76538775,OPCML,OPCML,protein_coding,opioid binding protein/cell adhesion molecule like
chr1_hap1_hsa1,213393000,213394000,Eastern,10.76284555,ACTL8,ACTL8,protein_coding,actin like 8
chr2_hap1_hsa3,8137000,8138000,Eastern,10.76104028,SUMF1,SUMF1,protein_coding,sulfatase modifying factor 1
chr2_hap1_hsa3,8137000,8138000,Western,10.76104028,SUMF1,SUMF1,protein_coding,sulfatase modifying factor 1
chr13_hap1_hsa2b,69132000,69133000,Western,10.76002353,XIRP2,XIRP2,protein_coding,xin actin binding repeat containing 2
chr3_hap1_hsa4,6283000,6284000,Western,10.75360819,C3H4orf50,C3H4orf50,protein_coding,chromosome 3 C4orf50 homolog
chr2_hap1_hsa3,100837000,100838000,Eastern,10.74818789,EPHA6,EPHA6,protein_coding,EPH receptor A6
chr20_hap1_hsa19,56642000,56643000,Eastern,10.7461208,NLRP12,NLRP12,protein_coding,NLR family pyrin domain containing 12
chr20_hap1_hsa19,56642000,56643000,Western,10.7461208,NLRP12,NLRP12,protein_coding,NLR family pyrin domain containing 12
chr8_hap1_hsa10,134701000,134702000,Eastern,10.74513449,DMBT1,DMBT1,protein_coding,deleted in malignant brain tumors 1
chr9_hap1_hsa11,27192000,27193000,Central,10.74426501,GAS2,GAS2,protein_coding,growth arrest specific 2
chr9_hap1_hsa11,27192000,27193000,Western,10.74426501,GAS2,GAS2,protein_coding,growth arrest specific 2
chr21_hap1_hsa20,22556000,22557000,Eastern,10.74357282,MACROD2,MACROD2,protein_coding,mono-ADP ribosylhydrolase 2
chr21_hap1_hsa20,22556000,22557000,Western,10.74357282,MACROD2,MACROD2,protein_coding,mono-ADP ribosylhydrolase 2
chr6_hap1_hsa7,96168000,96169000,Eastern,10.74254376,GRM3,GRM3,protein_coding,glutamate metabotropic receptor 3
chr6_hap1_hsa7,96168000,96169000,Western,10.74254376,GRM3,GRM3,protein_coding,glutamate metabotropic receptor 3
chr2_hap1_hsa3,4411000,4412000,Central,10.7409535,CHL1,CHL1,protein_coding,cell adhesion molecule L1 like
chr2_hap1_hsa3,4411000,4412000,Eastern,10.7409535,CHL1,CHL1,protein_coding,cell adhesion molecule L1 like
chr3_hap1_hsa4,60565000,60566000,Eastern,10.73905241,UGT2A2,UGT2A2,protein_coding,UDP glucuronosyltransferase family 2 member A2
chr5_hap1_hsa6,129304000,129305000,Eastern,10.73830122,ROS1,ROS1,protein_coding,ROS proto-oncogene 1%2C receptor tyrosine kinase
chr5_hap1_hsa6,129304000,129305000,Western,10.73830122,ROS1,ROS1,protein_coding,ROS proto-oncogene 1%2C receptor tyrosine kinase
chr16_hap1_hsa15,10910000,10911000,Eastern,10.73766596,LOC112205572,NEK4,protein_coding,serine/threonine-protein kinase Nek4-like
chr13_hap1_hsa2b,15240000,15241000,Central,10.73589301,DPP10,DPP10,protein_coding,dipeptidyl peptidase like 10
chr13_hap1_hsa2b,15240000,15241000,Eastern,10.73589301,DPP10,DPP10,protein_coding,dipeptidyl peptidase like 10
chr13_hap1_hsa2b,15240000,15241000,Western,10.73589301,DPP10,DPP10,protein_coding,dipeptidyl peptidase like 10
chr13_hap1_hsa2b,132615000,132616000,Eastern,10.73379715,SP140L,SP140L,protein_coding,SP140 nuclear body protein like
chr6_hap1_hsa7,9607000,9608000,Central,10.73127595,SDK1,SDK1,protein_coding,sidekick cell adhesion molecule 1
chr6_hap1_hsa7,169392000,169393000,Eastern,10.73000688,DPP6,DPP6,protein_coding,dipeptidyl peptidase like 6
chr7_hap1_hsa8,63965000,63966000,Central,10.72964668,XKR4,XKR4,protein_coding,XK related 4
chr7_hap1_hsa8,63965000,63966000,Eastern,10.72964668,XKR4,XKR4,protein_coding,XK related 4
chr5_hap1_hsa6,19363000,19364000,Eastern,10.72804631,GFOD1,GFOD1,protein_coding,Gfo/Idh/MocA-like oxidoreductase domain containing 1
chr5_hap1_hsa6,8274000,8275000,Central,10.72771156,LOC134810163,LOC134810163,protein_coding,serine/threonine-protein kinase Nek4-like
chr5_hap1_hsa6,8274000,8275000,Eastern,10.72771156,LOC134810163,LOC134810163,protein_coding,serine/threonine-protein kinase Nek4-like
chr5_hap1_hsa6,8274000,8275000,Western,10.72771156,LOC134810163,LOC134810163,protein_coding,serine/threonine-protein kinase Nek4-like
chr20_hap1_hsa19,55975000,55976000,Eastern,10.72389971,ZNF347,ZNF347,protein_coding,zinc finger protein 347
chr1_hap1_hsa1,216565000,216566000,Eastern,10.72248308,KAZN,KAZN,protein_coding,kazrin%2C periplakin interacting protein
chr5_hap1_hsa6,175355000,175356000,Eastern,10.72096256,PACRG,PACRG,protein_coding,parkin coregulated
chr3_hap1_hsa4,143982000,143983000,Central,10.72092009,INPP4B,INPP4B,protein_coding,inositol polyphosphate-4-phosphatase type II B
chr5_hap1_hsa6,179468000,179469000,Central,10.72004854,LOC463170,TCP10L,protein_coding,putative T-complex protein 10A homolog
chr5_hap1_hsa6,179468000,179469000,Western,10.72004854,LOC463170,TCP10L,protein_coding,putative T-complex protein 10A homolog
chr20_hap1_hsa19,57369000,57370000,Central,10.71885469,KIR3DX1,KIR3DX1,protein_coding,killer cell immunoglobulin-like receptor%2C three domains%2C X1
chr20_hap1_hsa19,57369000,57370000,Eastern,10.71885469,KIR3DX1,KIR3DX1,protein_coding,killer cell immunoglobulin-like receptor%2C three domains%2C X1
chr20_hap1_hsa19,57369000,57370000,Western,10.71885469,KIR3DX1,KIR3DX1,protein_coding,killer cell immunoglobulin-like receptor%2C three domains%2C X1
chr10_hap1_hsa12,135911000,135912000,Eastern,10.71847693,TMEM132D,TMEM132D,protein_coding,transmembrane protein 132D
chr6_hap1_hsa7,169828000,169829000,Eastern,10.71596589,DPP6,DPP6,protein_coding,dipeptidyl peptidase like 6
chr10_hap1_hsa12,17371000,17372000,Eastern,10.71381437,KLRD1,KLRD1,protein_coding,killer cell lectin like receptor D1
chr10_hap1_hsa12,17371000,17372000,Western,10.71381437,KLRD1,KLRD1,protein_coding,killer cell lectin like receptor D1
chr18_hap1_hsa16,81859000,81860000,Eastern,10.71328576,CDH13,CDH13,protein_coding,cadherin 13
chr18_hap1_hsa16,81859000,81860000,Western,10.71328576,CDH13,CDH13,protein_coding,cadherin 13
chr18_hap1_hsa16,88222000,88223000,Central,10.70983213,DBNDD1,DBNDD1,protein_coding,dysbindin domain containing 1
chr14_hap1_hsa13,118376000,118377000,Eastern,10.7089436,ATP11A,ATP11A,protein_coding,ATPase phospholipid transporting 11A
chr14_hap1_hsa13,118376000,118377000,Western,10.7089436,ATP11A,ATP11A,protein_coding,ATPase phospholipid transporting 11A
chr8_hap1_hsa10,26830000,26831000,Eastern,10.70648726,FRMD4A,FRMD4A,protein_coding,FERM domain containing 4A
chr8_hap1_hsa10,26830000,26831000,Western,10.70648726,FRMD4A,FRMD4A,protein_coding,FERM domain containing 4A
chr6_hap1_hsa7,11933000,11934000,Central,10.70385519,LOC742579,PMS2,protein_coding,mismatch repair endonuclease PMS2
chr6_hap1_hsa7,11933000,11934000,Western,10.70385519,LOC742579,PMS2,protein_coding,mismatch repair endonuclease PMS2
chr5_hap1_hsa6,8275000,8276000,Central,10.70268852,LOC134810163,LOC134810163,protein_coding,serine/threonine-protein kinase Nek4-like
chr5_hap1_hsa6,8275000,8276000,Eastern,10.70268852,LOC134810163,LOC134810163,protein_coding,serine/threonine-protein kinase Nek4-like
chr5_hap1_hsa6,8275000,8276000,Western,10.70268852,LOC134810163,LOC134810163,protein_coding,serine/threonine-protein kinase Nek4-like
chr7_hap1_hsa8,23856000,23857000,Central,10.70069322,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr7_hap1_hsa8,23856000,23857000,Western,10.70069322,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr1_hap1_hsa1,33094000,33095000,Eastern,10.69788487,USH2A,USH2A,protein_coding,usherin
chr1_hap1_hsa1,216295000,216296000,Western,10.69687881,KAZN,KAZN,protein_coding,kazrin%2C periplakin interacting protein
chr11_hap1_hsa9,115610000,115611000,Central,10.6967147,DOCK8,DOCK8,protein_coding,dedicator of cytokinesis 8
chr11_hap1_hsa9,115610000,115611000,Eastern,10.6967147,DOCK8,DOCK8,protein_coding,dedicator of cytokinesis 8
chr11_hap1_hsa9,115610000,115611000,Western,10.6967147,DOCK8,DOCK8,protein_coding,dedicator of cytokinesis 8
chr13_hap1_hsa2b,130310000,130311000,Central,10.6946263,SPHKAP,SPHKAP,protein_coding,SPHK1 interactor%2C AKAP domain containing
chr13_hap1_hsa2b,130310000,130311000,Eastern,10.6946263,SPHKAP,SPHKAP,protein_coding,SPHK1 interactor%2C AKAP domain containing
chr3_hap1_hsa4,174533000,174534000,Eastern,10.69202242,GALNTL6,GALNTL6,protein_coding,polypeptide N-acetylgalactosaminyltransferase like 6
chr16_hap1_hsa15,92827000,92828000,Eastern,10.69004416,LRRK1,LRRK1,protein_coding,leucine rich repeat kinase 1
chr3_hap1_hsa4,37896000,37897000,Eastern,10.68829983,C4H4orf19,C4H4orf19,protein_coding,chromosome 4 C4orf19 homolog
chr3_hap1_hsa4,37896000,37897000,Western,10.68829983,C4H4orf19,C4H4orf19,protein_coding,chromosome 4 C4orf19 homolog
chr11_hap1_hsa9,104021000,104022000,Eastern,10.68760868,TYRP1,TYRP1,protein_coding,tyrosinase related protein 1
chr11_hap1_hsa9,104021000,104022000,Western,10.68760868,TYRP1,TYRP1,protein_coding,tyrosinase related protein 1
chr9_hap1_hsa11,82902000,82903000,Central,10.68722281,TENM4,TENM4,protein_coding,teneurin transmembrane protein 4
chr9_hap1_hsa11,82902000,82903000,Eastern,10.68722281,TENM4,TENM4,protein_coding,teneurin transmembrane protein 4
chr9_hap1_hsa11,82902000,82903000,Western,10.68722281,TENM4,TENM4,protein_coding,teneurin transmembrane protein 4
chr12_hap1_hsa2a,121744000,121745000,Eastern,10.68543131,SNTG2,SNTG2,protein_coding,syntrophin gamma 2
chr16_hap1_hsa15,7009000,7010000,Eastern,10.68466265,LOC453251,HERC2P3,protein_coding,putative HERC2-like protein 3
chr16_hap1_hsa15,7009000,7010000,Western,10.68466265,LOC453251,HERC2P3,protein_coding,putative HERC2-like protein 3
chr10_hap1_hsa12,19210000,19211000,Eastern,10.68346804,BCL2L14,BCL2L14,protein_coding,BCL2 like 14
chr18_hap1_hsa16,28580000,28581000,Eastern,10.68073404,HS3ST4,HS3ST4,protein_coding,heparan sulfate-glucosamine 3-sulfotransferase 4
chr6_hap1_hsa7,9943000,9944000,Eastern,10.6803661,SDK1,SDK1,protein_coding,sidekick cell adhesion molecule 1
chr1_hap1_hsa1,33096000,33097000,Eastern,10.67912088,USH2A,USH2A,protein_coding,usherin
chr19_hap1_hsa17,12277000,12278000,Eastern,10.67850146,SMYD4,SMYD4,protein_coding,SET and MYND domain containing 4
chr22_hap1_hsa21,42135000,42136000,Eastern,10.678189,MX1,MX1,protein_coding,MX dynamin like GTPase 1
chr2_hap1_hsa3,72450000,72451000,Central,10.677918,LOC134806951,TAFA1,protein_coding,TAFA chemokine like family member 1
chr2_hap1_hsa3,72450000,72451000,Western,10.677918,LOC134806951,TAFA1,protein_coding,TAFA chemokine like family member 1
chr14_hap1_hsa13,25112000,25113000,Eastern,10.67761115,ATP8A2,ATP8A2,protein_coding,ATPase phospholipid transporting 8A2
chr7_hap1_hsa8,59054000,59055000,Eastern,10.67746396,SNTG1,SNTG1,protein_coding,syntrophin gamma 1
chr7_hap1_hsa8,59054000,59055000,Western,10.67746396,SNTG1,SNTG1,protein_coding,syntrophin gamma 1
chr19_hap1_hsa17,94916000,94917000,Eastern,10.67689841,ACTG1,ACTG1,protein_coding,actin gamma 1
chr19_hap1_hsa17,94916000,94917000,Western,10.67689841,ACTG1,ACTG1,protein_coding,actin gamma 1
chr8_hap1_hsa10,28819000,28820000,Eastern,10.67637188,ITGA8,ITGA8,protein_coding,integrin subunit alpha 8
chr8_hap1_hsa10,13144000,13145000,Central,10.67206825,DIP2C,DIP2C,protein_coding,disco interacting protein 2 homolog C
chr8_hap1_hsa10,13144000,13145000,Eastern,10.67206825,DIP2C,DIP2C,protein_coding,disco interacting protein 2 homolog C
chr8_hap1_hsa10,13144000,13145000,Western,10.67206825,DIP2C,DIP2C,protein_coding,disco interacting protein 2 homolog C
chr8_hap1_hsa10,136602000,136603000,Eastern,10.6703343,LHPP,LHPP,protein_coding,phospholysine phosphohistidine inorganic pyrophosphate phosphatase
chr8_hap1_hsa10,136602000,136603000,Western,10.6703343,LHPP,LHPP,protein_coding,phospholysine phosphohistidine inorganic pyrophosphate phosphatase
chr20_hap1_hsa19,59637000,59638000,Eastern,10.66945519,LOC104003467,OR1L4,protein_coding,olfactory receptor 1L4-like
chr20_hap1_hsa19,59637000,59638000,Western,10.66945519,LOC104003467,OR1L4,protein_coding,olfactory receptor 1L4-like
chr8_hap1_hsa10,26105000,26106000,Eastern,10.66890156,UCMA,UCMA,protein_coding,upper zone of growth plate and cartilage matrix associated
chr8_hap1_hsa10,26105000,26106000,Western,10.66890156,UCMA,UCMA,protein_coding,upper zone of growth plate and cartilage matrix associated
chr13_hap1_hsa2b,25466000,25467000,Eastern,10.66861744,CNTNAP5,CNTNAP5,protein_coding,contactin associated protein family member 5
chr13_hap1_hsa2b,25466000,25467000,Western,10.66861744,CNTNAP5,CNTNAP5,protein_coding,contactin associated protein family member 5
chr12_hap1_hsa2a,20330000,20331000,Eastern,10.66771526,SLC9A4,SLC9A4,protein_coding,solute carrier family 9 member A4
chr10_hap1_hsa12,7166000,7167000,Eastern,10.66346025,IQSEC3,IQSEC3,protein_coding,IQ motif and Sec7 domain ArfGEF 3
chr9_hap1_hsa11,27121000,27122000,Eastern,10.66224065,GAS2,GAS2,protein_coding,growth arrest specific 2
chr1_hap1_hsa1,87518000,87519000,Eastern,10.66132953,LOC748740,LOC748740,protein_coding,heat shock 70 kDa protein 6
chr3_hap1_hsa4,189793000,189794000,Eastern,10.66132873,TRIML1,TRIML1,protein_coding,tripartite motif family like 1
chr3_hap1_hsa4,189793000,189794000,Western,10.66132873,TRIML1,TRIML1,protein_coding,tripartite motif family like 1
chr20_hap1_hsa19,59240000,59241000,Eastern,10.65943015,ZSCAN5A,ZSCAN5A,protein_coding,zinc finger and SCAN domain containing 5A
chr20_hap1_hsa19,59240000,59241000,Eastern,10.65943015,EDDM13,EDDM13,protein_coding,epididymal protein 13
chr2_hap1_hsa3,4412000,4413000,Central,10.65879313,CHL1,CHL1,protein_coding,cell adhesion molecule L1 like
chr14_hap1_hsa13,25041000,25042000,Eastern,10.65785939,ATP8A2,ATP8A2,protein_coding,ATPase phospholipid transporting 8A2
chr14_hap1_hsa13,25041000,25042000,Western,10.65785939,ATP8A2,ATP8A2,protein_coding,ATPase phospholipid transporting 8A2
chr9_hap1_hsa11,81713000,81714000,Central,10.65695071,TENM4,TENM4,protein_coding,teneurin transmembrane protein 4
chr5_hap1_hsa6,63293000,63294000,Eastern,10.6560977,PRIM2,PRIM2,protein_coding,DNA primase subunit 2
chr9_hap1_hsa11,30238000,30239000,Eastern,10.65583728,ANO3,ANO3,protein_coding,anoctamin 3
chr6_hap1_hsa7,9945000,9946000,Eastern,10.65447883,SDK1,SDK1,protein_coding,sidekick cell adhesion molecule 1
chr18_hap1_hsa16,87492000,87493000,Western,10.65437138,ANKRD11,ANKRD11,protein_coding,ankyrin repeat domain containing 11
chr22_hap1_hsa21,44392000,44393000,Eastern,10.65178601,RRP1,RRP1,protein_coding,ribosomal RNA processing 1
chr6_hap1_hsa7,172008000,172009000,Eastern,10.65109783,NOM1,NOM1,protein_coding,nucleolar protein with MIF4G domain 1
chr1_hap1_hsa1,3476000,3477000,Eastern,10.64749558,KIF26B,KIF26B,protein_coding,kinesin family member 26B
chr1_hap1_hsa1,3476000,3477000,Western,10.64749558,KIF26B,KIF26B,protein_coding,kinesin family member 26B
chr1_hap1_hsa1,52185000,52186000,Central,10.64440516,CFHR4,CFHR4,protein_coding,complement factor H related 4
chr1_hap1_hsa1,52185000,52186000,Eastern,10.64440516,CFHR4,CFHR4,protein_coding,complement factor H related 4
chr7_hap1_hsa8,10304000,10305000,Eastern,10.6424678,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr7_hap1_hsa8,10304000,10305000,Western,10.6424678,CSMD1,CSMD1,protein_coding,CUB and Sushi multiple domains 1
chr9_hap1_hsa11,7600000,7601000,Eastern,10.64110898,LOC104008393,ACSM1,protein_coding,acyl-coenzyme A synthetase ACSM1%2C mitochondrial-like
chr8_hap1_hsa10,26798000,26799000,Eastern,10.6409347,FRMD4A,FRMD4A,protein_coding,FERM domain containing 4A
chr8_hap1_hsa10,26798000,26799000,Western,10.6409347,FRMD4A,FRMD4A,protein_coding,FERM domain containing 4A
chr8_hap1_hsa10,25846000,25847000,Eastern,10.63834635,CCDC3,CCDC3,protein_coding,coiled-coil domain containing 3
chr5_hap1_hsa6,63286000,63287000,Eastern,10.63801675,PRIM2,PRIM2,protein_coding,DNA primase subunit 2
chr18_hap1_hsa16,88042000,88043000,Western,10.63790559,SPIRE2,SPIRE2,protein_coding,spire type actin nucleation factor 2
chr8_hap1_hsa10,140124000,140125000,Eastern,10.63786988,PTPRE,PTPRE,protein_coding,protein tyrosine phosphatase receptor type E
chr8_hap1_hsa10,62392000,62393000,Eastern,10.63635591,LOC107966570,WASHC2A,protein_coding,WASH complex subunit 2A-like
chr6_hap1_hsa7,173111000,173112000,Eastern,10.6358791,PTPRN2,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2
chr7_hap1_hsa8,23855000,23856000,Central,10.63530014,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr7_hap1_hsa8,23855000,23856000,Eastern,10.63530014,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
chr7_hap1_hsa8,23855000,23856000,Western,10.63530014,TUSC3,TUSC3,protein_coding,tumor suppressor candidate 3
