sample,sequence,count
AG18360_11.hap2.chr,chr11_hap1_hsa9,10
AG18360_11.hap2.chr,chr12_hap1_hsa2a,8
AG18360_11.hap2.chr,chr13_hap1_hsa2b,3
AG18360_11.hap2.chr,chr14_hap1_hsa13,6
AG18360_11.hap2.chr,chr15_hap1_hsa14,6
AG18360_11.hap2.chr,chr16_hap1_hsa15,5
AG18360_11.hap2.chr,chr17_hap1_hsa18,3
AG18360_11.hap2.chr,chr18_hap1_hsa16,5
AG18360_11.hap2.chr,chr19_hap1_hsa17,11
AG18360_11.hap2.chr,chr20_hap1_hsa19,19
AG18360_11.hap2.chr,chr21_hap1_hsa20,13
AG18360_11.hap2.chr,chr22_hap1_hsa21,14
AG18360_11.hap2.chr,chr23_hap1_hsa22,6
AG18360_11.hap2.chr,chrX_hap1_hsaX,10
AG18360_11.hap2.chr,chrY_hap2_hsaY,0
AG18361_10.hap1.chr,chr1_hap1_hsa1,5
AG18361_10.hap1.chr,chr2_hap1_hsa3,7
AG18361_10.hap1.chr,chr3_hap1_hsa4,4
AG18361_10.hap1.chr,chr4_hap1_hsa5,5
AG18361_10.hap1.chr,chr5_hap1_hsa6,4
AG18361_10.hap1.chr,chr6_hap1_hsa7,20
AG18361_10.hap1.chr,chr7_hap1_hsa8,6
AG18361_10.hap1.chr,chr8_hap1_hsa10,14
AG18361_10.hap1.chr,chr9_hap1_hsa11,4
AG18361_10.hap1.chr,chr10_hap1_hsa12,6
AG18361_10.hap1.chr,chr11_hap1_hsa9,14
AG18361_10.hap1.chr,chr12_hap1_hsa2a,15
AG18361_10.hap1.chr,chr13_hap1_hsa2b,4
AG18361_10.hap1.chr,chr14_hap1_hsa13,14
AG18361_10.hap1.chr,chr15_hap1_hsa14,5
AG18361_10.hap1.chr,chr16_hap1_hsa15,16
AG18361_10.hap1.chr,chr17_hap1_hsa18,11
AG18361_10.hap1.chr,chr18_hap1_hsa16,15
AG18361_10.hap1.chr,chr19_hap1_hsa17,17
AG18361_10.hap1.chr,chr20_hap1_hsa19,24
AG18361_10.hap1.chr,chr21_hap1_hsa20,11
AG18361_10.hap1.chr,chr22_hap1_hsa21,10
AG18361_10.hap1.chr,chr23_hap1_hsa22,16
AG18361_10.hap1.chr,chrX_hap1_hsaX,11
AG18361_10.hap1.chr,chrY_hap2_hsaY,0
AG18361_10.hap2.chr,chr1_hap1_hsa1,10
AG18361_10.hap2.chr,chr2_hap1_hsa3,3
AG18361_10.hap2.chr,chr3_hap1_hsa4,3
AG18361_10.hap2.chr,chr4_hap1_hsa5,7
AG18361_10.hap2.chr,chr5_hap1_hsa6,6
AG18361_10.hap2.chr,chr6_hap1_hsa7,12
AG18361_10.hap2.chr,chr7_hap1_hsa8,12
AG18361_10.hap2.chr,chr8_hap1_hsa10,14
AG18361_10.hap2.chr,chr9_hap1_hsa11,13
AG18361_10.hap2.chr,chr10_hap1_hsa12,5
AG18361_10.hap2.chr,chr11_hap1_hsa9,11
AG18361_10.hap2.chr,chr12_hap1_hsa2a,11
AG18361_10.hap2.chr,chr13_hap1_hsa2b,10
AG18361_10.hap2.chr,chr14_hap1_hsa13,13
AG18361_10.hap2.chr,chr15_hap1_hsa14,8
AG18361_10.hap2.chr,chr16_hap1_hsa15,13
AG18361_10.hap2.chr,chr17_hap1_hsa18,9
AG18361_10.hap2.chr,chr18_hap1_hsa16,26
AG18361_10.hap2.chr,chr19_hap1_hsa17,15
AG18361_10.hap2.chr,chr20_hap1_hsa19,25
AG18361_10.hap2.chr,chr21_hap1_hsa20,16
AG18361_10.hap2.chr,chr22_hap1_hsa21,12
AG18361_10.hap2.chr,chr23_hap1_hsa22,14
AG18361_10.hap2.chr,chrX_hap1_hsaX,12
mPanTro3.hap1.chr,chr1_hap1_hsa1,0
mPanTro3.hap1.chr,chr2_hap1_hsa3,0
mPanTro3.hap1.chr,chr3_hap1_hsa4,0
mPanTro3.hap1.chr,chr4_hap1_hsa5,0
mPanTro3.hap1.chr,chr5_hap1_hsa6,0
mPanTro3.hap1.chr,chr6_hap1_hsa7,0
mPanTro3.hap1.chr,chr7_hap1_hsa8,0
mPanTro3.hap1.chr,chr8_hap1_hsa10,0
mPanTro3.hap1.chr,chr9_hap1_hsa11,0
mPanTro3.hap1.chr,chr10_hap1_hsa12,0
mPanTro3.hap1.chr,chr11_hap1_hsa9,0
mPanTro3.hap1.chr,chr12_hap1_hsa2a,0
mPanTro3.hap1.chr,chr13_hap1_hsa2b,0
mPanTro3.hap1.chr,chr14_hap1_hsa13,1
mPanTro3.hap1.chr,chr15_hap1_hsa14,1
mPanTro3.hap1.chr,chr16_hap1_hsa15,0
mPanTro3.hap1.chr,chr17_hap1_hsa18,1
mPanTro3.hap1.chr,chr18_hap1_hsa16,0
mPanTro3.hap1.chr,chr19_hap1_hsa17,0
mPanTro3.hap1.chr,chr20_hap1_hsa19,0
mPanTro3.hap1.chr,chr21_hap1_hsa20,0
mPanTro3.hap1.chr,chr22_hap1_hsa21,1
mPanTro3.hap1.chr,chr23_hap1_hsa22,1
mPanTro3.hap1.chr,chrX_hap1_hsaX,0
mPanTro3.hap2.chr,chr1_hap1_hsa1,0
mPanTro3.hap2.chr,chr2_hap1_hsa3,0
mPanTro3.hap2.chr,chr3_hap1_hsa4,0
mPanTro3.hap2.chr,chr4_hap1_hsa5,0
mPanTro3.hap2.chr,chr5_hap1_hsa6,0
mPanTro3.hap2.chr,chr6_hap1_hsa7,0
mPanTro3.hap2.chr,chr7_hap1_hsa8,0
mPanTro3.hap2.chr,chr8_hap1_hsa10,0
mPanTro3.hap2.chr,chr9_hap1_hsa11,0
mPanTro3.hap2.chr,chr10_hap1_hsa12,0
mPanTro3.hap2.chr,chr11_hap1_hsa9,0
mPanTro3.hap2.chr,chr12_hap1_hsa2a,0
mPanTro3.hap2.chr,chr13_hap1_hsa2b,0
mPanTro3.hap2.chr,chr14_hap1_hsa13,1
mPanTro3.hap2.chr,chr15_hap1_hsa14,1
mPanTro3.hap2.chr,chr16_hap1_hsa15,0
mPanTro3.hap2.chr,chr17_hap1_hsa18,1
mPanTro3.hap2.chr,chr18_hap1_hsa16,0
mPanTro3.hap2.chr,chr19_hap1_hsa17,0
mPanTro3.hap2.chr,chr20_hap1_hsa19,0
mPanTro3.hap2.chr,chr21_hap1_hsa20,0
mPanTro3.hap2.chr,chr22_hap1_hsa21,1
mPanTro3.hap2.chr,chr23_hap1_hsa22,1
mPanTro3.hap2.chr,chrY_hap2_hsaY,0
PR00115.hap1.chr,chr1_hap1_hsa1,22
PR00115.hap1.chr,chr2_hap1_hsa3,4
PR00115.hap1.chr,chr3_hap1_hsa4,38
PR00115.hap1.chr,chr4_hap1_hsa5,2
PR00115.hap1.chr,chr5_hap1_hsa6,15
PR00115.hap1.chr,chr6_hap1_hsa7,15
PR00115.hap1.chr,chr7_hap1_hsa8,24
PR00115.hap1.chr,chr8_hap1_hsa10,7
PR00115.hap1.chr,chr9_hap1_hsa11,12
PR00115.hap1.chr,chr10_hap1_hsa12,27
PR00115.hap1.chr,chr11_hap1_hsa9,12
PR00115.hap1.chr,chr12_hap1_hsa2a,12
PR00115.hap1.chr,chr13_hap1_hsa2b,12
PR00115.hap1.chr,chr14_hap1_hsa13,8
PR00115.hap1.chr,chr15_hap1_hsa14,5
PR00115.hap1.chr,chr16_hap1_hsa15,15
PR00115.hap1.chr,chr17_hap1_hsa18,8
PR00115.hap1.chr,chr18_hap1_hsa16,20
PR00115.hap1.chr,chr19_hap1_hsa17,14
PR00115.hap1.chr,chr20_hap1_hsa19,5
PR00115.hap1.chr,chr21_hap1_hsa20,11
PR00115.hap1.chr,chr22_hap1_hsa21,9
PR00115.hap1.chr,chr23_hap1_hsa22,6
PR00115.hap1.chr,chrX_hap1_hsaX,11
PR00115.hap1.chr,chrY_hap2_hsaY,4
PR00115.hap2.chr,chr1_hap1_hsa1,20
PR00115.hap2.chr,chr2_hap1_hsa3,7
PR00115.hap2.chr,chr3_hap1_hsa4,14
PR00115.hap2.chr,chr4_hap1_hsa5,18
PR00115.hap2.chr,chr5_hap1_hsa6,9
PR00115.hap2.chr,chr6_hap1_hsa7,15
PR00115.hap2.chr,chr7_hap1_hsa8,15
PR00115.hap2.chr,chr8_hap1_hsa10,8
PR00115.hap2.chr,chr9_hap1_hsa11,11
PR00115.hap2.chr,chr10_hap1_hsa12,19
PR00115.hap2.chr,chr11_hap1_hsa9,22
PR00115.hap2.chr,chr12_hap1_hsa2a,4
PR00115.hap2.chr,chr13_hap1_hsa2b,11
PR00115.hap2.chr,chr14_hap1_hsa13,9
PR00115.hap2.chr,chr15_hap1_hsa14,10
PR00115.hap2.chr,chr16_hap1_hsa15,5
PR00115.hap2.chr,chr17_hap1_hsa18,1
PR00115.hap2.chr,chr18_hap1_hsa16,9
PR00115.hap2.chr,chr19_hap1_hsa17,13
PR00115.hap2.chr,chr20_hap1_hsa19,3
PR00115.hap2.chr,chr21_hap1_hsa20,7
PR00115.hap2.chr,chr22_hap1_hsa21,16
PR00115.hap2.chr,chr23_hap1_hsa22,3
PR00115.hap2.chr,chrX_hap1_hsaX,65
PR00115.hap2.chr,chrY_hap2_hsaY,19
PR00496A.hap1.chr,chr1_hap1_hsa1,17
PR00496A.hap1.chr,chr2_hap1_hsa3,23
PR00496A.hap1.chr,chr3_hap1_hsa4,18
PR00496A.hap1.chr,chr4_hap1_hsa5,21
PR00496A.hap1.chr,chr5_hap1_hsa6,18
PR00496A.hap1.chr,chr6_hap1_hsa7,22
PR00496A.hap1.chr,chr7_hap1_hsa8,23
PR00496A.hap1.chr,chr8_hap1_hsa10,20
PR00496A.hap1.chr,chr9_hap1_hsa11,18
PR00496A.hap1.chr,chr10_hap1_hsa12,18
PR00496A.hap1.chr,chr11_hap1_hsa9,16
PR00496A.hap1.chr,chr12_hap1_hsa2a,22
PR00496A.hap1.chr,chr13_hap1_hsa2b,18
PR00496A.hap1.chr,chr14_hap1_hsa13,33
PR00496A.hap1.chr,chr15_hap1_hsa14,19
PR00496A.hap1.chr,chr16_hap1_hsa15,10
PR00496A.hap1.chr,chr17_hap1_hsa18,11
PR00496A.hap1.chr,chr18_hap1_hsa16,15
PR00496A.hap1.chr,chr19_hap1_hsa17,26
PR00496A.hap1.chr,chr20_hap1_hsa19,29
PR00496A.hap1.chr,chr21_hap1_hsa20,9
PR00496A.hap1.chr,chr22_hap1_hsa21,18
PR00496A.hap1.chr,chr23_hap1_hsa22,16
PR00496A.hap1.chr,chrX_hap1_hsaX,41
PR00496A.hap1.chr,chrY_hap2_hsaY,2
PR00496A.hap2.chr,chr1_hap1_hsa1,29
PR00496A.hap2.chr,chr2_hap1_hsa3,18
PR00496A.hap2.chr,chr3_hap1_hsa4,33
PR00496A.hap2.chr,chr4_hap1_hsa5,25
PR00496A.hap2.chr,chr5_hap1_hsa6,21
PR00496A.hap2.chr,chr6_hap1_hsa7,26
PR00496A.hap2.chr,chr7_hap1_hsa8,16
PR00496A.hap2.chr,chr8_hap1_hsa10,27
PR00496A.hap2.chr,chr9_hap1_hsa11,18
PR00496A.hap2.chr,chr10_hap1_hsa12,21
PR00496A.hap2.chr,chr11_hap1_hsa9,10
PR00496A.hap2.chr,chr12_hap1_hsa2a,20
PR00496A.hap2.chr,chr13_hap1_hsa2b,25
PR00496A.hap2.chr,chr14_hap1_hsa13,30
PR00496A.hap2.chr,chr15_hap1_hsa14,21
PR00496A.hap2.chr,chr16_hap1_hsa15,16
PR00496A.hap2.chr,chr17_hap1_hsa18,12
PR00496A.hap2.chr,chr18_hap1_hsa16,13
PR00496A.hap2.chr,chr19_hap1_hsa17,23
PR00496A.hap2.chr,chr20_hap1_hsa19,17
PR00496A.hap2.chr,chr21_hap1_hsa20,15
PR00496A.hap2.chr,chr22_hap1_hsa21,15
PR00496A.hap2.chr,chr23_hap1_hsa22,14
PR00496A.hap2.chr,chrX_hap1_hsaX,39
PR00496A.hap2.chr,chrY_hap2_hsaY,2
PR00512.hap1.chr,chr1_hap1_hsa1,43
PR00512.hap1.chr,chr2_hap1_hsa3,27
PR00512.hap1.chr,chr3_hap1_hsa4,25
PR00512.hap1.chr,chr4_hap1_hsa5,16
PR00512.hap1.chr,chr5_hap1_hsa6,20
PR00512.hap1.chr,chr6_hap1_hsa7,42
PR00512.hap1.chr,chr7_hap1_hsa8,25
PR00512.hap1.chr,chr8_hap1_hsa10,33
PR00512.hap1.chr,chr9_hap1_hsa11,24
PR00512.hap1.chr,chr10_hap1_hsa12,21
PR00512.hap1.chr,chr11_hap1_hsa9,17
PR00512.hap1.chr,chr12_hap1_hsa2a,24
PR00512.hap1.chr,chr13_hap1_hsa2b,24
PR00512.hap1.chr,chr14_hap1_hsa13,27
PR00512.hap1.chr,chr15_hap1_hsa14,40
PR00512.hap1.chr,chr16_hap1_hsa15,30
PR00512.hap1.chr,chr17_hap1_hsa18,23
PR00512.hap1.chr,chr18_hap1_hsa16,32
PR00512.hap1.chr,chr19_hap1_hsa17,35
PR00512.hap1.chr,chr20_hap1_hsa19,35
PR00512.hap1.chr,chr21_hap1_hsa20,32
PR00512.hap1.chr,chr22_hap1_hsa21,27
PR00512.hap1.chr,chr23_hap1_hsa22,33
PR00512.hap1.chr,chrX_hap1_hsaX,29
PR00512.hap2.chr,chr1_hap1_hsa1,23
PR00512.hap2.chr,chr2_hap1_hsa3,17
PR00512.hap2.chr,chr3_hap1_hsa4,19
PR00512.hap2.chr,chr4_hap1_hsa5,13
PR00512.hap2.chr,chr5_hap1_hsa6,19
PR00512.hap2.chr,chr6_hap1_hsa7,33
PR00512.hap2.chr,chr7_hap1_hsa8,36
PR00512.hap2.chr,chr8_hap1_hsa10,49
PR00512.hap2.chr,chr9_hap1_hsa11,21
PR00512.hap2.chr,chr10_hap1_hsa12,49
PR00512.hap2.chr,chr11_hap1_hsa9,37
PR00512.hap2.chr,chr12_hap1_hsa2a,25
PR00512.hap2.chr,chr13_hap1_hsa2b,39
PR00512.hap2.chr,chr14_hap1_hsa13,49
PR00512.hap2.chr,chr15_hap1_hsa14,26
PR00512.hap2.chr,chr16_hap1_hsa15,36
PR00512.hap2.chr,chr17_hap1_hsa18,18
PR00512.hap2.chr,chr18_hap1_hsa16,20
PR00512.hap2.chr,chr19_hap1_hsa17,61
PR00512.hap2.chr,chr20_hap1_hsa19,47
PR00512.hap2.chr,chr21_hap1_hsa20,23
PR00512.hap2.chr,chr22_hap1_hsa21,35
PR00512.hap2.chr,chr23_hap1_hsa22,29
PR00512.hap2.chr,chrX_hap1_hsaX,33
PR00512.hap2.chr,chrY_hap2_hsaY,0
PR00834.hap1.chr,chr1_hap1_hsa1,11
PR00834.hap1.chr,chr2_hap1_hsa3,13
PR00834.hap1.chr,chr3_hap1_hsa4,15
PR00834.hap1.chr,chr4_hap1_hsa5,9
PR00834.hap1.chr,chr5_hap1_hsa6,9
PR00834.hap1.chr,chr6_hap1_hsa7,16
PR00834.hap1.chr,chr7_hap1_hsa8,9
PR00834.hap1.chr,chr8_hap1_hsa10,16
PR00834.hap1.chr,chr9_hap1_hsa11,6
PR00834.hap1.chr,chr10_hap1_hsa12,15
PR00834.hap1.chr,chr11_hap1_hsa9,13
PR00834.hap1.chr,chr12_hap1_hsa2a,13
PR00834.hap1.chr,chr13_hap1_hsa2b,13
PR00834.hap1.chr,chr14_hap1_hsa13,15
PR00834.hap1.chr,chr15_hap1_hsa14,4
PR00834.hap1.chr,chr16_hap1_hsa15,12
PR00834.hap1.chr,chr17_hap1_hsa18,8
PR00834.hap1.chr,chr18_hap1_hsa16,15
PR00834.hap1.chr,chr19_hap1_hsa17,15
PR00834.hap1.chr,chr20_hap1_hsa19,15
PR00834.hap1.chr,chr21_hap1_hsa20,10
PR00834.hap1.chr,chr22_hap1_hsa21,8
PR00834.hap1.chr,chr23_hap1_hsa22,13
PR00834.hap1.chr,chrX_hap1_hsaX,26
PR00834.hap2.chr,chr1_hap1_hsa1,9
PR00834.hap2.chr,chr2_hap1_hsa3,11
PR00834.hap2.chr,chr3_hap1_hsa4,19
PR00834.hap2.chr,chr4_hap1_hsa5,8
PR00834.hap2.chr,chr5_hap1_hsa6,11
PR00834.hap2.chr,chr6_hap1_hsa7,11
PR00834.hap2.chr,chr7_hap1_hsa8,13
PR00834.hap2.chr,chr8_hap1_hsa10,10
PR00834.hap2.chr,chr9_hap1_hsa11,5
PR00834.hap2.chr,chr10_hap1_hsa12,10
PR00834.hap2.chr,chr11_hap1_hsa9,7
PR00834.hap2.chr,chr12_hap1_hsa2a,16
PR00834.hap2.chr,chr13_hap1_hsa2b,10
PR00834.hap2.chr,chr14_hap1_hsa13,14
PR00834.hap2.chr,chr15_hap1_hsa14,12
PR00834.hap2.chr,chr16_hap1_hsa15,8
PR00834.hap2.chr,chr17_hap1_hsa18,11
PR00834.hap2.chr,chr18_hap1_hsa16,8
PR00834.hap2.chr,chr19_hap1_hsa17,13
PR00834.hap2.chr,chr20_hap1_hsa19,16
PR00834.hap2.chr,chr21_hap1_hsa20,8
PR00834.hap2.chr,chr22_hap1_hsa21,4
PR00834.hap2.chr,chr23_hap1_hsa22,19
PR00834.hap2.chr,chrX_hap1_hsaX,31
PR00834.hap2.chr,chrY_hap2_hsaY,0
PR00838.hap1.chr,chr1_hap1_hsa1,47
PR00838.hap1.chr,chr2_hap1_hsa3,8
PR00838.hap1.chr,chr3_hap1_hsa4,32
PR00838.hap1.chr,chr4_hap1_hsa5,8
PR00838.hap1.chr,chr5_hap1_hsa6,11
PR00838.hap1.chr,chr6_hap1_hsa7,43
PR00838.hap1.chr,chr7_hap1_hsa8,20
PR00838.hap1.chr,chr8_hap1_hsa10,20
PR00838.hap1.chr,chr9_hap1_hsa11,16
PR00838.hap1.chr,chr10_hap1_hsa12,15
PR00838.hap1.chr,chr11_hap1_hsa9,11
PR00838.hap1.chr,chr12_hap1_hsa2a,12
PR00838.hap1.chr,chr13_hap1_hsa2b,17
PR00838.hap1.chr,chr14_hap1_hsa13,27
PR00838.hap1.chr,chr15_hap1_hsa14,15
PR00838.hap1.chr,chr16_hap1_hsa15,23
PR00838.hap1.chr,chr17_hap1_hsa18,14
PR00838.hap1.chr,chr18_hap1_hsa16,14
PR00838.hap1.chr,chr19_hap1_hsa17,24
PR00838.hap1.chr,chr20_hap1_hsa19,24
PR00838.hap1.chr,chr21_hap1_hsa20,18
PR00838.hap1.chr,chr22_hap1_hsa21,10
PR00838.hap1.chr,chr23_hap1_hsa22,17
PR00838.hap1.chr,chrX_hap1_hsaX,40
PR00838.hap1.chr,chrY_hap2_hsaY,0
PR00838.hap2.chr,chr1_hap1_hsa1,21
PR00838.hap2.chr,chr2_hap1_hsa3,28
PR00838.hap2.chr,chr3_hap1_hsa4,18
PR00838.hap2.chr,chr4_hap1_hsa5,14
PR00838.hap2.chr,chr5_hap1_hsa6,24
PR00838.hap2.chr,chr6_hap1_hsa7,32
PR00838.hap2.chr,chr7_hap1_hsa8,17
PR00838.hap2.chr,chr8_hap1_hsa10,34
PR00838.hap2.chr,chr9_hap1_hsa11,11
PR00838.hap2.chr,chr10_hap1_hsa12,21
PR00838.hap2.chr,chr11_hap1_hsa9,13
PR00838.hap2.chr,chr12_hap1_hsa2a,27
PR00838.hap2.chr,chr13_hap1_hsa2b,10
PR00838.hap2.chr,chr14_hap1_hsa13,15
PR00838.hap2.chr,chr15_hap1_hsa14,15
PR00838.hap2.chr,chr16_hap1_hsa15,19
PR00838.hap2.chr,chr17_hap1_hsa18,13
PR00838.hap2.chr,chr18_hap1_hsa16,28
PR00838.hap2.chr,chr19_hap1_hsa17,25
PR00838.hap2.chr,chr20_hap1_hsa19,30
PR00838.hap2.chr,chr21_hap1_hsa20,25
PR00838.hap2.chr,chr22_hap1_hsa21,13
PR00838.hap2.chr,chr23_hap1_hsa22,13
PR00838.hap2.chr,chrX_hap1_hsaX,42
PR01008.hap1.chr,chr1_hap1_hsa1,1
PR01008.hap1.chr,chr2_hap1_hsa3,0
PR01008.hap1.chr,chr3_hap1_hsa4,0
PR01008.hap1.chr,chr4_hap1_hsa5,0
PR01008.hap1.chr,chr5_hap1_hsa6,2
PR01008.hap1.chr,chr6_hap1_hsa7,8
PR01008.hap1.chr,chr7_hap1_hsa8,3
PR01008.hap1.chr,chr8_hap1_hsa10,1
PR01008.hap1.chr,chr9_hap1_hsa11,2
PR01008.hap1.chr,chr10_hap1_hsa12,5
PR01008.hap1.chr,chr11_hap1_hsa9,1
PR01008.hap1.chr,chr12_hap1_hsa2a,2
PR01008.hap1.chr,chr13_hap1_hsa2b,5
PR01008.hap1.chr,chr14_hap1_hsa13,2
PR01008.hap1.chr,chr15_hap1_hsa14,5
PR01008.hap1.chr,chr16_hap1_hsa15,0
PR01008.hap1.chr,chr17_hap1_hsa18,0
PR01008.hap1.chr,chr18_hap1_hsa16,0
PR01008.hap1.chr,chr19_hap1_hsa17,0
PR01008.hap1.chr,chr20_hap1_hsa19,5
PR01008.hap1.chr,chr21_hap1_hsa20,2
PR01008.hap1.chr,chr22_hap1_hsa21,1
PR01008.hap1.chr,chr23_hap1_hsa22,0
PR01008.hap1.chr,chrX_hap1_hsaX,5
PR01008.hap2.chr,chr1_hap1_hsa1,0
PR01008.hap2.chr,chr2_hap1_hsa3,0
PR01008.hap2.chr,chr3_hap1_hsa4,1
PR01008.hap2.chr,chr4_hap1_hsa5,2
PR01008.hap2.chr,chr5_hap1_hsa6,2
PR01008.hap2.chr,chr6_hap1_hsa7,8
PR01008.hap2.chr,chr7_hap1_hsa8,1
PR01008.hap2.chr,chr8_hap1_hsa10,0
PR01008.hap2.chr,chr9_hap1_hsa11,2
PR01008.hap2.chr,chr10_hap1_hsa12,3
PR01008.hap2.chr,chr11_hap1_hsa9,0
PR01008.hap2.chr,chr12_hap1_hsa2a,0
PR01008.hap2.chr,chr13_hap1_hsa2b,3
PR01008.hap2.chr,chr14_hap1_hsa13,3
PR01008.hap2.chr,chr15_hap1_hsa14,2
PR01008.hap2.chr,chr16_hap1_hsa15,0
PR01008.hap2.chr,chr17_hap1_hsa18,1
PR01008.hap2.chr,chr18_hap1_hsa16,1
PR01008.hap2.chr,chr19_hap1_hsa17,2
PR01008.hap2.chr,chr20_hap1_hsa19,3
PR01008.hap2.chr,chr21_hap1_hsa20,0
PR01008.hap2.chr,chr22_hap1_hsa21,1
PR01008.hap2.chr,chr23_hap1_hsa22,0
PR01008.hap2.chr,chrX_hap1_hsaX,2
PR01009.hap1.chr,chr1_hap1_hsa1,30
PR01009.hap1.chr,chr2_hap1_hsa3,27
PR01009.hap1.chr,chr3_hap1_hsa4,48
PR01009.hap1.chr,chr4_hap1_hsa5,26
PR01009.hap1.chr,chr5_hap1_hsa6,28
PR01009.hap1.chr,chr6_hap1_hsa7,28
PR01009.hap1.chr,chr7_hap1_hsa8,27
PR01009.hap1.chr,chr8_hap1_hsa10,34
PR01009.hap1.chr,chr9_hap1_hsa11,22
PR01009.hap1.chr,chr10_hap1_hsa12,20
PR01009.hap1.chr,chr11_hap1_hsa9,27
PR01009.hap1.chr,chr12_hap1_hsa2a,26
PR01009.hap1.chr,chr13_hap1_hsa2b,29
PR01009.hap1.chr,chr14_hap1_hsa13,41
PR01009.hap1.chr,chr15_hap1_hsa14,18
PR01009.hap1.chr,chr16_hap1_hsa15,23
PR01009.hap1.chr,chr17_hap1_hsa18,10
PR01009.hap1.chr,chr18_hap1_hsa16,23
PR01009.hap1.chr,chr19_hap1_hsa17,43
PR01009.hap1.chr,chr20_hap1_hsa19,55
PR01009.hap1.chr,chr21_hap1_hsa20,25
PR01009.hap1.chr,chr22_hap1_hsa21,18
PR01009.hap1.chr,chr23_hap1_hsa22,36
PR01009.hap1.chr,chrX_hap1_hsaX,60
PR01009.hap1.chr,chrY_hap2_hsaY,4
PR01009.hap2.chr,chr1_hap1_hsa1,33
PR01009.hap2.chr,chr2_hap1_hsa3,34
PR01009.hap2.chr,chr3_hap1_hsa4,44
PR01009.hap2.chr,chr4_hap1_hsa5,40
PR01009.hap2.chr,chr5_hap1_hsa6,25
PR01009.hap2.chr,chr6_hap1_hsa7,39
PR01009.hap2.chr,chr7_hap1_hsa8,56
PR01009.hap2.chr,chr8_hap1_hsa10,38
PR01009.hap2.chr,chr9_hap1_hsa11,66
PR01009.hap2.chr,chr10_hap1_hsa12,29
PR01009.hap2.chr,chr11_hap1_hsa9,22
PR01009.hap2.chr,chr12_hap1_hsa2a,18
PR01009.hap2.chr,chr13_hap1_hsa2b,26
PR01009.hap2.chr,chr14_hap1_hsa13,25
PR01009.hap2.chr,chr15_hap1_hsa14,25
PR01009.hap2.chr,chr16_hap1_hsa15,15
PR01009.hap2.chr,chr17_hap1_hsa18,28
PR01009.hap2.chr,chr18_hap1_hsa16,31
PR01009.hap2.chr,chr19_hap1_hsa17,25
PR01009.hap2.chr,chr20_hap1_hsa19,33
PR01009.hap2.chr,chr21_hap1_hsa20,25
PR01009.hap2.chr,chr22_hap1_hsa21,19
PR01009.hap2.chr,chr23_hap1_hsa22,18
PR01009.hap2.chr,chrX_hap1_hsaX,59
PR01009.hap2.chr,chrY_hap2_hsaY,10
PR01010.hap1.chr,chr1_hap1_hsa1,0
PR01010.hap1.chr,chr2_hap1_hsa3,0
PR01010.hap1.chr,chr3_hap1_hsa4,2
PR01010.hap1.chr,chr4_hap1_hsa5,1
PR01010.hap1.chr,chr5_hap1_hsa6,1
PR01010.hap1.chr,chr6_hap1_hsa7,0
PR01010.hap1.chr,chr7_hap1_hsa8,2
PR01010.hap1.chr,chr8_hap1_hsa10,3
PR01010.hap1.chr,chr9_hap1_hsa11,0
PR01010.hap1.chr,chr10_hap1_hsa12,0
PR01010.hap1.chr,chr11_hap1_hsa9,0
PR01010.hap1.chr,chr12_hap1_hsa2a,0
PR01010.hap1.chr,chr13_hap1_hsa2b,0
PR01010.hap1.chr,chr14_hap1_hsa13,1
PR01010.hap1.chr,chr15_hap1_hsa14,1
PR01010.hap1.chr,chr16_hap1_hsa15,1
PR01010.hap1.chr,chr17_hap1_hsa18,0
PR01010.hap1.chr,chr18_hap1_hsa16,0
PR01010.hap1.chr,chr19_hap1_hsa17,1
PR01010.hap1.chr,chr20_hap1_hsa19,0
PR01010.hap1.chr,chr21_hap1_hsa20,0
PR01010.hap1.chr,chr22_hap1_hsa21,0
PR01010.hap1.chr,chr23_hap1_hsa22,0
PR01010.hap1.chr,chrX_hap1_hsaX,4
PR01010.hap2.chr,chr1_hap1_hsa1,0
PR01010.hap2.chr,chr2_hap1_hsa3,6
PR01010.hap2.chr,chr3_hap1_hsa4,3
PR01010.hap2.chr,chr4_hap1_hsa5,2
PR01010.hap2.chr,chr5_hap1_hsa6,3
PR01010.hap2.chr,chr6_hap1_hsa7,2
PR01010.hap2.chr,chr7_hap1_hsa8,3
PR01010.hap2.chr,chr8_hap1_hsa10,0
PR01010.hap2.chr,chr9_hap1_hsa11,0
PR01010.hap2.chr,chr10_hap1_hsa12,1
PR01010.hap2.chr,chr11_hap1_hsa9,0
PR01010.hap2.chr,chr12_hap1_hsa2a,0
PR01010.hap2.chr,chr13_hap1_hsa2b,0
PR01010.hap2.chr,chr14_hap1_hsa13,1
PR01010.hap2.chr,chr15_hap1_hsa14,2
PR01010.hap2.chr,chr16_hap1_hsa15,0
PR01010.hap2.chr,chr17_hap1_hsa18,4
PR01010.hap2.chr,chr18_hap1_hsa16,1
PR01010.hap2.chr,chr19_hap1_hsa17,1
PR01010.hap2.chr,chr20_hap1_hsa19,1
PR01010.hap2.chr,chr21_hap1_hsa20,0
PR01010.hap2.chr,chr22_hap1_hsa21,0
PR01010.hap2.chr,chr23_hap1_hsa22,1
PR01010.hap2.chr,chrX_hap1_hsaX,2
PR01100.hap1.chr,chr1_hap1_hsa1,14
