chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent,
chr5_hap1_hsa6,14101000,14102000,Central,10.4813599,10.45896627,0.528898638,LOC107975046,lncRNA,uncharacterized LOC107975046,3.3,97,
chr18_hap1_hsa16,85800000,85801000,Eastern,12.7072029,10.45756455,0.579651851,JPH3,protein_coding,junctophilin 3,1.5,90.8,
chr13_hap1_hsa2b,129938000,129939000,Central,10.47109691,10.45302233,0.561409677,SLC19A3,protein_coding,solute carrier family 19 member 3,1.6,73.9,
chr20_hap1_hsa19,57454000,57455000,Eastern,15.63095087,10.44177012,0.663101566,LILRB1,protein_coding,leukocyte immunoglobulin like receptor B1,2.8,81.7,
chr20_hap1_hsa19,55778000,55779000,Eastern,18.09405563,10.43049037,0.810310947,ZNF888,protein_coding,zinc finger protein 888,1.4,46.5,
chr5_hap1_hsa6,38957000,38958000,Central,11.10995837,10.4259662,0.525706009,PATR-DPA1,protein_coding,major histocompatibility complex%2C class II%2C DP alpha 1,0,100,
chr4_hap1_hsa5,2382000,2383000,Eastern,15.90884369,10.41930429,0.740180086,LOC104006319,lncRNA,uncharacterized LOC104006319,0,28.1,
chr5_hap1_hsa6,164308000,164309000,Central,10.58788026,10.41882038,0.520803934,SYNE1,protein_coding,spectrin repeat containing nuclear envelope protein 1,2.5,65,
chr17_hap1_hsa18,66879000,66880000,Central,10.4480531,10.40352369,0.573793302,WDR7,protein_coding,WD repeat domain 7,2.1,99.9,
chr17_hap1_hsa18,79006000,79007000,Central,10.57457476,10.40285376,0.561398153,CCDC102B,protein_coding,coiled-coil domain containing 102B,0,96.9,
chr8_hap1_hsa10,28836000,28837000,Central,10.42904026,10.40162458,0.385156933,ITGA8,protein_coding,integrin subunit alpha 8,2.5,84.2,
chr10_hap1_hsa12,74439000,74440000,Central,10.51485088,10.38094649,0.573723988,LOC134807488,protein_coding,putative solute carrier organic anion transporter family member 1B7,0,42.5,
chr1_hap1_hsa1,216002000,216003000,Central,10.5648264,10.3737855,0.562993106,TMEM51,protein_coding,transmembrane protein 51,0,65.1,
chr13_hap1_hsa2b,117103000,117104000,Central,10.42432566,10.36701417,0.56124853,LOC112208398,lncRNA,uncharacterized LOC112208398,0,61.7,
chr7_hap1_hsa8,8459000,8460000,Central,12.86369689,10.36415715,0.651690779,DLGAP2,protein_coding,DLG associated protein 2,0,71.6,
chr9_hap1_hsa11,26075000,26076000,Central,10.40416789,10.35449307,0.432060021,LOC104008434,lncRNA,uncharacterized LOC104008434,0.8,83.2,
chr11_hap1_hsa9,35827000,35828000,Central,10.33167433,10.33167433,0.513539003,LOC112204429,lncRNA,uncharacterized LOC112204429,0,93,
chr3_hap1_hsa4,3895000,3896000,Central,11.06023616,10.32422779,0.561039753,DOK7,protein_coding,docking protein 7,0,89.9,
chr19_hap1_hsa17,86447000,86448000,Central,10.33690956,10.32284769,0.519122847,SDK2,protein_coding,sidekick cell adhesion molecule 2,2.7,99.2,
chr10_hap1_hsa12,9441000,9442000,Central,10.46265518,10.32024442,0.48704814,CACNA1C,protein_coding,calcium voltage-gated channel subunit alpha1 C,0,99.6,
chr20_hap1_hsa19,12788000,12789000,Eastern,14.89838771,10.31935743,0.725400802,LOC468717,protein_coding,putative protein C3P1,1.4,50.6,
chr8_hap1_hsa10,144777000,144778000,Central,11.48260298,10.31500058,0.615662354,INPP5A,protein_coding,inositol polyphosphate-5-phosphatase A,0,79.2,
chr1_hap1_hsa1,125303000,125304000,Central,10.43728653,10.30670861,0.564001396,LOC107967526,lncRNA,uncharacterized LOC107967526,0,99.9,
chr22_hap1_hsa21,30309000,30310000,Central,10.32576279,10.30536083,0.443879487,BACH1,protein_coding,BTB domain and CNC homolog 1,4.1,88.7,
chr3_hap1_hsa4,5976000,5977000,Central,10.36530022,10.30123047,0.448012799,EVC2,protein_coding,EvC ciliary complex subunit 2,3.5,87.5,
chr8_hap1_hsa10,14260000,14261000,Western,20.47905109,10.29291979,0.856799133,ADARB2,protein_coding,adenosine deaminase RNA specific B2 (inactive),0,32.7,
chr3_hap1_hsa4,12224000,12225000,Central,10.32019379,10.28959422,0.573210343,LOC107974195,lncRNA,uncharacterized LOC107974195,3.1,61.8,
chr4_hap1_hsa5,176626000,176627000,Central,10.58903202,10.26470177,0.614135841,ADAMTS2,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 2,0,43,
chr16_hap1_hsa15,80952000,80953000,Central,10.26809524,10.26364494,0.540750911,ABHD2,protein_coding,abhydrolase domain containing 2%2C acylglycerol lipase,0,100,
chr1_hap1_hsa1,32868000,32869000,Central,10.28099886,10.25706761,0.529032157,USH2A,protein_coding,usherin,2.2,99.7,
chr2_hap1_hsa3,11384000,11385000,Central,11.65021985,10.23055831,0.664859189,GRM7,protein_coding,glutamate metabotropic receptor 7,0,100,
chr6_hap1_hsa7,168253000,168254000,Eastern,14.33607764,10.21446616,0.532059701,ACTR3B,protein_coding,actin related protein 3B,2.1,79.6,
chr13_hap1_hsa2b,22888000,22889000,Central,10.21643377,10.21305229,0.539873446,LOC134807968,lncRNA,uncharacterized LOC134807968,0,94.6,
chr9_hap1_hsa11,8896000,8897000,Central,10.33222617,10.21180795,0.441200778,MMP26,protein_coding,matrix metallopeptidase 26,0,100,
chr5_hap1_hsa6,38727000,38728000,Central,10.23788011,10.20405707,0.51581682,PSMB8,protein_coding,proteasome 20S subunit beta 8,1.5,99.3,
chr1_hap1_hsa1,217247000,217248000,Eastern,14.43813149,10.19628351,0.762942539,KAZN,protein_coding,kazrin%2C periplakin interacting protein,1.9,72.5,
chr23_hap1_hsa22,27625000,27626000,Central,11.69381856,10.1915439,0.316147538,GRK3,protein_coding,G protein-coupled receptor kinase 3,0,48.5,
chr20_hap1_hsa19,55778000,55779000,Western,18.09405563,10.19019179,0.829419181,ZNF888,protein_coding,zinc finger protein 888,1.4,46.5,
chr19_hap1_hsa17,55017000,55018000,Central,10.19269981,10.18250476,0.532071567,TRIM16,protein_coding,tripartite motif containing 16,4.3,74.5,
chr2_hap1_hsa3,28880000,28881000,Central,10.38176892,10.17551009,0.553723259,RARB,protein_coding,retinoic acid receptor beta,2.1,100,
chr5_hap1_hsa6,35411000,35412000,Central,10.36361689,10.16540166,0.4840014,LOC462525,protein_coding,olfactory receptor 2H1-like,1.1,99.7,
chr9_hap1_hsa11,130371000,130372000,Central,10.16709984,10.16131488,0.567781372,LOC107967248,lncRNA,uncharacterized LOC107967248,0,99.8,
chr6_hap1_hsa7,169577000,169578000,Central,10.480003,10.16103493,0.577804958,DPP6,protein_coding,dipeptidyl peptidase like 6,0,97.5,
chr12_hap1_hsa2a,121780000,121781000,Eastern,15.69747478,10.14563708,0.690184739,SNTG2,protein_coding,syntrophin gamma 2,0,78.2,
chr5_hap1_hsa6,70739000,70740000,Eastern,13.74653277,10.14098062,0.73178044,LOC100609532,protein_coding,protein eyes shut homolog,1.6,22.2,
chr2_hap1_hsa3,186266000,186267000,Central,10.39536228,10.13355961,0.558724152,MCCC1,protein_coding,methylcrotonyl-CoA carboxylase subunit 1,1.6,45.8,
chr7_hap1_hsa8,14190000,14191000,Western,19.31390513,10.11559307,0.75641379,LOC134810809,lncRNA,uncharacterized LOC134810809,3.7,38.5,
chr20_hap1_hsa19,11714000,11715000,Central,10.18169235,10.11510738,0.536958631,MUC16,protein_coding,mucin 16%2C cell surface associated,0,100,
chr18_hap1_hsa16,15273000,15274000,Central,10.28889732,10.11220814,0.611617598,LOC134808782,lncRNA,uncharacterized LOC134808782,1.9,30.7,
chr18_hap1_hsa16,25467000,25468000,Central,11.4522265,10.09864526,0.648195413,HS3ST2,protein_coding,heparan sulfate-glucosamine 3-sulfotransferase 2,0,83.4,
chr10_hap1_hsa12,135235000,135236000,Central,10.11633872,10.09012083,0.577198092,TMEM132C,protein_coding,transmembrane protein 132C,0,84.1,
chr12_hap1_hsa2a,44853000,44854000,Central,10.14944552,10.08548127,0.180607775,LOC134807808,protein_coding,breast carcinoma-amplified sequence 4-like,1.5,93.4,
chr12_hap1_hsa2a,94269000,94270000,Central,10.08161491,10.07524877,0.516932295,PLB1,protein_coding,phospholipase B1,1.1,60.2,
chr5_hap1_hsa6,37030000,37031000,Central,10.09832159,10.072895,0.466862758,CCHCR1,protein_coding,coiled-coil alpha-helical rod protein 1,2.9,33,
chr12_hap1_hsa2a,20847000,20848000,Central,10.1067409,10.07225768,0.550134599,IL1R1,protein_coding,interleukin 1 receptor type 1,1.5,94.8,
chr13_hap1_hsa2b,130310000,130311000,Central,10.6946263,10.06896265,0.508924922,SPHKAP,protein_coding,SPHK1 interactor%2C AKAP domain containing,1.6,100,
chr18_hap1_hsa16,85797000,85798000,Central,10.24095253,10.06530268,0.589450026,JPH3,protein_coding,junctophilin 3,3.6,60.8,
chr6_hap1_hsa7,173119000,173120000,Eastern,12.86269758,10.06018208,0.707751907,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2,2,84,
chr16_hap1_hsa15,89176000,89177000,Central,10.26155648,10.04837025,0.546355232,LOC134808481,lncRNA,uncharacterized LOC134808481,0,99.9,
chr4_hap1_hsa5,39523000,39524000,Central,10.33761611,10.03655417,0.557629823,IQGAP2,protein_coding,IQ motif containing GTPase activating protein 2,0,97.2,
chr7_hap1_hsa8,16490000,16491000,Central,11.93190981,10.03516896,0.74000346,MSRA,protein_coding,methionine sulfoxide reductase A,0,21.2,
chr18_hap1_hsa16,73318000,73319000,Eastern,13.80641232,10.02655844,0.579271167,LOC736783,protein_coding,chymotrypsinogen B,1.4,23.2,
chr1_hap1_hsa1,54458000,54459000,Central,10.07724154,10.02634717,0.438568212,LOC104004066,lncRNA,uncharacterized LOC104004066,0,99.9,
chr8_hap1_hsa10,139073000,139074000,Central,10.18328246,10.02285672,0.513593107,DOCK1,protein_coding,dedicator of cytokinesis 1,3.6,35.1,
chr19_hap1_hsa17,11515000,11516000,Eastern,14.82656593,10.02198266,0.468861554,ABR,protein_coding,ABR activator of RhoGEF and GTPase,0,31.5,
chr12_hap1_hsa2a,39408000,39409000,Central,10.10261723,10.02079022,0.567978069,LOC134807806,lncRNA,uncharacterized LOC134807806,4.1,61.9,
chr1_hap1_hsa1,1188000,1189000,Central,10.17194153,10.01399667,0.458040932,TRIM58,protein_coding,tripartite motif containing 58,2.8,96.3,
chr18_hap1_hsa16,57191000,57192000,Central,10.10737432,10.01268353,0.562704686,LOC107968867,lncRNA,uncharacterized LOC107968867,0,100,
chr8_hap1_hsa10,78212000,78213000,Central,10.32935875,9.996717994,0.493857579,CTNNA3,protein_coding,catenin alpha 3,2.6,78.8,
chr1_hap1_hsa1,169100000,169101000,Central,9.999251723,9.98614589,0.511360784,PATJ,protein_coding,PATJ crumbs cell polarity complex component,0,98.8,
chr9_hap1_hsa11,84546000,84547000,Central,9.992278724,9.984914323,0.468491929,LOC107967178,lncRNA,uncharacterized LOC107967178,2.6,40.7,
chr5_hap1_hsa6,72993000,72994000,Eastern,14.19869257,9.972308143,0.593693491,LOC129144370,protein_coding,protein eyes shut homolog,1.5,66,
chr2_hap1_hsa3,5236000,5237000,Central,11.16760485,9.962931518,0.639757303,CNTN6,protein_coding,contactin 6,0,60.7,
chr7_hap1_hsa8,17290000,17291000,Central,10.23691933,9.958003276,0.559989173,MTMR9,protein_coding,myotubularin related protein 9,0,100,
chr6_hap1_hsa7,168606000,168607000,Central,9.986823971,9.95033641,0.525718801,ACTR3B,protein_coding,actin related protein 3B,1.1,100,
chr7_hap1_hsa8,11760000,11761000,Central,10.0395056,9.944417001,0.577201037,CSMD1,protein_coding,CUB and Sushi multiple domains 1,0,100,
chr8_hap1_hsa10,27469000,27470000,Eastern,13.6517898,9.934565435,0.731418149,FAM107B,protein_coding,family with sequence similarity 107 member B,3.5,90.6,
chr4_hap1_hsa5,178189000,178190000,Central,9.960777022,9.900608183,0.55999704,LOC107974955,lncRNA,uncharacterized LOC107974955,0,53.3,
chr10_hap1_hsa12,138617000,138618000,Central,19.1548855,9.896901116,0.773697373,SFSWAP,protein_coding,splicing factor SWAP,0,24.9,
chr11_hap1_hsa9,106274000,106275000,Eastern,14.57527002,9.896500038,0.695547351,PTPRD,protein_coding,protein tyrosine phosphatase receptor type D,1.4,44.9,
chr15_hap1_hsa14,25722000,25723000,Central,9.896270526,9.887181265,0.485950747,LOC104001989,protein_coding,uncharacterized LOC104001989,5,99.6,
chr4_hap1_hsa5,113456000,113457000,Central,9.893941008,9.882983664,0.490946701,LOC104006521,lncRNA,uncharacterized LOC104006521,1.3,100,
chr14_hap1_hsa13,25970000,25971000,Eastern,13.45651981,9.867992335,0.462600113,LOC134808114,lncRNA,uncharacterized LOC134808114,2.6,44.8,
chr6_hap1_hsa7,57431000,57432000,Central,9.896318815,9.864199903,0.558415917,LOC134810486,lncRNA,uncharacterized LOC134810486,4.4,53.3,
chr15_hap1_hsa14,79061000,79062000,Central,9.911927154,9.86298342,0.375072139,TSHR,protein_coding,thyroid stimulating hormone receptor,0,100,
chr9_hap1_hsa11,40355000,40356000,Central,9.870456788,9.860562149,0.553576306,PRR5L,protein_coding,proline rich 5 like,1.1,99.9,
chr9_hap1_hsa11,9137000,9138000,Eastern,12.91197056,9.855968549,0.728193289,MMP26,protein_coding,matrix metallopeptidase 26,2.3,100,
chr16_hap1_hsa15,9910000,9911000,Central,9.926899144,9.848053318,0.550370886,LOC112205570,lncRNA,uncharacterized LOC112205570,3.5,41.3,
chr19_hap1_hsa17,57990000,57991000,Central,9.88993405,9.846405927,0.541815866,MYOCD,protein_coding,myocardin,0,99.7,
chr9_hap1_hsa11,9604000,9605000,Eastern,14.97538601,9.845422421,0.704870112,HBE1,protein_coding,hemoglobin subunit epsilon 1,0,93.2,
chr18_hap1_hsa16,2901000,2902000,Central,14.32943777,9.844154081,0.609377416,CAPN15,protein_coding,calpain 15,3.7,22.1,
chr6_hap1_hsa7,27626000,27627000,Eastern,14.25223967,9.840411124,0.334656165,DNAH11,protein_coding,dynein axonemal heavy chain 11,1.5,80.3,
chr23_hap1_hsa22,49929000,49930000,Central,12.55931849,9.838432528,0.602455937,LOC134809706,lncRNA,uncharacterized LOC134809706,0,100,
chr18_hap1_hsa16,86270000,86271000,Central,10.17202512,9.837649454,0.549574478,LOC112205901,lncRNA,uncharacterized LOC112205901,0,90.1,
chr6_hap1_hsa7,11860000,11861000,Eastern,13.20521748,9.831531284,0.526710513,LOC738574,protein_coding,radial spoke head 10 homolog B,0,37.7,
chr16_hap1_hsa15,40907000,40908000,Central,9.881343046,9.831457702,0.53937414,SHC4,protein_coding,SHC adaptor protein 4,3.9,74,
chr17_hap1_hsa18,87050000,87051000,Western,17.48243541,9.828833334,0.936917729,MBP,protein_coding,myelin basic protein,2.1,71.1,
chr8_hap1_hsa10,144352000,144353000,Eastern,14.86706308,9.807716543,0.768782455,JAKMIP3,protein_coding,Janus kinase and microtubule interacting protein 3,1.9,21.8,
chr1_hap1_hsa1,205550000,205551000,Eastern,12.8312799,9.806552605,0.649645867,LOC112209443,protein_coding,RH-like protein IIR,3.1,24.4,
chr5_hap1_hsa6,78111000,78112000,Central,9.815852554,9.805423272,0.452704984,LOC107975187,lncRNA,uncharacterized LOC107975187,0,100,
chr3_hap1_hsa4,71850000,71851000,Central,9.8416227,9.804374915,0.428221579,LOC107974311,lncRNA,uncharacterized LOC107974311,1.7,45.5,
chr12_hap1_hsa2a,45009000,45010000,Central,9.81874455,9.800499048,0.536442247,LOC129143149,lncRNA,uncharacterized LOC129143149,0,84.1,
chr3_hap1_hsa4,39525000,39526000,Central,11.26540557,9.799238627,0.411936984,WDR19,protein_coding,WD repeat domain 19,3.3,31.6,
chr4_hap1_hsa5,2685000,2686000,Eastern,13.48775983,9.796081164,0.750449879,LOC104006320,lncRNA,uncharacterized LOC104006320,0,72.2,
chr8_hap1_hsa10,19764000,19765000,Central,9.881014439,9.789876702,0.511653196,LOC107976907,protein_coding,endogenous retrovirus group K member 16 Rec protein,0,76.1,
chr18_hap1_hsa16,82569000,82570000,Central,11.37566787,9.778799777,0.594795874,ATP2C2,protein_coding,ATPase secretory pathway Ca2+ transporting 2,2,46.6,
chr7_hap1_hsa8,93179000,93180000,Central,9.782936987,9.778662644,0.513929406,RALYL,protein_coding,RALY RNA binding protein like,2.5,98.4,
chr22_hap1_hsa21,40425000,40426000,Central,9.827979159,9.774158542,0.502025598,IGSF5,protein_coding,immunoglobulin superfamily member 5,1.2,95.3,
chr20_hap1_hsa19,55368000,55369000,Eastern,14.43553381,9.77255644,0.704425981,ZNF578,protein_coding,zinc finger protein 578,3.2,33.2,
chr3_hap1_hsa4,61358000,61359000,Eastern,14.3702983,9.771556039,0.500540471,LOC134809886,lncRNA,uncharacterized LOC134809886,0,20.7,
chr18_hap1_hsa16,82392000,82393000,Central,9.842132744,9.770370348,0.592357551,KCNG4,protein_coding,potassium voltage-gated channel modifier subfamily G member 4,1.9,74.3,
chr20_hap1_hsa19,55717000,55718000,Central,14.45206127,9.76779436,0.693922492,ZNF468,protein_coding,zinc finger protein 468,0,34.4,
chr17_hap1_hsa18,83618000,83619000,Central,9.825867338,9.767447819,0.577525299,LOC129137891,lncRNA,uncharacterized LOC129137891,2.1,99.8,
chr14_hap1_hsa13,25969000,25970000,Central,9.973842936,9.746917428,0.547089066,LOC134808114,lncRNA,uncharacterized LOC134808114,2.2,31.2,
chr8_hap1_hsa10,95084000,95085000,Central,9.790732621,9.743089529,0.577105078,NRG3,protein_coding,neuregulin 3,1.3,89.1,
chr12_hap1_hsa2a,115663000,115664000,Eastern,15.19588841,9.742830362,0.270736268,RNF144A,protein_coding,ring finger protein 144A,0,100,
chr1_hap1_hsa1,33097000,33098000,Eastern,14.21900591,9.742504373,0.225643889,USH2A,protein_coding,usherin,0,39.9,
chr8_hap1_hsa10,144937000,144938000,Western,18.60022526,9.737919755,0.86765927,INPP5A,protein_coding,inositol polyphosphate-5-phosphatase A,1.9,27.8,
chr2_hap1_hsa3,183563000,183564000,Central,9.893499783,9.737573581,0.529828163,LOC107970850,lncRNA,uncharacterized LOC107970850,2.5,98.3,
chr10_hap1_hsa12,136137000,136138000,Central,10.17290743,9.730718446,0.449639875,TMEM132D,protein_coding,transmembrane protein 132D,0,100,
chr4_hap1_hsa5,8038000,8039000,Central,9.738200181,9.719723373,0.515810768,LOC107974612,lncRNA,uncharacterized LOC107974612,0,94.6,
chr7_hap1_hsa8,47920000,47921000,Central,9.803329712,9.719067637,0.535775548,ADAM18,protein_coding,ADAM metallopeptidase domain 18,1.9,99.8,
chr6_hap1_hsa7,172006000,172007000,Eastern,13.99530494,9.713184301,0.71631582,NOM1,protein_coding,nucleolar protein with MIF4G domain 1,1.3,31.6,
chr19_hap1_hsa17,87094000,87095000,Eastern,13.18202407,9.706674464,0.439691288,LOC107969320,lncRNA,uncharacterized LOC107969320,3.6,24.5,
chr6_hap1_hsa7,54411000,54412000,Central,10.02581062,9.699449337,0.55598036,ABCA13,protein_coding,ATP binding cassette subfamily A member 13,2,100,
chr3_hap1_hsa4,38746000,38747000,Central,10.13468838,9.699112749,0.576595958,LOC104006025,lncRNA,uncharacterized LOC104006025,0,73.1,
chr17_hap1_hsa18,67788000,67789000,Central,9.712061253,9.697380123,0.47953014,LOC134808618,lncRNA,uncharacterized LOC134808618,2.5,93.1,
chr10_hap1_hsa12,7754000,7755000,Central,9.701705168,9.685426718,0.532483916,NINJ2,protein_coding,ninjurin 2,1.4,32.4,
chr10_hap1_hsa12,133702000,133703000,Central,9.755475926,9.683240283,0.491022493,LOC134807442,lncRNA,uncharacterized LOC134807442,0,100,
chr3_hap1_hsa4,22302000,22303000,Central,9.703685679,9.679091931,0.567557789,KCNIP4,protein_coding,potassium voltage-gated channel interacting protein 4,4.4,41.8,
chr2_hap1_hsa3,11949000,11950000,Central,9.712441299,9.672606623,0.560168728,LOC107970553,lncRNA,uncharacterized LOC107970553,2.2,99.6,
chr8_hap1_hsa10,13932000,13933000,Eastern,13.77640629,9.672553924,0.6124022,WDR37,protein_coding,WD repeat domain 37,0,21.5,
chr6_hap1_hsa7,157875000,157876000,Central,9.827120191,9.664729382,0.557547158,LOC101059405,V_segment,T cell receptor beta variable 7-6-like,4.2,90.9,
chr6_hap1_hsa7,9089000,9090000,Western,17.06646182,9.649492487,0.949387371,LOC112209743,lncRNA,uncharacterized LOC112209743,0,94.8,
chr16_hap1_hsa15,74305000,74306000,Central,9.735657766,9.642969424,0.309062232,LOC743568,protein_coding,A disintegrin and metalloproteinase with thrombospondin motifs 7,4.6,24.7,
chr23_hap1_hsa22,27595000,27596000,Central,9.65668504,9.640663236,0.471495976,LOC107970380,lncRNA,uncharacterized LOC107970380,0,69.1,
chr8_hap1_hsa10,119133000,119134000,Central,9.651862284,9.638523245,0.558378103,SORCS1,protein_coding,sortilin related VPS10 domain containing receptor 1,0,100,
chr9_hap1_hsa11,8725000,8726000,Eastern,12.44225233,9.629271332,0.664813021,C11H11orf40,lncRNA,chromosome 11 C11orf40 homolog,1.6,100,
chr4_hap1_hsa5,118062000,118063000,Eastern,12.53723684,9.625820156,0.576411837,LOC134809972,lncRNA,uncharacterized LOC134809972,0,83.4,
chr9_hap1_hsa11,131717000,131718000,Central,9.805201631,9.613877554,0.563135837,LOC134807286,protein_coding,uncharacterized LOC134807286,3.2,100,
chr23_hap1_hsa22,46827000,46828000,Central,9.904474817,9.610991946,0.61267592,ARHGAP8,protein_coding,Rho GTPase activating protein 8,0,33.2,
chr11_hap1_hsa9,97265000,97266000,Eastern,14.72179467,9.608360832,0.874913431,ADAMTSL1,protein_coding,ADAMTS like 1,1.1,21.2,
chr18_hap1_hsa16,86860000,86861000,Central,10.35662029,9.590322616,0.619712275,SNAI3,protein_coding,snail family transcriptional repressor 3,1.1,90,
chr16_hap1_hsa15,91989000,91990000,Central,9.812946882,9.589695481,0.551387145,ADAMTS17,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 17,2.1,72.4,
chr5_hap1_hsa6,89275000,89276000,Central,9.603900009,9.587190369,0.500567587,LOC129144293,protein_coding,protein GVQW1-like,1.5,55.4,
chr6_hap1_hsa7,173160000,173161000,Central,9.773226935,9.586778235,0.578445297,PTPRN2,protein_coding,protein tyrosine phosphatase receptor type N2,0,71.3,
chr20_hap1_hsa19,57560000,57561000,Central,9.892090887,9.586211987,0.576777305,LOC100608180,protein_coding,leukocyte immunoglobulin-like receptor subfamily B member 3-like,1.8,61.2,
chr12_hap1_hsa2a,22037000,22038000,Central,9.830255248,9.584486569,0.566004581,NPAS2,protein_coding,neuronal PAS domain protein 2,3.3,79,
chr15_hap1_hsa14,38181000,38182000,Central,9.758251653,9.581753136,0.576542282,LOC134808290,lncRNA,uncharacterized LOC134808290,0,75.5,
chr7_hap1_hsa8,49318000,49319000,Central,9.578840788,9.577684873,0.520242167,LOC134810674,lncRNA,uncharacterized LOC134810674,1.4,99.7,
chr10_hap1_hsa12,137463000,137464000,Eastern,11.24669612,9.572569232,0.576767067,RIMBP2,protein_coding,RIMS binding protein 2,5,58.2,
chr16_hap1_hsa15,46417000,46418000,Central,9.578301628,9.569405539,0.426514576,UNC13C,protein_coding,unc-13 homolog C,0,100,
chr1_hap1_hsa1,89601000,89602000,Eastern,13.63522285,9.568788196,0.515821107,LOC104003354,protein_coding,putative olfactory receptor 10J6,0,35.7,
chr9_hap1_hsa11,9603000,9604000,Western,16.85635056,9.558579522,0.659532466,HBE1,protein_coding,hemoglobin subunit epsilon 1,4.4,57.1,
chr12_hap1_hsa2a,81649000,81650000,Central,9.571731775,9.552199418,0.52367287,LOC107973442,lncRNA,uncharacterized LOC107973442,0,100,
chr23_hap1_hsa22,52884000,52885000,Eastern,12.99523965,9.550988304,0.770465109,ACR,protein_coding,acrosin,0.2,51.1,
chr16_hap1_hsa15,83025000,83026000,Central,9.658311008,9.546914858,0.360999733,SV2B,protein_coding,synaptic vesicle glycoprotein 2B,0,99.6,
chr4_hap1_hsa5,95327000,95328000,Central,9.567340123,9.545291051,0.586978273,LOC134810088,lncRNA,uncharacterized LOC134810088,4.6,66.5,
chr6_hap1_hsa7,155737000,155738000,Central,9.620690283,9.540190111,0.52226952,SLC37A3,protein_coding,solute carrier family 37 member 3,4.2,58.4,
chr18_hap1_hsa16,86077000,86078000,Central,10.21728842,9.521194368,0.607210331,CA5A,protein_coding,carbonic anhydrase 5A,3.5,57.6,
chr12_hap1_hsa2a,46097000,46098000,Eastern,14.06332083,9.518682722,0.314773692,LOC129143146,protein_coding,uncharacterized LOC129143146,3,40.2,
chr18_hap1_hsa16,86851000,86852000,Central,9.590789454,9.518539437,0.600386319,LOC112205902,lncRNA,uncharacterized LOC112205902,3.9,37.4,
chr18_hap1_hsa16,23019000,23020000,Central,9.51073272,9.508779108,0.564871097,PDILT,protein_coding,protein disulfide isomerase like%2C testis expressed,0,100,
chr4_hap1_hsa5,19288000,19289000,Central,9.65476596,9.503387113,0.592094343,LOC134810063,lncRNA,uncharacterized LOC134810063,0,100,
chr14_hap1_hsa13,117249000,117250000,Eastern,11.52764865,9.501014144,0.757631412,LOC134808165,lncRNA,uncharacterized LOC134808165,0,69.2,
chr6_hap1_hsa7,166731000,166732000,Central,9.706793902,9.499928611,0.550835181,PRKAG2,protein_coding,protein kinase AMP-activated non-catalytic subunit gamma 2,0,35.3,
chr14_hap1_hsa13,112650000,112651000,Central,10.23705622,9.494683596,0.564479216,NALF1,protein_coding,NALCN channel auxiliary factor 1,0,100,
chr20_hap1_hsa19,43460000,43461000,Central,9.498939103,9.483384399,0.39160126,PLD3,protein_coding,phospholipase D family member 3,3.6,75.1,
chr21_hap1_hsa20,12374000,12375000,Central,9.526620756,9.480951257,0.493131713,SHLD1,protein_coding,shieldin complex subunit 1,3.1,70.1,
chr6_hap1_hsa7,44125000,44126000,Eastern,13.13107696,9.475723791,0.685857176,LOC104007162,lncRNA,uncharacterized LOC104007162,1.9,94.4,
chr1_hap1_hsa1,217111000,217112000,Western,16.13585669,9.472940496,0.924392716,KAZN,protein_coding,kazrin%2C periplakin interacting protein,0,100,
chr12_hap1_hsa2a,17633000,17634000,Central,9.509372998,9.470175293,0.54861632,GPR45,protein_coding,G protein-coupled receptor 45,1.4,80.5,
chr2_hap1_hsa3,146301000,146302000,Central,9.472938421,9.466582153,0.521819864,LOC107970796,lncRNA,uncharacterized LOC107970796,0,92.4,
chr20_hap1_hsa19,58769000,58770000,Central,10.30808544,9.464872748,0.48964713,NLRP11,protein_coding,NLR family pyrin domain containing 11,0,100,
chr13_hap1_hsa2b,25210000,25211000,Central,9.517964924,9.459470741,0.513405726,CNTNAP5,protein_coding,contactin associated protein family member 5,3.3,98.9,
chr9_hap1_hsa11,84909000,84910000,Central,9.466822898,9.454678688,0.388629886,PRCP,protein_coding,prolylcarboxypeptidase,1.5,58.3,
chr6_hap1_hsa7,18901000,18902000,Central,9.539875731,9.451617497,0.591857915,LOC134810521,lncRNA,uncharacterized LOC134810521,3.2,99.1,
chr5_hap1_hsa6,136219000,136220000,Eastern,12.53039431,9.4478089,0.747636473,NKAIN2,protein_coding,sodium/potassium transporting ATPase interacting 2,1.9,100,
chr13_hap1_hsa2b,131917000,131918000,Central,9.55184989,9.441408224,0.517138614,DNER,protein_coding,delta/notch like EGF repeat containing,1.5,99.3,
chr20_hap1_hsa19,57549000,57550000,Eastern,14.61198124,9.436214005,0.707622398,LOC100608180,protein_coding,leukocyte immunoglobulin-like receptor subfamily B member 3-like,2.1,86.7,
chr4_hap1_hsa5,77989000,77990000,Central,9.712984903,9.416044947,0.51074856,RAI14,protein_coding,retinoic acid induced 14,0,75.7,
