chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent
chr12_hap1_hsa2a,45995000,45996000,Eastern,6.0103725663507666,0.24194135647382287,11.34684775559237,LRRTM4,protein_coding,leucine rich repeat transmembrane neuronal 4,0,99.9
chr1_hap1_hsa1,583000,584000,Eastern,8.82830243819785,0.2374004521240957,11.277844887778818,LOC469776,protein_coding,olfactory receptor 2T29,0,36.3
chr5_hap1_hsa6,38230000,38231000,Eastern,15.436070113588103,0.34699563998039745,11.211495288940636,BTNL2,protein_coding,butyrophilin like 2,4.5,93
chr15_hap1_hsa14,76400000,76401000,Eastern,4.150555681458494,0.20627388311402087,11.095970207124562,NRXN3,protein_coding,neurexin 3,2.6,99.9
chr7_hap1_hsa8,11143000,11144000,Eastern,7.153080425018569,0.2907660288600431,11.00150552014236,CSMD1,protein_coding,CUB and Sushi multiple domains 1,0,87.2
chr22_hap1_hsa21,45033000,45034000,Eastern,2.363540547867877,0.040361771643711394,10.962405761487812,TRPM2,protein_coding,transient receptor potential cation channel subfamily M member 2,3.6999999999999997,99
chr13_hap1_hsa2b,143537000,143538000,Eastern,6.155467770380745,0.2552394205328563,10.379433357659316,HDLBP,protein_coding,high density lipoprotein binding protein,1.6,29.4
chr5_hap1_hsa6,38396000,38397000,Eastern,14.044995902219519,0.2514551351362397,10.311549660367396,LOC104006793,protein_coding,HLA class II histocompatibility antigen%2C DR beta 3 chain,0,25.900000000000002
chr3_hap1_hsa4,3755000,3756000,Eastern,5.979540135742468,0.28455961280682507,10.259393698554614,RGS12,protein_coding,regulator of G protein signaling 12,1.7000000000000002,51.1
chr4_hap1_hsa5,17553000,17554000,Eastern,10.391937023969486,0.49082220340251825,10.068370198342311,MYO10,protein_coding,myosin X,0.6,67.7
chr15_hap1_hsa14,20243000,20244000,Eastern,6.171903814750754,0.3537121851884657,9.964451733984468,LOC129136961,lncRNA,uncharacterized LOC129136961,1.6,64.5
chr7_hap1_hsa8,132290000,132291000,Eastern,3.063939784025574,0.1414945268438698,9.890534125368877,LOC134810913,lncRNA,uncharacterized LOC134810913,1.0999999999999999,35.3
chr7_hap1_hsa8,155420000,155421000,Eastern,7.1024639694803415,0.3986613127539428,9.848311696231203,C8H8orf33,protein_coding,chromosome 8 C8orf33 homolog,2.5,58.9
chr10_hap1_hsa12,52351000,52352000,Eastern,4.90058937676582,0.2863745401654415,9.82578945851246,ADAMTS20,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 20,0,21.8
chr5_hap1_hsa6,38294000,38295000,Eastern,17.325344606559756,0.7625897595061657,9.76671958762944,LOC134810287,lncRNA,uncharacterized LOC134810287,2.5,43.9
chr1_hap1_hsa1,3110000,3111000,Eastern,8.84154043183207,0.3753761422576574,9.736089625522888,SMYD3,protein_coding,SET and MYND domain containing 3,0,100
chr15_hap1_hsa14,19308000,19309000,Eastern,7.910146408796673,0.3646355004241474,9.734194600458675,LOC134808275,lncRNA,uncharacterized LOC134808275,0,33
chr17_hap1_hsa18,18540000,18541000,Eastern,6.640084454853511,0.3574579545769751,9.728164165203047,AFG3L2,protein_coding,AFG3 like matrix AAA peptidase subunit 2,1.3,99.4
chr6_hap1_hsa7,169588000,169589000,Eastern,10.060285215509953,0.5658793094646813,9.706146307256091,DPP6,protein_coding,dipeptidyl peptidase like 6,1.2,64.4
chr12_hap1_hsa2a,82495000,82496000,Eastern,6.060292568732304,0.25758893248426534,9.664416866960671,SLC8A1,protein_coding,solute carrier family 8 member A1,2.1999999999999997,100
chr17_hap1_hsa18,69210000,69211000,Eastern,5.270101135932143,0.2906458600937503,9.660303895971447,SEC11C,protein_coding,SEC11 homolog C%2C signal peptidase complex subunit,3.1,57.9
chr14_hap1_hsa13,103823000,103824000,Eastern,4.214562394419204,0.24381980226628175,9.641979242231256,FARP1,protein_coding,FERM%2C ARH/RhoGEF and pleckstrin domain protein 1,2,97.5
chr6_hap1_hsa7,158192000,158193000,Eastern,10.55598156300289,0.561561857936685,9.635961439002768,LOC134810584,C_region,T cell receptor beta constant 1-like,0.2,99.6
chr19_hap1_hsa17,94109000,94110000,Eastern,6.238456814893736,0.3073178367517521,9.51691728026264,RPTOR,protein_coding,regulatory associated protein of MTOR complex 1,0.4,82
chr20_hap1_hsa19,59669000,59670000,Eastern,15.57152478616281,0.6837482831985705,9.508840747853444,LOC104003467,protein_coding,olfactory receptor 1L4-like,0,54
chr3_hap1_hsa4,146000,147000,Eastern,7.331759206781902,0.21862306710772594,9.478647609986329,LOC129143816,protein_coding,endogenous retrovirus group K member 113 Env polyprotein-like,2.9000000000000004,89.3
chr11_hap1_hsa9,66896000,66897000,Eastern,3.4399760921832017,0.17157332873764378,9.46037484603398,GCNT1,protein_coding,glucosaminyl (N-acetyl) transferase 1,1.3,87.6
chr10_hap1_hsa12,7199000,7200000,Eastern,5.625767539725338,0.2168063553136253,9.387937216325769,IQSEC3,protein_coding,IQ motif and Sec7 domain ArfGEF 3,2.9000000000000004,81.2
chr6_hap1_hsa7,163748000,163749000,Eastern,4.208047625607224,0.26350618560230815,9.371855746126863,C7H7orf33,protein_coding,chromosome 7 C7orf33 homolog,1.3,67.7
chr1_hap1_hsa1,79751000,79752000,Eastern,6.750468898215752,0.4043582775767726,9.366932453174526,NME7,protein_coding,NME/NM23 family member 7,1.4000000000000001,100
chr4_hap1_hsa5,4066000,4067000,Eastern,5.266312119654241,0.31673805359399326,9.366267943421017,LOC104006326,lncRNA,uncharacterized LOC104006326,0,99.9
chr12_hap1_hsa2a,103674000,103675000,Eastern,8.400244639855034,0.3170778588502579,9.345278572452973,LOC134807944,protein_coding,uncharacterized LOC134807944,0,100
chr2_hap1_hsa3,161684000,161685000,Eastern,6.217916130698359,0.21825141341476478,9.328190339165984,RSRC1,protein_coding,arginine and serine rich coiled-coil 1,4.8,68.2
chr1_hap1_hsa1,79746000,79747000,Eastern,7.212143281995899,0.4176236191285892,9.310989922581918,BLZF1,protein_coding,basic leucine zipper nuclear factor 1,1.2,99.7
chr7_hap1_hsa8,9042000,9043000,Eastern,6.159570671316818,0.19958957986518863,9.262807226816491,MYOM2,protein_coding,myomesin 2,0,89.3
chr5_hap1_hsa6,156712000,156713000,Eastern,8.752826133201758,0.5208757205847591,9.24449453118904,UTRN,protein_coding,utrophin,0,99.8
chr17_hap1_hsa18,28144000,28145000,Eastern,4.55284502425514,0.26196354495664953,9.168635312241928,SMCHD1,protein_coding,structural maintenance of chromosomes flexible hinge domain containing 1,0,100
chr11_hap1_hsa9,83609000,83610000,Eastern,6.85389470019139,0.3609382306848244,9.125915026910256,ACO1,protein_coding,aconitase 1,3.5999999999999996,72.89999999999999
chr19_hap1_hsa17,27353000,27354000,Eastern,2.119748345576531,0.13856429589266062,9.106423376075233,KRT25,protein_coding,keratin 25,0,100
chr12_hap1_hsa2a,109917000,109918000,Eastern,4.015369884372484,0.20878054504712062,9.060085087949586,LOC104004884,lncRNA,uncharacterized LOC104004884,2.3,84.2
chr2_hap1_hsa3,199529000,199530000,Eastern,5.570265987673061,0.32834507776515726,8.963778765039837,UBXN7,protein_coding,UBX domain protein 7,2.3,23.5
chr3_hap1_hsa4,39247000,39248000,Eastern,8.334166109682613,0.35817959328965626,8.926970863588453,FAM114A1,protein_coding,family with sequence similarity 114 member A1,3.8,55.800000000000004
chr19_hap1_hsa17,13697000,13698000,Eastern,1.8297344444143457,0.06898999529602218,8.920766582455668,LOC468148,protein_coding,olfactory receptor 1A2,0,100
chr10_hap1_hsa12,139036000,139037000,Eastern,3.6867365996863146,0.05372578214470101,8.894929605808057,LOC100614746,lncRNA,uncharacterized LOC100614746,3.6999999999999997,33.6
chr8_hap1_hsa10,131487000,131488000,Eastern,6.478598825982357,0.3055277509653436,8.893952073689428,GRK5,protein_coding,G protein-coupled receptor kinase 5,2,66.10000000000001
chr14_hap1_hsa13,118692000,118693000,Eastern,10.729915733769772,0.5546433723920322,8.880241072009445,MCF2L,protein_coding,MCF.2 cell line derived transforming sequence like,1.7999999999999998,51.2
chr19_hap1_hsa17,13676000,13677000,Eastern,2.0169840759064774,0.0719356106356822,8.85678746951462,LOC112206063,protein_coding,olfactory receptor 1P1-like,0,40.400000000000006
chr10_hap1_hsa12,9507000,9508000,Eastern,6.13484404682369,0.34550903727185567,8.843736083066213,CACNA1C,protein_coding,calcium voltage-gated channel subunit alpha1 C,0,86.6
chr4_hap1_hsa5,71471000,71472000,Eastern,7.165127850487642,0.3549417401433929,8.725481847337909,PLCXD3,protein_coding,phosphatidylinositol specific phospholipase C X domain containing 3,0,99.8
chr6_hap1_hsa7,92406000,92407000,Eastern,8.48280204809318,0.5505615451082868,8.700084461791157,PCLO,protein_coding,piccolo presynaptic cytomatrix protein,4.3,100
chr13_hap1_hsa2b,135193000,135194000,Eastern,4.021126086737487,0.28137687149341967,8.681300901016932,NGEF,protein_coding,neuronal guanine nucleotide exchange factor,0,100
chr10_hap1_hsa12,10836000,10837000,Eastern,7.190176786012037,0.4833381431227341,8.608827111853003,CRACR2A,protein_coding,calcium release activated channel regulator 2A,0,88.1
chr12_hap1_hsa2a,13784000,13785000,Eastern,6.487508834732,0.40872712196027144,8.603113031847279,LOC104005123,lncRNA,uncharacterized LOC104005123,1.9,93.4
chr6_hap1_hsa7,14417000,14418000,Eastern,9.067666116356708,0.531019297317838,8.482146118012087,NXPH1,protein_coding,neurexophilin 1,5,49.5
chr6_hap1_hsa7,51497000,51498000,Eastern,6.445927679391401,0.4105823262949451,8.46352666529871,ADCY1,protein_coding,adenylate cyclase 1,0,100
chr2_hap1_hsa3,178369000,178370000,Eastern,5.166512062511243,0.3521517668585351,8.44751279516242,NAALADL2,protein_coding,N-acetylated alpha-linked acidic dipeptidase like 2,4,47.9
chr1_hap1_hsa1,116171000,116172000,Eastern,2.377466213737743,0.18497500504560938,8.441372727280562,TBX15,protein_coding,T-box transcription factor 15,3.3000000000000003,95.3
chr10_hap1_hsa12,74810000,74811000,Eastern,8.86735385175105,0.6249618961153633,8.438533200925008,LOC107966622,lncRNA,uncharacterized LOC107966622,3.5000000000000004,99.9
chr9_hap1_hsa11,106438000,106439000,Eastern,6.866233886578791,0.40140248308230336,8.41112382872677,LOC134807374,lncRNA,uncharacterized LOC134807374,1.0999999999999999,99.9
chr8_hap1_hsa10,18548000,18549000,Eastern,1.651952657645006,0.11161345652226758,8.379683853052635,TASOR2,protein_coding,transcription activation suppressor family member 2,2.3,60
chr12_hap1_hsa2a,25184000,25185000,Eastern,6.334003801771051,0.38313278951221863,8.378666781533656,TMEM131,protein_coding,transmembrane protein 131,4.7,83.3
chr12_hap1_hsa2a,85941000,85942000,Eastern,2.2485410969937467,0.12114022005064713,8.376046883581912,STRN,protein_coding,striatin,0,100
chr4_hap1_hsa5,178714000,178715000,Eastern,7.295828112769999,0.4070830059415988,8.3302122322123,TRIM41,protein_coding,tripartite motif containing 41,1.7999999999999998,87.6
chr2_hap1_hsa3,65663000,65664000,Eastern,4.931208646469493,0.348267159732106,8.294763554464913,PTPRG,protein_coding,protein tyrosine phosphatase receptor type G,1.3,100
chr8_hap1_hsa10,64163000,64164000,Eastern,4.52317986088916,0.30583699497845246,8.178255898554841,PRKG1,protein_coding,protein kinase cGMP-dependent 1,3.4000000000000004,99.2
chr10_hap1_hsa12,26397000,26398000,Eastern,3.757638726556172,0.28318532529307444,8.133451588328562,PLEKHA5,protein_coding,pleckstrin homology domain containing A5,1.9,99.9
chr11_hap1_hsa9,104057000,104058000,Eastern,8.866573129534006,0.646507748355457,8.131005309002907,TYRP1,protein_coding,tyrosinase related protein 1,2.3,71.39999999999999
chr21_hap1_hsa20,8776000,8777000,Eastern,7.439994748781882,0.5289816833084182,8.121864680809043,STK35,protein_coding,serine/threonine kinase 35,0,84.1
chr7_hap1_hsa8,121455000,121456000,Eastern,4.740021085509224,0.3609691866887772,8.096040451628191,LOC134810905,lncRNA,uncharacterized LOC134810905,4.3999999999999995,99.8
chr14_hap1_hsa13,107790000,107791000,Eastern,7.060032931356244,0.4410070381345203,8.023855737237966,FGF14,protein_coding,fibroblast growth factor 14,1.6,100
chr1_hap1_hsa1,186912000,186913000,Eastern,3.1989389176657523,0.24221079128110073,8.019697018134243,LOC107976716,lncRNA,uncharacterized LOC107976716,0,100
chr5_hap1_hsa6,8897000,8898000,Eastern,6.1041916595872605,0.43753136987814184,8.008422714522094,SERPINB6,protein_coding,serpin family B member 6,3.8,35
chr7_hap1_hsa8,153207000,153208000,Eastern,4.794380628992972,0.30752488813609213,7.994944877435253,CYP11B1,protein_coding,cytochrome P450 family 11 subfamily B member 1,2.6,77.60000000000001
chr14_hap1_hsa13,75661000,75662000,Eastern,8.010870458148771,0.5251085487157021,7.990296353562733,KLHL1,protein_coding,kelch like family member 1,0,97.39999999999999
chr7_hap1_hsa8,20377000,20378000,Western,6.67088563854363,0.3583299606417337,5.354241141127861,NA,,,0,27.700000000000003
chr14_hap1_hsa13,119744000,119745000,Western,4.279461206703319,0.22964008841535938,4.321484005873388,RASA3,protein_coding,RAS p21 protein activator 3,0,34.300000000000004
chr19_hap1_hsa17,96389000,96390000,Western,9.277322806194292,0.5642079329231952,3.5483745141340424,B3GNTL1,protein_coding,UDP-GlcNAc:betaGal beta-1%2C3-N-acetylglucosaminyltransferase like 1,1.2,36.9
chr1_hap1_hsa1,17177000,17178000,Western,7.900603650338778,1.141104055301791,3.2602174513295887,DISC1,protein_coding,DISC1 scaffold protein,0,92.10000000000001
chr5_hap1_hsa6,38404000,38405000,Western,15.651301149524675,1.004922451326326,3.154965578735857,LOC104006793,protein_coding,HLA class II histocompatibility antigen%2C DR beta 3 chain,1.7999999999999998,43.2
chr1_hap1_hsa1,169085000,169086000,Western,5.911252957748382,0.9777490804622389,2.999659892485667,PATJ,protein_coding,PATJ crumbs cell polarity complex component,1.9,67.30000000000001
chr10_hap1_hsa12,139033000,139034000,Western,1.3879479735553173,0.08088746983244283,2.9408069313777205,LOC100614746,lncRNA,uncharacterized LOC100614746,3.5000000000000004,52.6
chr3_hap1_hsa4,179338000,179339000,Western,10.405886073883284,1.1555703661524297,2.874499358129805,AGA-DT,lncRNA,AGA divergent transcript,3.8,98.8
chr8_hap1_hsa10,126963000,126964000,Western,6.832821924658637,0.8886203752057016,2.542219263539716,FHIP2A,protein_coding,FHF complex subunit HOOK interacting protein 2A,2.6,69
chr2_hap1_hsa3,69089000,69090000,Western,10.41715575356208,1.7541820457084798,2.503103541866968,LOC134809569,lncRNA,uncharacterized LOC134809569,1.0999999999999999,82.6
chr3_hap1_hsa4,166469000,166470000,Western,8.524213557114807,1.287475930620798,2.492033368346507,SMIM31,protein_coding,small integral membrane protein 31,2.4,58.3
chr11_hap1_hsa9,1092000,1093000,Western,4.476170505478466,0.13474959285172122,2.4786435366119126,EXD3,protein_coding,exonuclease 3'-5' domain containing 3,1.2,80.2
chr3_hap1_hsa4,7797000,7798000,Western,9.671312200791817,1.2186697751536026,2.457890330554204,SORCS2,protein_coding,sortilin related VPS10 domain containing receptor 2,0,77.60000000000001
chr1_hap1_hsa1,88383000,88384000,Western,6.587684117555139,1.1424777264717463,2.4372969844423418,LY9,protein_coding,lymphocyte antigen 9,2.9000000000000004,84.7
